[Heroes Archive] (ALVIS)


Heroes Message Name: Message


MID_ALVIS_HOME1: この世界は美しい…\nだが、私が追い求めた\n理想の世界とは異なるものだ。
MID_ALVIS_HOME2: 私のいた世界は、今変わりつつある。\n各地で戦乱が起きているが、\nそれもじきに終わるだろう…
MID_ALVIS_HOME3: 雑事の途中か…\n貴公もなかなかの苦労人のようだな。\nふっ、それはお互い様というところか…
MID_ALVIS_HOME4: 理想を成すために犠牲はつきものだ。\nたとえそれが、\n人の道を外れて見えたとしても…
MID_ALVIS_HOME5: 私は王家の簒奪を謀った\n反逆者シグルドを討伐した…\n我が理想のため…あの男を殺した。
MID_ALVIS_FRIEND: 私はアルヴィス。\n$Nfの\n使者としてこちらへ参った。
MID_ALVIS_LEVEL1: 我が道を塞ぐ者は\n炎に焼かれることになろう！
MID_ALVIS_LEVEL2: 私は強くあらねばならぬ。
MID_ALVIS_LEVEL3: 馬鹿な…！\nこのようなことは信じぬ！
MID_ALVIS_SKILL: 私に流れるのは、\n人々のために戦う聖騎士の血。
MID_ALVIS_JOIN: 私はアルヴィス。\n炎の聖戦士ファラと\n聖騎士マイラの血を受け継ぐ者だ。
MID_ALVIS_STRONGEST: $Nu、\n貴公はこの世界をどう見る？\nこの世界のあるべき姿は何だ？$k$p戦の勝敗のような小事ではない。\nこの世界をどう変えるつもりか…\nそれを問うている。$k$pそうだ、世界を変えるのだ…\n大それた事とは思わぬ。\n私や貴公にはその力がある。$k$p私は貴公を認めている。\n世界を正しい姿に導くことは\n力ある者の責務だ。$k$p私も、私が成すべきことを果たすまで。\n元いた世界で、\n理想の世界を実現させる…$k$pそのためにも、知りたいのだ。\n貴公が望む世界を。
MID_ALVIS_VOICE01: ふん
MID_ALVIS_VOICE02: 灼かれよ
MID_ALVIS_VOICE03: うああっ！
MID_ALVIS_VOICE04: 逆賊め…
MID_ALVIS_VOICE05: 処刑する
MID_ALVIS_VOICE06: 犠牲となれ
MID_ALVIS_VOICE07: 反逆するか
MID_ALVIS_VOICE08: 地獄の炎よ！
MID_ALVIS_VOICE09: ディアドラ…ユリア…
MID_ALVIS_VOICE10: ふっ
MID_ALVIS_VOICE11: さて、貴様の器はどの程度か…
MID_ALVIS_VOICE12: …何のつもりだ？　気安く近づくな。
MID_ALVIS_VOICE13: 貴様に服従するつもりはない。勘違いするな。
MID_ALVIS_VOICE14: わが地獄の炎はすべてを灼き尽くす…
MID_ALVIS_VOICE15: 私は理想のために、多くの命を犠牲にした…
MID_ALVIS_VOICE16: 世界を、差別のない、誰もが住みやすいものに変えるのだ…
MID_ALVIS_VOICE17: 貴様の理想…私に見せてみよ。
MID_ALVIS_VOICE18: 申してみよ
MID_ALVIS_VOICE19: どうするのだ？
MID_ALVIS_VOICE20: たやすいことだ
