[Heroes Archive] (BARTS)


Heroes Message Name: Message


MID_BARTS_HOME1: すげえ城だな。\nこいつを建てるのにどんだけの\n石を使ってんだろうな…？
MID_BARTS_HOME2: サジ、マジ…\nあいつら元気にやってるかな…？
MID_BARTS_HOME3: 薪が足りねえ時はおれに言いな。\n山ほど刈ってきて\n積み上げてやるぜ。
MID_BARTS_HOME4: 一仕事終えた後には酒！\nこいつに限るぜ！\nお前も一緒にやるか？
MID_BARTS_HOME5: オグマ隊長に\n受けた恩は返しきれねえ…\nあの人こそ、男の中の男だぜ。
MID_BARTS_FRIEND: あんたが$Nuか！\n$Nfが\n挨拶しとけってうるさくてな！
MID_BARTS_LEVEL1: おれの剛腕、\n見せつけてやるぜ！
MID_BARTS_LEVEL2: おれの力は\nまだまだこんなもんじゃねえ！
MID_BARTS_LEVEL3: こいつはだめだ…\nおとなしく木こりに戻るか…
MID_BARTS_SKILL: 力が湧いてくるぜ。\n何でもおれに頼ってくれ！
MID_BARTS_JOIN: おれはバーツ。\n傭兵もしてた時もあるが…\n今はただのしがない木こりさ。
MID_BARTS_STRONGEST: 傭兵をやった後は\nアカネイアの軍隊に入り…\nその後は海賊なんかもやった。$k$pんで最後に木こりで落ち着くかって、\n思ってたんだけどな…\n結局こうしてまた戦場にいる…$k$pはは…おれはそういう運命の下に\n生まれてるのかな。$k$pお前と出会ったのも\n元から運命づけられてたってわけだ。\nはは、これからもよろしくな。$k$pまあ流れもんだから\nいつまでいるか、\nわかんねーけどな！
MID_BARTS_VOICE01: でぇいっ！
MID_BARTS_VOICE02: うぉらっ！
MID_BARTS_VOICE03: うああっ！
MID_BARTS_VOICE04: 覚えてやがれ
MID_BARTS_VOICE05: 行くぜ
MID_BARTS_VOICE06: てめえからだ！
MID_BARTS_VOICE07: おらおらおらぁっ！
MID_BARTS_VOICE08: 死にてえんだな！
MID_BARTS_VOICE09: ちきしょう…め…
MID_BARTS_VOICE10: ははっ
MID_BARTS_VOICE11: おれに何か用かい？
MID_BARTS_VOICE12: おわっ！？　き、急に声をかけるなよ
MID_BARTS_VOICE13: おれぁただの木こりさ。
MID_BARTS_VOICE14: おう、元気かい？
MID_BARTS_VOICE15: 昔ぁ、海賊もやってたがな。
MID_BARTS_VOICE16: あんたの命令ならどこでも行くぜ。
MID_BARTS_VOICE17: おれの命、あんたに預けたぜ。
MID_BARTS_VOICE18: おう
MID_BARTS_VOICE19: おれだな
MID_BARTS_VOICE20: いっちょやるか
