[Heroes Archive] (BERKA)


Heroes Message Name: Message


MID_BERKA_HOME1: 特務機関って、何…？\n新手の殺し屋集団…？
MID_BERKA_HOME2: 私はカミラ様に仕えてる…\nカミラ様は私の主君で、雇い主…\n守らなければいけない相手だから。
MID_BERKA_HOME3: 戦場では前に出過ぎないで…\n指示は後方からにして。\n命令なら、唇を読むだけでもわかるわ。
MID_BERKA_HOME4: 今度、良い武器屋を教えて。\n私はここの地理に明るくない…\nどんな武器が強力かも、わからない…
MID_BERKA_HOME5: 不用意に近付かないで…\n武器の手入れ中よ。
MID_BERKA_FRIEND: …挨拶よ。\n$Nfから、\nあなたに…
MID_BERKA_LEVEL1: 死にたいなら、\n来なさい…
MID_BERKA_LEVEL2: 次の標的を教えて…
MID_BERKA_LEVEL3: …………
MID_BERKA_SKILL: 新しい力…悪くないわ。
MID_BERKA_JOIN: …ベルカ。\n暗夜王国の殺し屋よ…\nあなたも、私を雇うの？
MID_BERKA_STRONGEST: $Nu…\n今日も無事そうね。\n…良かった。$k$p…？\nどうして安心するのかって？\nわからない…$k$pあなたは私の雇い主じゃない…\nあなたのために戦う義理も、\n契約も何もない…$k$pそれなのに、私は…\nあなたの身を案じている。\nたぶん…召喚師の力のせい。$k$pこれが情だとしたら、\n殺し屋として、とても厄介なこと…\nだからあなたの…その力のせいよ。\n
MID_BERKA_VOICE01: ふっ
MID_BERKA_VOICE02: せやっ
MID_BERKA_VOICE03: ううっ…
MID_BERKA_VOICE04: 不覚…
MID_BERKA_VOICE05: 可愛がってあげる
MID_BERKA_VOICE06: 任務遂行
MID_BERKA_VOICE07: 仕上げよ
MID_BERKA_VOICE08: 消させてもらう
MID_BERKA_VOICE09: 任務は…失敗……
MID_BERKA_VOICE10: ふう…
MID_BERKA_VOICE11: 何か用…？
MID_BERKA_VOICE12: 殺しの依頼なら聞くわ
MID_BERKA_VOICE13: 戦場で敵対したら、誰でも容赦しない
MID_BERKA_VOICE14: 暗殺なら、毒物や奇襲が有効よ…
MID_BERKA_VOICE15: この国は明るすぎる…人も、風景も…
MID_BERKA_VOICE16: カミラ様はどこ…　雇い主の護衛は、私の任務…
MID_BERKA_VOICE17: あなたは、人を殺せない武器を持って戦場にいる…\n危なっかしくて…放っておけない…
MID_BERKA_VOICE18: ええ
MID_BERKA_VOICE19: 指示を
MID_BERKA_VOICE20: 誰を消す？
