[Heroes Archive] (CAMILLA_SUMMER04)


Heroes Message Name: Message


MID_CAMILLA_SUMMER04_HOME1: ふぅ…今日は日差しが強いわ。\n日焼け止めの香油を\nたっぷり塗っておかないと…
MID_CAMILLA_SUMMER04_HOME2: ああ…この燦々と降り注ぐ光。\nまるで夢の世界のようだわ。\n暗夜の民にも見せてあげたいわね。
MID_CAMILLA_SUMMER04_HOME3: あなた、どうしたの？\n頬を染めて…日焼けかしら？\nおさまるまで、私がそばにいてあげるわ。
MID_CAMILLA_SUMMER04_HOME4: ここは気持ちの良い場所ね。\nこのまますこし眠ってもいいかしら？\nあなたの傍なら安心だわ…
MID_CAMILLA_SUMMER04_HOME5: あの子のいない時間なんて\nもてあますかと思ったけれど…\nもうすこし休んでいこうかしら…
MID_CAMILLA_SUMMER04_FRIEND: はじめまして、かしら？\n私は暗夜王国の王女カミラ。\n$Nfとの休暇中よ。
MID_CAMILLA_SUMMER04_LEVEL1: あなたがそんなに見つめるから、\nすこし本気になってしまったわ。
MID_CAMILLA_SUMMER04_LEVEL2: なかなか\n良いんじゃないかしら？
MID_CAMILLA_SUMMER04_LEVEL3: 少し冷たいものでも飲んで\n熱を冷まそうかしら…
MID_CAMILLA_SUMMER04_SKILL: できることが増えたみたいね。\nやるだけのことはやってみせるわ。
MID_CAMILLA_SUMMER04_JOIN: 暗夜王国第一王女、カミラよ。\n暑いのは得意じゃないの。\nあまり連れ回さないで頂戴ね？
MID_CAMILLA_SUMMER04_STRONGEST: この間、敵兵たちが食い入るように\n私の身体を見てきて…\n全く…八つ裂きにされたいのかしら？$k$pふふっ、でもあなただけは別よ。\n私のこの身体、隅々まで\n見たって構わないのよ。$k$pあら、どうして目を背けるの？\n別にいいのよ、恥ずかしがらなくたって。\nほぉら、こっちを向いて…$k$pふふっ、いじらしいわね。\nそういう純情無垢なところが\nますます気に入ったわ。$k$p今日は熱い一日を\n過ごしましょうね。
MID_CAMILLA_SUMMER04_VOICE01: はっ
MID_CAMILLA_SUMMER04_VOICE02: いくわよ
MID_CAMILLA_SUMMER04_VOICE03: やるわね
MID_CAMILLA_SUMMER04_VOICE04: あら、悪い子…
MID_CAMILLA_SUMMER04_VOICE05: 沈めちゃいましょ
MID_CAMILLA_SUMMER04_VOICE06: 南国アタック
MID_CAMILLA_SUMMER04_VOICE07: 溺れさせてあげる
MID_CAMILLA_SUMMER04_VOICE08: 興奮しちゃダメよ
MID_CAMILLA_SUMMER04_VOICE09: 夏の終わりは、切ないわね…
MID_CAMILLA_SUMMER04_VOICE10: あらあら…
MID_CAMILLA_SUMMER04_VOICE11: まあ、香油を塗ってくれるの？　ありがとう。
MID_CAMILLA_SUMMER04_VOICE12: この水着、どうかしら？　ほら、もっと近くで見てちょうだい。
MID_CAMILLA_SUMMER04_VOICE13: 暑い日差しの中で、冷たい飲み物を飲むのは格別よ
MID_CAMILLA_SUMMER04_VOICE14: いつもこれぐらい身軽な方が闘いやすいかしら
MID_CAMILLA_SUMMER04_VOICE15: ここに海はないから…代わりに私の胸に飛び込んでちょうだい
MID_CAMILLA_SUMMER04_VOICE16: 私の可愛い臣下たちに、素敵なお土産を選びたいわね…
MID_CAMILLA_SUMMER04_VOICE17: 南の海はとても綺麗だったわ。今度はカムイと…\nそれから、あなたを連れて行って見せてあげたいの。
MID_CAMILLA_SUMMER04_VOICE18: わかったわ
MID_CAMILLA_SUMMER04_VOICE19: 泳ぎましょうか
MID_CAMILLA_SUMMER04_VOICE20: 汗ばんできちゃった
