[Heroes Archive] (CANAS)


Heroes Message Name: Message


MID_CANAS_HOME1: ほうほう、これは…\nああ、僕は読書してるだけなので\nどうぞお気遣いなく。
MID_CANAS_HOME2: この世界には召喚師という\n英雄を呼び出せる人がいるそうですよ。\n一度、会ってみたいものですねえ。
MID_CANAS_HOME3: 見回りご苦労様です。\nしかし、無理をしてはいけませんよ。\n休息も立派なお仕事です。
MID_CANAS_HOME4: 気分転換に読書などいかがです？\nこちらの本は手軽に読めるので\nオススメですよ。
MID_CANAS_HOME5: ここの書庫は本当に素晴らしい！\nこれほどの蔵書があるなんて…\nずっと暮らしたくなるくらいです。
MID_CANAS_FRIEND: 僕はカナス。\n$Nfからの\n挨拶を持ってきました。はい、どうぞ。
MID_CANAS_LEVEL1: いいですね！\nこれでさらなる真理に\n近づいた気がします！
MID_CANAS_LEVEL2: うん、まずまずといったところでしょうか。
MID_CANAS_LEVEL3: やはり僕に才能は無いんですかね…
MID_CANAS_SKILL: ほほう、これはこれは。\nますます好奇心が豊かになりますよ。
MID_CANAS_JOIN: これはこれは…興味深い所ですね。\nおっと、挨拶が遅れました。\n僕はカナス…ただの学者ですよ。
MID_CANAS_STRONGEST: あいたっ、すみません、読書に夢中で…\nおお、$Nuさん、\nこの本ですがなかなか興味深いことが…$k$pなぜいつも読書しているのか、ですって？\nうーん、知的好奇心が旺盛といいますか、\n一を知ると全を知りたくなるのですよ。$k$pその果てに何があるのか…\n魔道の限界に挑んだ兄たちの末路を見ると\n恐ろしくなるときもありますが、$k$pそれでも、欲求を止めることは出来ない。\nそんな難儀な性分でして…\nいやはや、我ながら強欲なことです。$k$pなので読書は欠かせないのですよ。\nそうだ、この本のここの部分ですが、\n僕の国では見たことのない図柄が…
MID_CANAS_VOICE01: ええと
MID_CANAS_VOICE02: すみません…
MID_CANAS_VOICE03: うああっ！
MID_CANAS_VOICE04: 面目ない…
MID_CANAS_VOICE05: 先を見たいのです
MID_CANAS_VOICE06: 闇のその先を…
MID_CANAS_VOICE07: とても怖いです
MID_CANAS_VOICE08: この本なら…
MID_CANAS_VOICE09: はぁ…残念です…
MID_CANAS_VOICE10: はぁ…　（ぼんやりした返事）
MID_CANAS_VOICE11: あ、どうもこんにちは。僕はカナスといいます。
MID_CANAS_VOICE12: わわっ！？　どうもすみません…お邪魔でしたか？
MID_CANAS_VOICE13: 本は、とても面白いものです。ただ、知ることが満足なのです。
MID_CANAS_VOICE14: 今読んでいるのは『勇者ローラン』です。遥か昔、竜と戦った英雄の…
MID_CANAS_VOICE15: この魔道を使うには…自分の身に「闇」を取り入れ、屈服しない強さが必要です。
MID_CANAS_VOICE16: …兄たちは、「闇」の強さに取り込まれてしまいました…
MID_CANAS_VOICE17: あなたなら、わかってくれると思っていました…
MID_CANAS_VOICE18: はい
MID_CANAS_VOICE19: ふむふむ…
MID_CANAS_VOICE20: この本はですね…
