[Heroes Archive] (DIADORA)


Heroes Message Name: Message


MID_DIADORA_HOME1: 美しい木々…\n不思議です…\nなんだか、懐かしい気持ちになります…
MID_DIADORA_HOME2: 元の世界のこと…ですか？\nごめんなさい…\nあまり覚えていないのです…
MID_DIADORA_HOME3: お疲れのようですね。\n今日は早くお休みになっては、\nいかがですか？
MID_DIADORA_HOME4: 時々言いようのない不安に\n駆られることがあります…\nあなたは…？
MID_DIADORA_HOME5: 私は人と交わってはならない…\nそう教わりました…\nそんなおぼろげな記憶があります…
MID_DIADORA_FRIEND: 私はディアドラです。\n$Nf様に\n頼まれて、こちらにご挨拶に…
MID_DIADORA_LEVEL1: なんだか、\n怖くなってしまいます…
MID_DIADORA_LEVEL2: お役に立てるのなら、\n嬉しいです…
MID_DIADORA_LEVEL3: ごめんなさい、\n足手まといに…
MID_DIADORA_SKILL: ありがとうございます。\n私のために…
MID_DIADORA_JOIN: 私はディアドラです…\nごめんなさい…\n私には記憶がないのです…\n
MID_DIADORA_STRONGEST: 私は何か…\nとても大切な記憶を…\nなくしてしまったのです…$k$p私の大切な人…\nその姿が…\n暗闇に…消えて…$k$p私…不安なのです…\n今こうして一緒にいるあなたとも、\n二度と会えなくなるような気がして…$k$pお願いです、\nもし…私があなたのことを\n忘れてしまったら…$k$p私に教えてください…\n私たちが一緒に過ごした\n大切な思い出を…
MID_DIADORA_VOICE01: はい…
MID_DIADORA_VOICE02: すみません…
MID_DIADORA_VOICE03: きゃああっ！
MID_DIADORA_VOICE04: やめて…
MID_DIADORA_VOICE05: 私も、一緒に…
MID_DIADORA_VOICE06: ごめんなさい…
MID_DIADORA_VOICE07: 目覚めてしまう…
MID_DIADORA_VOICE08: 闇が…
MID_DIADORA_VOICE09: ああ…シグルド様…
MID_DIADORA_VOICE10: ふふ…
MID_DIADORA_VOICE11: どうか、ご無理をなさらないように…
MID_DIADORA_VOICE12: きゃっ…あ、あなただったのですね。
MID_DIADORA_VOICE13: ごめんなさい。私には記憶がないのです…
MID_DIADORA_VOICE14: あなたと一緒にいられて、嬉しいです。
MID_DIADORA_VOICE15: 私の血の中には、邪悪な何かが眠っています…
MID_DIADORA_VOICE16: 思い出せない…私は…いったい…
MID_DIADORA_VOICE17: わたしなら大丈夫です。一緒にいられることが嬉しいのです。
MID_DIADORA_VOICE18: はい…
MID_DIADORA_VOICE19: どうすれば…？
MID_DIADORA_VOICE20: 一緒に行きます。
