[Heroes Archive] (DORCAS)


Heroes Message Name: Message


MID_DORCAS_HOME1: ベルンで傭兵をしていた頃が懐かしいな…\nナタリー…身体の具合はどうだろうか…
MID_DORCAS_HOME2: おれは傭兵に身をやつしていた時、\nリンという娘に会って心を入れ替えた。\nそして今ここにいる…
MID_DORCAS_HOME3: 顔色が少し悪いようだな。\n戦士は時に休息も必要だ。\n休むといい…
MID_DORCAS_HOME4: 妻の話を聞かせろ、だと？\nお、面白い話などなにも無い…
MID_DORCAS_HOME5: 訓練以外の時は…\nナタリーが描いてくれた\nこの絵を見ている…
MID_DORCAS_FRIEND: あんたが$Nuか。\nこれからも$Nfのこと、\n頼んだぞ。
MID_DORCAS_LEVEL1: 調子が良すぎるな。\n逆に不安になってくる…
MID_DORCAS_LEVEL2: まあまあ…\nといったところか…
MID_DORCAS_LEVEL3: ナタリー…すまん…
MID_DORCAS_SKILL: なるほど…\nおれ自身、信じられん…
MID_DORCAS_JOIN: おれの名前はドルカス。\nベルンで傭兵をしていた。\nだがそれも…過去のことだ。
MID_DORCAS_STRONGEST: おれは妻に薬を買うため\n傭兵として人の道に外れたことを\nしようとしていた…$k$pそんなおれをリンたちは\n救い出してくれた…$k$p今もその恩義に応えようと\n思っていることに変わりはない…$k$pああ、あんたもリンたちと同じように、\n正義のために戦っていることは\nわかってるつもりだ…$k$p二度と道を誤るつもりはない。\nこれからも協力させてくれ。
MID_DORCAS_VOICE01: ふんっ！
MID_DORCAS_VOICE02: すまんな…
MID_DORCAS_VOICE03: うああっ！
MID_DORCAS_VOICE04: 死にはしない…
MID_DORCAS_VOICE05: ナタリーのためだ
MID_DORCAS_VOICE06: おれは死なん…
MID_DORCAS_VOICE07: 生きて帰る…
MID_DORCAS_VOICE08: 這ってでも生きる…
MID_DORCAS_VOICE09: すまん、ナタリー…
MID_DORCAS_VOICE10: はは
MID_DORCAS_VOICE11: …おれは英雄じゃない。ただ生きるのに必死なだけだ。
MID_DORCAS_VOICE12: 体の調子？　…まあまあだ。
MID_DORCAS_VOICE13: おれには金がいる…金のために山賊になったこともある。
MID_DORCAS_VOICE14: 妻は…難しい足の病だ。治すには大金がいる…
MID_DORCAS_VOICE15: これはナタリーの…妻の描いた絵だ。
MID_DORCAS_VOICE16: おれは必ず生きて戻る。あいつがおれを待っててくれる…
MID_DORCAS_VOICE17: おれが役に立つんなら…使ってくれ。
MID_DORCAS_VOICE18: ああ
MID_DORCAS_VOICE19: …どうするんだ？
MID_DORCAS_VOICE20: 指示をくれ
