[Heroes Archive] (ELIWOD)


Heroes Message Name: Message


MID_ELIWOD_HOME1: 残念なことだけど…\nこの世界にもやはり、\n国同士の争いはあるんだね。
MID_ELIWOD_HOME2: 正直に打ち明けると…\n体はあまり丈夫じゃないんだ。\nもし迷惑をかけてしまったらすまない。
MID_ELIWOD_HOME3: いつもお疲れ様。\n君がいてくれるから、\n僕たちは安心して戦えるんだ。
MID_ELIWOD_HOME4: やあ、調子はどうかな。\n僕は天気もいいし、\n散歩にでも行こうかと思ってるんだ。
MID_ELIWOD_HOME5: ロイは、僕より体が強いし、\n何でも学ぼうとする向上心もある。\n僕の自慢の息子だよ。
MID_ELIWOD_FRIEND: こんにちは。$Nfから\n挨拶を頼まれたんだ。\nこれからも仲良くして欲しい。
MID_ELIWOD_LEVEL1: よし…！\nこれなら皆のために戦える…！
MID_ELIWOD_LEVEL2: うん、いい感じだ。\nこの調子でがんばろう。
MID_ELIWOD_LEVEL3: ごめん…\nちょっと体調が悪いみたいだ。
MID_ELIWOD_SKILL: この栄誉に甘んじることなく、\nさらに努力していくつもりだよ。
MID_ELIWOD_JOIN: 僕の名前はエリウッド。\nフェレという小さな国の公子だよ。\n
MID_ELIWOD_STRONGEST: 今思えば、君との出会いは\n必然だったのかもしれないね。$k$p君が僕たちを信じ、\n一生懸命戦ってくれる姿勢は、\n皆を勇気づけてくれた…$k$pそれはもちろん僕にとっても、\n希望の光だったんだ…$k$p君と一緒なら、僕たちは\nどんな苦境でも\n乗り越えていけると思う。$k$pだからこれからも共にありたい…\nそう思ってるよ。
MID_ELIWOD_VOICE01: はっ！
MID_ELIWOD_VOICE02: せいっ！
MID_ELIWOD_VOICE03: うああっ！
MID_ELIWOD_VOICE04: しまった…
MID_ELIWOD_VOICE05: 下がっていてくれ！
MID_ELIWOD_VOICE06: これで倒す！
MID_ELIWOD_VOICE07: ここは僕が！
MID_ELIWOD_VOICE08: 見ていてくれ！
MID_ELIWOD_VOICE09: みんな…すまない…
MID_ELIWOD_VOICE10: ふふ
MID_ELIWOD_VOICE11: ？　どうしたんだい？
MID_ELIWOD_VOICE12: はは、変わり者だね君は
MID_ELIWOD_VOICE13: ここは賑やかで温かい場所だね
MID_ELIWOD_VOICE14: 体はあまり丈夫な方ではないけれど…
MID_ELIWOD_VOICE15: 無理はしすぎないようにね
MID_ELIWOD_VOICE16: みんな、大切な仲間だと思ってるよ
MID_ELIWOD_VOICE17: 二人とも、共に生きて戻ろう
MID_ELIWOD_VOICE18: わかった
MID_ELIWOD_VOICE19: どうしようか…
MID_ELIWOD_VOICE20: 行こう
