[Heroes Archive] (EST)


Heroes Message Name: Message


MID_EST_HOME1: はぁ…\nわたしって…\nちょっと考えナシなのかなぁ…
MID_EST_HOME2: わたしたち三姉妹はすごいんだから！\n期待しててよね。
MID_EST_HOME3: いつもありがと、\n$Nu！\n戦場でも平時でも大活躍ね。
MID_EST_HOME4: シチューは得意料理なの。\nささ、遠慮せずにごくっと。\nおかわりはまだまだあるからね。
MID_EST_HOME5: 子供みたいってよく言われるの。\nもう、わたしはもう大人なのにー。
MID_EST_FRIEND: $Nfから伝達ー！\n$Nuさん、\nこれからもよろしくね！
MID_EST_LEVEL1: 今ならどこへだって\n飛んでいけそう！
MID_EST_LEVEL2: なまってないか心配だったけど\nまだまだやれそう！
MID_EST_LEVEL3: うわっ…\nやっぱりなまってるのかな…
MID_EST_SKILL: ありがとう！\nもっと大活躍するからね！
MID_EST_JOIN: こんにちは、わたしはエスト。\nマケドニア白騎士団の一員…\nだったの！
MID_EST_STRONGEST: アベルと一緒に\nアリティアでお店を営んで\nずっと一緒に暮らす…$k$pそれがわたしの願いだったんだけど、\n今はこの戦いに参加できて\n良かったって思ってるよ。$k$pだってあなたとも出会えたし、\nいろんな絆の形があるって…\n教えてもらったから。$k$pわたしってまだまだ子供だな、\nって思ったの。そう思えるようになった分、\n大人になったってことかな？$k$pふふっ、ありがと。\nこれからも、よろしくね！
MID_EST_VOICE01: えーいっ！
MID_EST_VOICE02: それっ！
MID_EST_VOICE03: きゃああっ！
MID_EST_VOICE04: やだもう…！
MID_EST_VOICE05: いっきまーす！
MID_EST_VOICE06: そーれっと！
MID_EST_VOICE07: 姉さまみたいに！
MID_EST_VOICE08: 見せてあげる！
MID_EST_VOICE09: 負け…ちゃった…
MID_EST_VOICE10: えへ
MID_EST_VOICE11: うん？　何か用？
MID_EST_VOICE12: えへへ…恥ずかしいな。
MID_EST_VOICE13: わたしたち三姉妹はすごいんだから！
MID_EST_VOICE14: あ、シチュー食べる？
MID_EST_VOICE15: 期待しててよね。
MID_EST_VOICE16: わたしって、子供っぽいかな～…
MID_EST_VOICE17: 一緒にがんばろーね。
MID_EST_VOICE18: うん
MID_EST_VOICE19: 気楽にね
MID_EST_VOICE20: いっきまーす
