[Heroes Archive] (ETHLIN)


Heroes Message Name: Message


MID_ETHLIN_HOME1: …兄上、ディアドラ様…\nあの優しく、暖かい時を…\n思い出していました。
MID_ETHLIN_HOME2: こらっ、身嗜みはきちんとなさい。\nまったく、あなたもキュアンや兄上に似て\nこういうところがだらしないんだから…
MID_ETHLIN_HOME3: どんな人でも休息は必要なものよ。\nここで少し、休憩しましょう。\n待ってて、いまお茶の準備をしてくるから。
MID_ETHLIN_HOME4: アルテナ…リーフ…\nあなたたちのことは、\nこの私が守ります…
MID_ETHLIN_HOME5: 繕い物をしていたの。\nあら、あなたの上着、肩がほどけているわ。\n貸して頂戴、ついでに直しておくから。
MID_ETHLIN_FRIEND: 私はエスリン。挨拶に来たの。\n$Nfさんを\nよろしくね。
MID_ETHLIN_LEVEL1: 私とて聖戦士バルドの末裔。\nあの子たちのためにも、負けられません！
MID_ETHLIN_LEVEL2: あきらめなければ、何とかなります。\nどんなことでも！
MID_ETHLIN_LEVEL3: あらら…\nこれじゃ足手まといかしら。
MID_ETHLIN_SKILL: ふふ、なんだか新しい自分になったみたい。\nキュアンは気がついてくれるかしら？
MID_ETHLIN_JOIN: レンスター家キュアンの妻、\nエスリンと申します。\nご用件は手短にお願いしますね。
MID_ETHLIN_STRONGEST: ねえ、$Nuさん。\nご家族はお元気？\n一生の恋や愛を誓い合った方は…？$k$p私は夫のキュアンや兄上、お父様…\nかけがえのない、大切な人たちに恵まれた。\nそれに何より…$k$p娘のアルテナ、息子のリーフ。\nあの子たちの笑顔を思い浮かべれば\nどんな困難にも立ち向かえる。$k$pそう、大切な人のためなら、\n乗り越えられない事なんてない…\n命を賭けて戦うことだって怖くない。$k$pだから、あなたも。\n何があっても、最後まであきらめないで。\n一緒に戦い抜きましょうね！
MID_ETHLIN_VOICE01: ええいっ！
MID_ETHLIN_VOICE02: それっ！
MID_ETHLIN_VOICE03: きゃああっ！
MID_ETHLIN_VOICE04: そんな…
MID_ETHLIN_VOICE05: 私が守ります！
MID_ETHLIN_VOICE06: ごめんなさい…！
MID_ETHLIN_VOICE07: 最後まで…！
MID_ETHLIN_VOICE08: きっと大丈夫！
MID_ETHLIN_VOICE09: キュアン、ごめんなさい…
MID_ETHLIN_VOICE10: うふふっ
MID_ETHLIN_VOICE11: 私がついています
MID_ETHLIN_VOICE12: あきらめないで
MID_ETHLIN_VOICE13: 私は兄上に似てるんですって。言い出したら譲らないところとか…
MID_ETHLIN_VOICE14: きゃっ！？　あら、あなただったの。
MID_ETHLIN_VOICE15: 兄上は昔から向こう見ずなところがあったから、私がお助けしないと…
MID_ETHLIN_VOICE16: 兄上とディアドラ様が幸せに暮らせますように…
MID_ETHLIN_VOICE17: 心配してくれてありがとう…あなたは優しい人ね。
MID_ETHLIN_VOICE18: ええ
MID_ETHLIN_VOICE19: ごめんなさいね
MID_ETHLIN_VOICE20: みんなで戦いましょう
