[Heroes Archive] (FLOLINA)


Heroes Message Name: Message


MID_FLOLINA_HOME1: こらっ、ヒューイったら…\nふふっ、くすぐったいわ…
MID_FLOLINA_HOME2: は、はい。\n私は三姉妹の末っ子なんです…\nよくわかりましたね…
MID_FLOLINA_HOME3: あ、あの…いつも…その…\nありがとうござい…ます。\nや、やっと…言えました…
MID_FLOLINA_HOME4: お、男の人は少し…\n苦手なんです…
MID_FLOLINA_HOME5: あ…あの…\nわ、私…その…\nご…ごめんなさい！
MID_FLOLINA_FRIEND: あ、あの…わ、私…\n$Nfさんから…\nその…挨拶を…頼まれて…
MID_FLOLINA_LEVEL1: わっ、私がこんなに成長…？\nうそみたい…
MID_FLOLINA_LEVEL2: つ、強くなって、\nお役に立ちます…！
MID_FLOLINA_LEVEL3: ううっ…こんなんじゃ、\nお姉ちゃん達に笑われちゃう…
MID_FLOLINA_SKILL: あ、ありがとうございます…\nわ、私、が、がんばります！
MID_FLOLINA_JOIN: わ、私の名前はフロリーナです。\nそ、その…ちょっと人見知りで…\nすみません…
MID_FLOLINA_STRONGEST: あ、あの…\n今お時間よろしいでしょうか…？$k$pご、ごめんなさい…\nうまく言えないかもしれないんですけど…\n私…$k$pあなたの指揮で\n一緒に戦うことができて…\nすごく嬉しかったです…$k$pあなたのおかげで、\n私なりに成長できた気がしてます…\nだからそのお礼だけ、今伝えたくて…$k$pふふっ、ありがとうございます。\nじゃあこれからも…\nよろしくお願いしますね。
MID_FLOLINA_VOICE01: え、えいっ！
MID_FLOLINA_VOICE02: や、やぁっ！
MID_FLOLINA_VOICE03: きゃああっ！
MID_FLOLINA_VOICE04: ふぇぇっ…
MID_FLOLINA_VOICE05: す、すみません…！
MID_FLOLINA_VOICE06: ご、ごめんなさい…！
MID_FLOLINA_VOICE07: え、えーいっ！
MID_FLOLINA_VOICE08: きゃああっ！
MID_FLOLINA_VOICE09: ごめんな…さい…
MID_FLOLINA_VOICE10: ふふ
MID_FLOLINA_VOICE11: …あ、あの、私、その…
MID_FLOLINA_VOICE12: ひゃあっ！？　ご、ごめんなさい…
MID_FLOLINA_VOICE13: わ、私…気が小さくて…
MID_FLOLINA_VOICE14: まだ…半人前で…ごめんなさい
MID_FLOLINA_VOICE15: 私、一生懸命がんばりますから…
MID_FLOLINA_VOICE16: …早く、一人前にならなくちゃ…
MID_FLOLINA_VOICE17: あなたが雇い主で…良かったです
MID_FLOLINA_VOICE18: は、はい…
MID_FLOLINA_VOICE19: えっと、えっと…
MID_FLOLINA_VOICE20: どうしますか？
