[Heroes Archive] (GARON)


Heroes Message Name: Message


MID_GARON_HOME1: 王とは、国に繁栄をもたらす者…\nだが、わしが為すべきは\n滅びを与える事よ…
MID_GARON_HOME2: 暗夜王国、白夜王国…\n諸共に…わしのものとなれ…\nハイドラ神の導きのままに…
MID_GARON_HOME3: うろつくな…目ざわりだ。\n貴様はただ、戦の指揮だけ\nしておればよい…
MID_GARON_HOME4: 何をしておる…\nわしと敵を打ち滅しにゆくのだ。\nそれが、我らの定めよ…
MID_GARON_HOME5: 全てを燃やし…灰すら残さず…\nこの世界すらいずれ飲み込まれ、\n滅びへ向かう…
MID_GARON_FRIEND: $Nuとやら…\n控えよ…わしこそが\n暗夜王ガロンである。
MID_GARON_LEVEL1: このガロンこそは\n暗夜と白夜に君臨する\n永劫の王であるぞ…！
MID_GARON_LEVEL2: フフフフフ…ははははは！\nこの程度…当然であろう…
MID_GARON_LEVEL3: なん…だと…
MID_GARON_SKILL: ククク、よいぞ…！\nこれで我が望みに近づく…
MID_GARON_JOIN: 我こそは暗夜王ガロン…\nお前ごときでは\nわしの魂魄を読むことはできぬ…
MID_GARON_STRONGEST: $Nuよ…\n貴様は見てくれだけの連中と違い\nそれなりの意思を持っておるようだな…$k$pククク…勘違いするな。\n貴様の価値を語る気はない。\nそもそも、人の生など無価値なのだ。$k$pそう、我が手にも何も無い…\n国のため、民のためと尽くしても…\n愛しき妻も子も、みな消えていく…$k$pククク…ははははは！\n貴様には理解できよう？\n全ては、消えゆく定めであるがゆえな…$k$pそして諸共に滅びを…\nそれが我が神、ハイドラの意思である。\nとくと心得よ…
MID_GARON_VOICE01: ふんっ！
MID_GARON_VOICE02: むぅん！
MID_GARON_VOICE03: ぬおおっ！
MID_GARON_VOICE04: 馬鹿な…！
MID_GARON_VOICE05: 闇に散れいっ！
MID_GARON_VOICE06: 歓迎してやろう！
MID_GARON_VOICE07: 身の程を知れい！
MID_GARON_VOICE08: 無駄だ！
MID_GARON_VOICE09: わしの…野望…が…
MID_GARON_VOICE10: ふはははっ！
MID_GARON_VOICE11: この暗夜王ガロンに何の用か？
MID_GARON_VOICE12: 我ら王族は、いにしえの神「神祖竜」の末裔…
MID_GARON_VOICE13: わしにとっては、雑兵との戦いなど草刈りの如きもの
MID_GARON_VOICE14: カムイ…やはりあの時、殺しておくべきだったな…だが…
MID_GARON_VOICE15: この暗夜王が敗北する道など、あってはならぬ…
MID_GARON_VOICE16: わしが我が子に敗れることを望んでいた…？　馬鹿な…
MID_GARON_VOICE17: 懐かしいな…こんな気持ちになるのは、いつ以来か…
MID_GARON_VOICE18: 良かろう
MID_GARON_VOICE19: 歓迎してやろう
MID_GARON_VOICE20: ほう、面白い
