[Heroes Archive] (KAGEROU_HALLOWEEN02)


Heroes Message Name: Message


MID_KAGEROU_HALLOWEEN02_HOME1: 南瓜に魔女に亡者の仮装…\n収穫祭なる祭りは\n魑魅魍魎の集会か…
MID_KAGEROU_HALLOWEEN02_HOME2: 白夜の菓子といえば飴に団子、\n煎餅などが人気だ。暗夜の菓子も、\nなかなかにおいしそうに見えるな。
MID_KAGEROU_HALLOWEEN02_HOME3: 私の格好に同情など無用。\n任務とあらば臆することなく臨むのみ。\n貴殿も祭りを楽しむがいい。
MID_KAGEROU_HALLOWEEN02_HOME4: 悪戯など、くの一にかかれば\n音もなく仕掛けることができる。\n貴殿にも手ほどき致そうか？
MID_KAGEROU_HALLOWEEN02_HOME5: これは暗夜の装束…メイド服だ。\nメイドは我ら忍と同じく、\n主君に身を捧げる者だという。
MID_KAGEROU_HALLOWEEN02_FRIEND: $Nfの命を受け、\n挨拶に参った。\nこれで喉の渇きを癒すが良い。
MID_KAGEROU_HALLOWEEN02_LEVEL1: 悪戯もお菓子も、\n望む方をくれてやろう。
MID_KAGEROU_HALLOWEEN02_LEVEL2: この祭りの空気…悪くない。\nもう少し楽しんでみるとしよう。
MID_KAGEROU_HALLOWEEN02_LEVEL3: 迂闊…！\n祭りの雰囲気に飲まれてしまうとは…
MID_KAGEROU_HALLOWEEN02_SKILL: かたじけない。\nよい収穫になったようだ。
MID_KAGEROU_HALLOWEEN02_JOIN: 白夜王国のくの一、カゲロウ推参。\n悪戯かお菓子か…お主の運命\n早々に決めるがいい。
MID_KAGEROU_HALLOWEEN02_STRONGEST: 受けた任務は必ず果たす。\nそれがくの一たる私の役目だ。\nたとえそれが、どんな命令であろうとも。$k$p今回の収穫祭の参加も、\n任務であればこそ。\nそこに私の感情は交えない。$k$pしかし…祭りで皆と触れ合い、\n皆の温かな笑顔を見た時、\n私の中で何かが変わった。$k$pあのように祭りを楽しんでこそ、\n真に祭りに参加したといえるのだろう。\nならば、私も臆してはいられぬ。$k$p貴殿は悪戯とお菓子どちらを望む？\nこのカゲロウ、一命を持って\n全力で報いるまで…！
MID_KAGEROU_HALLOWEEN02_VOICE01: えいっ！
MID_KAGEROU_HALLOWEEN02_VOICE02: やっ！
MID_KAGEROU_HALLOWEEN02_VOICE03: うああっ！
MID_KAGEROU_HALLOWEEN02_VOICE04: 破廉恥な…！
MID_KAGEROU_HALLOWEEN02_VOICE05: とりっくおあとりーと
MID_KAGEROU_HALLOWEEN02_VOICE06: お菓子をもらう
MID_KAGEROU_HALLOWEEN02_VOICE07: 悪戯する
MID_KAGEROU_HALLOWEEN02_VOICE08: 忍法変わり身の術
MID_KAGEROU_HALLOWEEN02_VOICE09: この格好は…着慣れぬ…
MID_KAGEROU_HALLOWEEN02_VOICE10: ううむ…
MID_KAGEROU_HALLOWEEN02_VOICE11: この格好が珍しいか？　…そ、そうであろうな…
MID_KAGEROU_HALLOWEEN02_VOICE12: きゃっ！？　よ、よせ、私は物の怪ではない。
MID_KAGEROU_HALLOWEEN02_VOICE13: これが暗夜の装束か…？　なんと恥知らずな…
MID_KAGEROU_HALLOWEEN02_VOICE14: 解せぬ…なにゆえ私ばかりがこのような辱めを…
MID_KAGEROU_HALLOWEEN02_VOICE15: お菓子をくれぬ者にはいたずらをせねばならぬ…それが掟だ
MID_KAGEROU_HALLOWEEN02_VOICE16: くノ一たる者…どのような任務も務めねばならぬ。
MID_KAGEROU_HALLOWEEN02_VOICE17: お菓子に合う茶をたてよう。一休みするといい。
MID_KAGEROU_HALLOWEEN02_VOICE18: 心得た
MID_KAGEROU_HALLOWEEN02_VOICE19: 面妖な
MID_KAGEROU_HALLOWEEN02_VOICE20: これも役目…
