[Heroes Archive] (KAGEROU_SPRING02)


Heroes Message Name: Message


MID_KAGEROU_SPRING02_HOME1: 春か…この季節ばかりは、\n心持ちも穏やかになる。\n風もどこか心地よい…
MID_KAGEROU_SPRING02_HOME2: 春は故郷を思い出す…\n白夜の桜の美しさは、\nそれは見事なものであった。
MID_KAGEROU_SPRING02_HOME3: 忍とは、忍ぶもの。\nだが、このような格好で\n忍ぶのは容易ではない…
MID_KAGEROU_SPRING02_HOME4: このような格好は落ち着かぬが…\n異国ではごく普通の装束なのだろう。\nならば、恥じ入ってはいられぬ。
MID_KAGEROU_SPRING02_HOME5: 私が描いた春の絵だ。\nいや、魔境ではなく\n故郷を描いたのだ。
MID_KAGEROU_SPRING02_FRIEND: 麗らかなるこの春の日、\n$Nfからの\n言葉を送ろう。
MID_KAGEROU_SPRING02_LEVEL1: 大輪の花を\n咲かせたようだ。
MID_KAGEROU_SPRING02_LEVEL2: そろそろ、\n花開く頃だ。
MID_KAGEROU_SPRING02_LEVEL3: まだ、蕾か…
MID_KAGEROU_SPRING02_SKILL: 私にも春が来た…\n礼を言わせてもらおう。
MID_KAGEROU_SPRING02_JOIN: 気づかれた…？\n春風は気配を消すには不向きなようだ。\n私はくの一、カゲロウ。よろしく頼む…
MID_KAGEROU_SPRING02_STRONGEST: 春の景色はどの世界でも美しいものだな。\nここは一つ、この美しさを\n紙上に残しておこう。$k$p桜、芽吹く草木、雪解けの小川…\n春はまばゆいばかりに、\n生命の鼓動に彩られている…$k$pこうして、あなたのもとにいなければ\n見ることのできない景色だったかも\nしれないな。$k$p私をここへ導いてくれたこと、\n礼を言う。\nそしてこれからもよろしく頼む。$k$p今日の良き日のように\n健やかなる時間を\n共に築いて行きたいものだな…
MID_KAGEROU_SPRING02_VOICE01: せやっ！
MID_KAGEROU_SPRING02_VOICE02: いやっ！
MID_KAGEROU_SPRING02_VOICE03: うああっ！
MID_KAGEROU_SPRING02_VOICE04: 無体な…
MID_KAGEROU_SPRING02_VOICE05: 恥を忍んで…
MID_KAGEROU_SPRING02_VOICE06: すぷりんぐはずかむ
MID_KAGEROU_SPRING02_VOICE07: 春を祝して
MID_KAGEROU_SPRING02_VOICE08: 忍法ウサギの術
MID_KAGEROU_SPRING02_VOICE09: 末代までの…恥…
MID_KAGEROU_SPRING02_VOICE10: ふふ
MID_KAGEROU_SPRING02_VOICE11: 私はカゲロウ…この酔狂な姿は春祭ゆえのこと
MID_KAGEROU_SPRING02_VOICE12: きゃっ！？　おのれ曲者か！？
MID_KAGEROU_SPRING02_VOICE13: 郷にいりては郷に従え…この装束はそのあらわれだ。
MID_KAGEROU_SPRING02_VOICE14: 恥じてはおらぬ…ただ、あまりまじまじと見られるのは…
MID_KAGEROU_SPRING02_VOICE15: に、似合っていると…？　しかし、このような薄布では…
MID_KAGEROU_SPRING02_VOICE16: 一族の尊厳を守らねばならぬ…たとえどのような格好であろうと
MID_KAGEROU_SPRING02_VOICE17: このような姿でもよろしければ、あなたのお傍でお守りしよう。
MID_KAGEROU_SPRING02_VOICE18: 承知
MID_KAGEROU_SPRING02_VOICE19: 花の下にて
MID_KAGEROU_SPRING02_VOICE20: 春、来たる
