[Heroes Archive] (KAMUI_F_DREAM01)


Heroes Message Name: Message


MID_KAMUI_F_DREAM01_HOME1: 大丈夫…あなたに向けられる\nすべての悪意から\n私が守ってあげるから。
MID_KAMUI_F_DREAM01_HOME2: 数奇な運命に翻弄される…\n私とアクアの境遇はよく似ています…\nだから、放ってはおけません。
MID_KAMUI_F_DREAM01_HOME3: どんなに辛い境遇にあっても\n未来を信じる事ができれば…\nきっとそれは前に進む力になります。
MID_KAMUI_F_DREAM01_HOME4: $Nuさんも\n寂しいときは言ってくださいね。\n私が頭を撫でてあげますから。
MID_KAMUI_F_DREAM01_HOME5: アクアって、笑うととても可愛いんですよ。\n彼女がずっと笑っていられるように\n私が力になってあげたいんです。
MID_KAMUI_F_DREAM01_FRIEND: $Nfから\nご挨拶に来ました。あなたたちは\n支え合える理想の友人なのでしょうね。
MID_KAMUI_F_DREAM01_LEVEL1: 思い描いた理想に近づけました！\n
MID_KAMUI_F_DREAM01_LEVEL2: 少しずつ、理想に\n近付いていきたいです…！
MID_KAMUI_F_DREAM01_LEVEL3: あきらめません…あきらめたら\n夢は終わってしまいますから…
MID_KAMUI_F_DREAM01_SKILL: お気遣いありがとうございます。\n自信がつきました…！
MID_KAMUI_F_DREAM01_JOIN: 私の名前はカムイ。\n大丈夫、もう泣かないで。\nあなたのそばには私がいるから…
MID_KAMUI_F_DREAM01_STRONGEST: どんな運命を持って\n生まれついたとしても\nそこには必ず意味があると思います。$k$pそして、一人では抱えきれない\n過酷な運命も、皆で支えることで\n必ず未来を拓くことができるはずだと。$k$p前に進むための自信をなくしたり\n明日を信じられなくなったときは\n思い出してくださいね。$k$pあなたのまわりには\nあなたの背中を支えてくれる\n仲間たちがたくさんいることを。$k$pいつか思い描いた夢を\n現実のものにするために…\n手を取り合って進んでいきましょう。
MID_KAMUI_F_DREAM01_VOICE01: せいっ！
MID_KAMUI_F_DREAM01_VOICE02: おやすみなさい
MID_KAMUI_F_DREAM01_VOICE03: きゃああっ！
MID_KAMUI_F_DREAM01_VOICE04: だめ…
MID_KAMUI_F_DREAM01_VOICE05: 眠る時間です
MID_KAMUI_F_DREAM01_VOICE06: 安らかな眠りを
MID_KAMUI_F_DREAM01_VOICE07: 夢は希望です
MID_KAMUI_F_DREAM01_VOICE08: 夜が来ました
MID_KAMUI_F_DREAM01_VOICE09: 眠く…なってしまいました…
MID_KAMUI_F_DREAM01_VOICE10: あはは
MID_KAMUI_F_DREAM01_VOICE11: アクアは寂しがっていました。私が慰めてあげないと…
MID_KAMUI_F_DREAM01_VOICE12: ふふ、あなたも挨拶で撫でたりするんですね。私と一緒です。
MID_KAMUI_F_DREAM01_VOICE13: 逃げて、いいんです。傷が癒えるまで、一休みしていいんです。
MID_KAMUI_F_DREAM01_VOICE14: 一生幸せな夢を見続けられるなら…それも幸せです。
MID_KAMUI_F_DREAM01_VOICE15: 眠れませんか？　良かったら、私が傍にいますよ。
MID_KAMUI_F_DREAM01_VOICE16: 私もいつか…現実へと戻るのでしょうか…
MID_KAMUI_F_DREAM01_VOICE17: 私と一緒に、あの子を守ってあげましょう…
MID_KAMUI_F_DREAM01_VOICE18: おはようございます
MID_KAMUI_F_DREAM01_VOICE19: 眠くなってきました…
MID_KAMUI_F_DREAM01_VOICE20: 夢を見てました
