[Heroes Archive] (KAMUI_M_DREAM01)


Heroes Message Name: Message


MID_KAMUI_M_DREAM01_HOME1: 大切な人の笑顔を守れるなら\n僕がたとえ何者であっても、\n構いはしないよ。
MID_KAMUI_M_DREAM01_HOME2: 長い間、アクアとは離ればなれに\nなっていたけど…いまはこうして\nそばにいることができるんだね。
MID_KAMUI_M_DREAM01_HOME3: 僕にできることがあれば\nなんでも言って欲しい。\nこの力、みんなのために使いたいんだ。
MID_KAMUI_M_DREAM01_HOME4: こんなにたくさんの英雄と一緒に\n戦えるなんて…この場所こそが\n夢の世界かもしれないね。
MID_KAMUI_M_DREAM01_HOME5: アクアが幸せになってくれるなら\n僕はどんな困難にも\n立ち向かっていく覚悟だよ。
MID_KAMUI_M_DREAM01_FRIEND: $Nfから\n挨拶をことづかってきたよ。\n元気そうでなによりだね。
MID_KAMUI_M_DREAM01_LEVEL1: 僕には守りたい笑顔がある。\nこれは、そのための力なんだ。
MID_KAMUI_M_DREAM01_LEVEL2: まだまだ上を目指すよ。\nみんなの力になりたいからね。
MID_KAMUI_M_DREAM01_LEVEL3: ごめん、がっかりさせてしまったね。
MID_KAMUI_M_DREAM01_SKILL: この確かな手応え、夢じゃないね。
MID_KAMUI_M_DREAM01_JOIN: 僕の名前はカムイ。\nアクアを笑顔にするため\n僕はここまでやってきたんだ。
MID_KAMUI_M_DREAM01_STRONGEST: 無抵抗な相手をみんなで攻撃し、\nそのことに喜びを感じる…\nそういう人たちは確かにいる。$k$p悲しいことだけど…\nその人たちに仕返しをしたって、\nアクアの心の傷は癒えない。$k$pだから、僕はアクアの傍にいてあげたい。\n彼女を守り、その傷を癒せるように…$k$pそして、いつか、\nアクアが自分自身で生きる強さを\n身につけられるように…$k$pアクアは必ず、自分の足で歩いていける。\n僕はその日まで…\nずっと見守っていきたいんだ。
MID_KAMUI_M_DREAM01_VOICE01: せいっ！
MID_KAMUI_M_DREAM01_VOICE02: おやすみ
MID_KAMUI_M_DREAM01_VOICE03: うああっ！
MID_KAMUI_M_DREAM01_VOICE04: だめだ…
MID_KAMUI_M_DREAM01_VOICE05: 眠る時間だよ
MID_KAMUI_M_DREAM01_VOICE06: 彼女のために
MID_KAMUI_M_DREAM01_VOICE07: 夢は希望だ
MID_KAMUI_M_DREAM01_VOICE08: おやすみなさい
MID_KAMUI_M_DREAM01_VOICE09: 僕も…眠ろうか…
MID_KAMUI_M_DREAM01_VOICE10: あはは
MID_KAMUI_M_DREAM01_VOICE11: 僕はアクアを笑顔にしたいんだ。小さなあの子を放っておけない…
MID_KAMUI_M_DREAM01_VOICE12: ふふ、君の挨拶は、僕とそっくりだよ。
MID_KAMUI_M_DREAM01_VOICE13: 辛いのなら、逃げたっていいんだ。逃げることは悪いことじゃない。
MID_KAMUI_M_DREAM01_VOICE14: 辛い現実より、幸せな夢の方がずっと良い…
MID_KAMUI_M_DREAM01_VOICE15: 僕は実在する存在？　それとも、誰かの夢？
MID_KAMUI_M_DREAM01_VOICE16: あの子はいつか、歩き出す。自分の足で、前へ向かって…
MID_KAMUI_M_DREAM01_VOICE17: 君なら、あの子を幸せにしてくれるかもしれないね…
MID_KAMUI_M_DREAM01_VOICE18: おはよう
MID_KAMUI_M_DREAM01_VOICE19: 眠れないの？
MID_KAMUI_M_DREAM01_VOICE20: 夢を見てたよ
