[Heroes Archive] (KAREL)


Heroes Message Name: Message


MID_KAREL_HOME1: 四方八方の異界より、\n強者どもが勢ぞろい、か…\nふっ、この世は実に良い。
MID_KAREL_HOME2: 私は一族の剣を継いだ。\nそれは、我が身を剣とする\n生涯を選んだということ…
MID_KAREL_HOME3: …強者はまだか。\n早く寄越せ、\n斬るにふさわしい強者を…
MID_KAREL_HOME4: 私がここで仕掛けたとして…\n当然、お前は防ぐ策を\n用意しているのだろうな？
MID_KAREL_HOME5: …立ち去るがいい。\n我が一族の剣の秘技…\n見れば、お前を斬らねばならぬ。
MID_KAREL_FRIEND: …お前が$Nuか。\n$Nfの友だと聞く。\nふっ、面白い。
MID_KAREL_LEVEL1: 強者を贄として、\n我が剣は神域へ至る…
MID_KAREL_LEVEL2: 我が身は剣。\nより速く…より鋭く…
MID_KAREL_LEVEL3: 錆びついたか…
MID_KAREL_SKILL: 良いぞ…実に良い。\n我が身を抑えきれぬほどだ…
MID_KAREL_JOIN: 我が名はカレル。\n剣の道に生きる者。\nお前は、私が斬るにふさわしい強者か？
MID_KAREL_STRONGEST: お前は私が望む強者ではない。\n剣も魔道も使えぬ、\n斬る価値もない存在にすぎぬ。$k$pだが、なぜだろうな…\n私はお前の傍を離れず、\nここまで共に戦い続けてきた。$k$pお前の傍にいれば\n戦には困らぬからか…\nそれとも…$k$p…存外、私はお前に\n一目置いているのかもしれん。\n私では勝てぬ強者だと…$k$pまあ良い。\n私が飽くまでは、\n傍にいてやろう。
MID_KAREL_VOICE01: はっ！
MID_KAREL_VOICE02: ふっ
MID_KAREL_VOICE03: うああっ！
MID_KAREL_VOICE04: …まだ、死ねぬ
MID_KAREL_VOICE05: 宴の始まりだ…
MID_KAREL_VOICE06: 抑えられん…
MID_KAREL_VOICE07: 血が揺らぐ…
MID_KAREL_VOICE08: 斬らずにはいられぬ
MID_KAREL_VOICE09: …見事…
MID_KAREL_VOICE10: ふっ
MID_KAREL_VOICE11: 強者はどこにいる？
MID_KAREL_VOICE12: …斬られたくなければ、離れろ。
MID_KAREL_VOICE13: 家族は皆、斬った。妹を除いて…
MID_KAREL_VOICE14: 剣を継ぐのは、一人
MID_KAREL_VOICE15: 私はこの刃と同じ
MID_KAREL_VOICE16: 剣（つるぎ）の道は、未だ果てなし…
MID_KAREL_VOICE17: 安心しろ。お前は斬らぬ
MID_KAREL_VOICE18: …ああ
MID_KAREL_VOICE19: さて…
MID_KAREL_VOICE20: 宴の時だ…
