[Heroes Archive] (KATUA_SPRING02)


Heroes Message Name: Message


MID_KATUA_SPRING02_HOME1: 暖かくなってきたわね…\n今は戦時中ではあるけれど、\n少し一息つきたくなるわ。
MID_KATUA_SPRING02_HOME2: これまで季節の移り変わりを楽しむ\n余裕なんてなかったわ…\n春ってこんなに素敵な季節だったのね。
MID_KATUA_SPRING02_HOME3: 一緒に訓練しましょうか？\n春祭りだからって、\n浮かれるわけにはいかないわ。
MID_KATUA_SPRING02_HOME4: 春祭りのうさぎは、繁栄と多産の象徴…\n良い子が生まれますように、\nという願いも込められているそうよ。
MID_KATUA_SPRING02_HOME5: せっかく暖かくなったから、\n天馬たちの身体を洗ってあげようかしら。\nあの子たちもきっと喜ぶはずよ。
MID_KATUA_SPRING02_FRIEND: $Nfの代理として、\nこちらに挨拶に参りました。\nこ、この格好のことは、どうかお構いなく…
MID_KATUA_SPRING02_LEVEL1: 新しい春の訪れ…何か良いことが\n起こりそうな予感がするわ。
MID_KATUA_SPRING02_LEVEL2: 心地良い春の風を感じるわ…
MID_KATUA_SPRING02_LEVEL3: 春はまだ、遠いみたいね…
MID_KATUA_SPRING02_SKILL: 新しい春、心機一転、\nがんばるつもりよ。
MID_KATUA_SPRING02_JOIN: 私は白騎士団のカチュア。\nこの格好は…任務のために必要で…\nあ、あまり気にしないで…
MID_KATUA_SPRING02_STRONGEST: 春のお祭りを楽しむ、なんて…\nこれまで長く厳しい戦争を続けてきた時は、\n考えもしなかったわ。$k$pでも、辛い経験があるからこそ、\n新しい季節の訪れを祝うことに\n意味があるのかもしれないわね。$k$pあっ、ごめんなさい。\nまた真面目な言い方になってしまって…\n私、頭が固いってよく言われるの。$k$pお祭りの時くらい、\n何もかも忘れて楽しまないと。\nでも、どうすればいいのかしら…？$k$pそうね。あなたが…\nあなたが一緒にいてくれたら、\n私も変われるのかも…$k$p何もかも忘れて、あなたと…\nありがとう…$Nu…
MID_KATUA_SPRING02_VOICE01: えいっ！
MID_KATUA_SPRING02_VOICE02: 春よ！
MID_KATUA_SPRING02_VOICE03: きゃああっ！
MID_KATUA_SPRING02_VOICE04: 服が…！
MID_KATUA_SPRING02_VOICE05: スプリングハズカム
MID_KATUA_SPRING02_VOICE06: 任務のためなら！
MID_KATUA_SPRING02_VOICE07: どんな格好でも…！
MID_KATUA_SPRING02_VOICE08: ウサギさんよ
MID_KATUA_SPRING02_VOICE09: せめて…着替えさせて…
MID_KATUA_SPRING02_VOICE10: ふふふ
MID_KATUA_SPRING02_VOICE11: 白騎士団のカチュアよ。こ、この格好の理由は聞かないで…
MID_KATUA_SPRING02_VOICE12: きゃあっ！？　え、ウサギの耳が曲がってた…？
MID_KATUA_SPRING02_VOICE13: こんな姿、姉さんたちに見られたらなんて言われるか…
MID_KATUA_SPRING02_VOICE14: は、恥ずかしいから…そんなに見ないで…もう、どうして私がこんな格好を…
MID_KATUA_SPRING02_VOICE15: え？　似合ってる…？　バ、バカなこと言わないで。
MID_KATUA_SPRING02_VOICE16: ぴ、ぴょん…？　だめ、絶対言えないわ…
MID_KATUA_SPRING02_VOICE17: 格好はともかく、あなたを守りたい気持ちは真剣よ。格好はともかく…
MID_KATUA_SPRING02_VOICE18: はい
MID_KATUA_SPRING02_VOICE19: どうすればいいの？
MID_KATUA_SPRING02_VOICE20: 任務のためなら…
