[Heroes Archive] (LAEVATEIN_MIKATA01)


Heroes Message Name: Message


MID_LAEVATEIN_MIKATA01_HOME1: ニフルは雪だらけで、寒い…\nアスクは過ごしやすいけど、\n私にはちょっと寒い。
MID_LAEVATEIN_MIKATA01_HOME2: ムスペルは炎の国…\n私はそこで生まれて、そこで育った。\n特に、好きでも嫌いでもない…
MID_LAEVATEIN_MIKATA01_HOME3: 姉上のこと？　姉上は優しくて、賢い人。\n相手の考えを全部見抜いてしまうし、\n私にも色々優しく教えてくれる…
MID_LAEVATEIN_MIKATA01_HOME4: 物心つく前から…姉上と私は、\nずっと戦闘訓練に明け暮れてきた。\n弱き者は、父上に殺されるから…
MID_LAEVATEIN_MIKATA01_HOME5: 私の剣は【炎剣レーヴァテイン】…\n私の名と同じ。\nだから、私自身のように感じる…
MID_LAEVATEIN_MIKATA01_FRIEND: 挨拶をしないといけないから…来た。\nここは、$Nfの\n城と似てる気がする…
MID_LAEVATEIN_MIKATA01_LEVEL1: 体が熱い…\nでも、心地良い…
MID_LAEVATEIN_MIKATA01_LEVEL2: 私は剣。\nレーヴァテイン…
MID_LAEVATEIN_MIKATA01_LEVEL3: 調子が良くない…\nきっとここが寒いせい。
MID_LAEVATEIN_MIKATA01_SKILL: 体が研ぎ澄まされていく…\nもう、私は負けない。
MID_LAEVATEIN_MIKATA01_JOIN: ムスペル王国のレーヴァテイン…\n私は剣…命令の通りに、敵を殺す。\n命令するのは、お前…？
MID_LAEVATEIN_MIKATA01_STRONGEST: 剣は何も思わない。何も考えない。\n私はただ敵を殺す道具…\n父上からそう教わった…$k$pでも、$Nu…\nここでお前と過ごして…\n私は、色々なことを思うようになった。$k$p姉上が、私に生きることを願うなら…\n私は生きたい…\nお前と一緒に…$k$pこれは私の思い…？\nそれとも、姉上の思い…？\nそれはわからないけど、$k$pこの不思議な気持ち…\n嫌いじゃない…
MID_LAEVATEIN_MIKATA01_VOICE01: はぁっ！
MID_LAEVATEIN_MIKATA01_VOICE02: 斬る
MID_LAEVATEIN_MIKATA01_VOICE03: きゃああっ！
MID_LAEVATEIN_MIKATA01_VOICE04: こんな…
MID_LAEVATEIN_MIKATA01_VOICE05: レーヴァテイン…
MID_LAEVATEIN_MIKATA01_VOICE06: お前を斬る
MID_LAEVATEIN_MIKATA01_VOICE07: たぶん、これで終わり
MID_LAEVATEIN_MIKATA01_VOICE08: 私は剣…
MID_LAEVATEIN_MIKATA01_VOICE09: もう…戦えない…
MID_LAEVATEIN_MIKATA01_VOICE10: ふっ…
MID_LAEVATEIN_MIKATA01_VOICE11: 私はレーヴァテイン…この剣の名前と一緒だ。
MID_LAEVATEIN_MIKATA01_VOICE12: ひゃあっ…！？　な、なにをする…？
MID_LAEVATEIN_MIKATA01_VOICE13: 私に悪ふざけしたら、絶対斬る。
MID_LAEVATEIN_MIKATA01_VOICE14: 命令なら、なんでもいうことを聞く。
MID_LAEVATEIN_MIKATA01_VOICE15: 剣はものを考えない…そう教わった。
MID_LAEVATEIN_MIKATA01_VOICE16: 自分の気持ちに従う…自分で考える…とても難しい…
MID_LAEVATEIN_MIKATA01_VOICE17: お前といっしょにいたい…こんな気持ちは、はじめて。
MID_LAEVATEIN_MIKATA01_VOICE18: わかった
MID_LAEVATEIN_MIKATA01_VOICE19: どうすればいい？
MID_LAEVATEIN_MIKATA01_VOICE20: いう通りにする
