[Heroes Archive] (LAGARTO)


Heroes Message Name: Message


MID_LAGARTO_HOME1: ここはいい場所だな。\n何よりオレの仕事が必要ないってとこが\n一番、いいぜ。
MID_LAGARTO_HOME2: 【黒い牙】はもともと\n悪人を始末する義賊…だが、\nあいつが来てから、変わっちまった。
MID_LAGARTO_HOME3: お、$Nuか、\nいつもの見回りかい？\nお前自身の息抜きも忘れんなよ。
MID_LAGARTO_HOME4: よう、こっちでのんびりしてかねえか。\n寝床や食い物の心配がないってのは\n本当に良い事だ。
MID_LAGARTO_HOME5: 暗殺者ってのは、基本的に弱いもんだ。\nだから、小細工をする…\n気を付けるんならそっちだぜ。
MID_LAGARTO_FRIEND: よう、後ろからちょいと失礼。\n$Nfが\nよろしく言ってたぜ。
MID_LAGARTO_LEVEL1: 【疾風】の名は伊達じゃないぜ。
MID_LAGARTO_LEVEL2: オレの腕もまだ鈍っちゃいねえな。
MID_LAGARTO_LEVEL3: ヤキが回ったな…
MID_LAGARTO_SKILL: オレに期待してんのかい？\nま、ほどほどには頑張ってやるさ。
MID_LAGARTO_JOIN: オレの名はラガルト。ケチな盗賊さ。\nご期待に沿えるかはともかく、\n死なない程度には協力してやるぜ。
MID_LAGARTO_STRONGEST: よう、$Nu。\n今日もお勤めご苦労さん。\nオレはまあ、ぼちぼちってところだ。$k$pこう見えても最初は結構ビビッてたんだぜ。\nオレみたいな奴を呼びつけてまで戦うって\n奴らは、どんな悪党だと思ってさ。$k$pもちろん、ここまで一緒にやってきたんだ。\n今なら、お前やここの連中が\nそんな悪人じゃないってよくわかってる。$k$pそして何より、雰囲気がいい。\nオレがかつて知っていた…\nあの頃の空気に似てる。$k$pだから、お前はこのまま真っ直ぐ進め。\n何かが変わり果てていく様ってのは\n何度も見たいものじゃないんでな…
MID_LAGARTO_VOICE01: ほらよっ
MID_LAGARTO_VOICE02: 悪いね
MID_LAGARTO_VOICE03: うああっ！
MID_LAGARTO_VOICE04: 参ったね…
MID_LAGARTO_VOICE05: 始末するぜ
MID_LAGARTO_VOICE06: くだらねえ手だが
MID_LAGARTO_VOICE07: どんな気分だ？
MID_LAGARTO_VOICE08: ここだよ
MID_LAGARTO_VOICE09: あいつらに…会いに行くとするか…
MID_LAGARTO_VOICE10: ははっ
MID_LAGARTO_VOICE11: ラガルトだ。元・【黒い牙】…今はしがない盗賊ってやつさ。
MID_LAGARTO_VOICE12: なんだ、えらくオレに興味があるんだな。ほれたかい？
MID_LAGARTO_VOICE13: 誤解するなよ。暗殺者ってのは、弱い人間なんだ。
MID_LAGARTO_VOICE14: まともな手段じゃ勝てねえから、くだらねえ小細工するのさ。
MID_LAGARTO_VOICE15: 不意打ちに毒に人質…オレの知ってる戦い方はそんなもんさ。
MID_LAGARTO_VOICE16: 暗殺なんざほめられた仕事じゃないが…それでも、オレたちなりの誇りがあった。
MID_LAGARTO_VOICE17: オレがあんたといる理由…？　まあ、いわゆる愛ってやつかね。
MID_LAGARTO_VOICE18: いいぜ
MID_LAGARTO_VOICE19: ん？
MID_LAGARTO_VOICE20: 誰からやる？
