[Heroes Archive] (LIZ)


Heroes Message Name: Message


MID_LIZ_HOME1: どうしてわたしには、\nお兄ちゃんやお姉ちゃんみたいに\n聖痕がないんだろう…
MID_LIZ_HOME2: わたし、お兄ちゃんの自警団でも\n頑張ってたんだよ。いっぱい旅をして…\n世界を守るために戦ったんだから！
MID_LIZ_HOME3: $Nuさん、平気？\nもし怪我とかしたらすぐ言ってね。\nわたしがババーンと治しちゃうから！
MID_LIZ_HOME4: シャロンさんって、素敵な王女さまだね。\n話しかけてみたいけど勇気が出なくて…\nえ、ついてきてくれるの？　ありがとう…！
MID_LIZ_HOME5: えへへ…この辺りにカエルを…\nあ、$Nuさん！？\nいたずらしようとしてたのバレちゃった…！
MID_LIZ_FRIEND: あ、$Nuさーん！\n$Nfさんがね、\nあなたにご挨拶しておいでって！
MID_LIZ_LEVEL1: わたしも、\n一緒に戦うんだもん…！
MID_LIZ_LEVEL2: えへへ。わたしだって、\nやればできるんだよ！
MID_LIZ_LEVEL3: わたしの頑張り、\nちょっと足りなかったのかな？
MID_LIZ_SKILL: あなたのおかげでわたし、\nここまで強くなれたんだよ！
MID_LIZ_JOIN: わたしリズね、憶えてよね！\nこう見えてクロム自警団の一員で、\nイーリス聖王国の第二王女なんだよ！
MID_LIZ_STRONGEST: ねえ、$Nuさん！\nわたし、この世界に来てから…\n結構成長したと思うんだけど、どうかな？$k$p戦場にも慣れたし、\n特務機関のみんなとも仲良くなれたし、\nこの世界のご飯だって好き嫌いしないし！$k$pえへへ、やっぱりそう思うよね？\n褒めてくれてありがとう。\nそれってぜーんぶ、あなたのおかげだよ！$k$pあなたが一緒にいてくれたからわたし、\n憧れのレディに近づけた気がするんだ。\nこれからもご指導よろしくねっ！$k$pちなみに…いたずらの腕も上がったんだよ。\nほらその服の袖にカエルさんが…\nあはは、大成功！　驚いてくれて嬉しいー！\n
MID_LIZ_VOICE01: えいっ！
MID_LIZ_VOICE02: それっ！
MID_LIZ_VOICE03: きゃあっ
MID_LIZ_VOICE04: やっちゃった…
MID_LIZ_VOICE05: 甘く見ないで…！
MID_LIZ_VOICE06: いくよ…必殺！
MID_LIZ_VOICE07: わたしも戦うもん！
MID_LIZ_VOICE08: ばーんっていくよ！
MID_LIZ_VOICE09: ご、ごめんね…
MID_LIZ_VOICE10: えへへ
MID_LIZ_VOICE11: 一緒にがんばろうね！
MID_LIZ_VOICE12: わたしも頑張っちゃうよ！
MID_LIZ_VOICE13: ちんまいって言われるけど、そんなことないよね
MID_LIZ_VOICE14: ねえねえ、あなたのこともっと聞かせて！
MID_LIZ_VOICE15: 特務機関、かっこいいね！　きらーんってきて、ばーんって感じ！
MID_LIZ_VOICE16: いつか、お姉ちゃんみたいな素敵なレディになるの…
MID_LIZ_VOICE17: せっかくこうして会えたんだもん、\nわたしたち、仲良くしようね！
MID_LIZ_VOICE18: うん
MID_LIZ_VOICE19: どうしよう…
MID_LIZ_VOICE20: がんばろっ
