[Heroes Archive] (LUCINA_POPULARITY01)


Heroes Message Name: Message


MID_LUCINA_POPULARITY01_HOME1: お父様、お母様…\nこの世界の戦いを終わらせるため…\n私、頑張ります。
MID_LUCINA_POPULARITY01_HOME2: お父様のことは尊敬しています。\nもしお父様の命を奪おうとする者がいれば、\nその時は、私の手で…
MID_LUCINA_POPULARITY01_HOME3: あなたが少しでも休めるように、\nお手伝いしたいのですが…\n何が良いでしょうか？\n
MID_LUCINA_POPULARITY01_HOME4: この槍は【ゲイルスケグル】…\n異界の槍です。本来なら、\n私が持つものではないのですが…
MID_LUCINA_POPULARITY01_HOME5: す、すみません…訓練をしていたら、\nまた壁に穴を空けてしまいました…\n槍の方が穴が空きやすいみたいで…
MID_LUCINA_POPULARITY01_FRIEND: $Nfさんから、\n挨拶を頼まれたんです。\nこれからもよろしくお願いします。
MID_LUCINA_POPULARITY01_LEVEL1: お父様を\nお助けできるように…！
MID_LUCINA_POPULARITY01_LEVEL2: イーリスの槍技…\nつかめてきました。
MID_LUCINA_POPULARITY01_LEVEL3: 槍の握り方が\n甘いのかもしれません…
MID_LUCINA_POPULARITY01_SKILL: ありがとうございます。\nこの力、決して無駄にはしません。
MID_LUCINA_POPULARITY01_JOIN: 私はルキナ。未来のイーリス王女…\nこの異槍【ゲイルスケグル】で\nあなたをお助けします！
MID_LUCINA_POPULARITY01_STRONGEST: 私の剣技は、お父様に\n教えていただいたんです。\n当時、私はまだ幼くて…$k$pとても訓練とは呼べない、\n子供の遊びのようなものでしたけど、\nとても大切な思い出です。$k$pでも、その時は…\n槍をちゃんと教えていただく機会は…\nありませんでした。$k$p私、ここへ来て、思ったんです。\nこの世界には…\n優しい希望があります。$k$pだって、\n亡くなった大切な人たちに…\nまた会えるんですから…$k$p…異なる世界に来るのは、\n初めてではありませんから。\n私、これからも頑張りますよ！
MID_LUCINA_POPULARITY01_VOICE01: せいっ！
MID_LUCINA_POPULARITY01_VOICE02: いきます！
MID_LUCINA_POPULARITY01_VOICE03: きゃああっ！
MID_LUCINA_POPULARITY01_VOICE04: こんなことって…
MID_LUCINA_POPULARITY01_VOICE05: お父様のように！
MID_LUCINA_POPULARITY01_VOICE06: まっすぐいきます！
MID_LUCINA_POPULARITY01_VOICE07: この槍で！
MID_LUCINA_POPULARITY01_VOICE08: 見ていてください！
MID_LUCINA_POPULARITY01_VOICE09: お父様…すみません…
MID_LUCINA_POPULARITY01_VOICE10: ふふふ
MID_LUCINA_POPULARITY01_VOICE11: 少しだけ、お父様に近づけたような気がします。
MID_LUCINA_POPULARITY01_VOICE12: 剣はお父様に習いました。槍も、もっとお父様に指導していただきたいです。
MID_LUCINA_POPULARITY01_VOICE13: あなたのいた異界で、何かお祭りがあったのでしょうか？
MID_LUCINA_POPULARITY01_VOICE14: 夢を見たんです。異界の人々が、絶望の世界に希望を与えてくれる夢…
MID_LUCINA_POPULARITY01_VOICE15: この武器はきっと、異界の人々が私に授けてくれたものです。
MID_LUCINA_POPULARITY01_VOICE16: お父様。この世界でも、一緒に…
MID_LUCINA_POPULARITY01_VOICE17: あなたとの絆が…私を強くしてくれます。
MID_LUCINA_POPULARITY01_VOICE18: わかりました
MID_LUCINA_POPULARITY01_VOICE19: どうしましょうか？
MID_LUCINA_POPULARITY01_VOICE20: 指示をください
