[Heroes Archive] (NABARL)


Heroes Message Name: Message


MID_NABARL_HOME1: 異界の使い手が集う地、か…\n
MID_NABARL_HOME2: ………………。\n俺の前に立つな。
MID_NABARL_HOME3: 俺にかまうな。\n次の戦いのことだけを考えろ。
MID_NABARL_HOME4: …なんだ。\n用がないなら、俺は行くぞ。
MID_NABARL_HOME5: この城には変わった連中が多い。\n…お前も含めてな。
MID_NABARL_FRIEND: …$Nfから挨拶だ。\n
MID_NABARL_LEVEL1: …悪くない。
MID_NABARL_LEVEL2: こんなところか。
MID_NABARL_LEVEL3: …………
MID_NABARL_SKILL: ただ戦い続けてきただけだ。\n功績など、俺には意味がない…
MID_NABARL_JOIN: 俺はナバール。\n俺を雇いたいのか？\n…好きにしろ。
MID_NABARL_STRONGEST: 俺は常に\n独りで戦い続けてきた。\nだが…$k$pお前たちと共に戦う未来も\n悪くないのかもしれん…$k$p…いや、\n今の言葉は…忘れろ…$k$p…世迷い言を口にした。\n$Nu、\nお前のせいだ…
MID_NABARL_VOICE01: はぁっ！
MID_NABARL_VOICE02: せいっ！
MID_NABARL_VOICE03: うああっ！
MID_NABARL_VOICE04: ちぃっ…
MID_NABARL_VOICE05: 死んでもらう
MID_NABARL_VOICE06: …試してみるか？
MID_NABARL_VOICE07: くらえ…
MID_NABARL_VOICE08: …もう、死ね
MID_NABARL_VOICE09: 終わり、か…
MID_NABARL_VOICE10: …ふっ
MID_NABARL_VOICE11: …何だ？
MID_NABARL_VOICE12: …俺は高いぞ
MID_NABARL_VOICE13: …邪魔をするな
MID_NABARL_VOICE14: 力を貸してやろう
MID_NABARL_VOICE15: 俺は女を斬る剣は持たぬ
MID_NABARL_VOICE16: 俺の剣を受けられる奴がいるとも思えんが…
MID_NABARL_VOICE17: …お前は、死ぬなよ…
MID_NABARL_VOICE18: …ああ
MID_NABARL_VOICE19: さて…
MID_NABARL_VOICE20: 斬る
