[Heroes Archive] (NEPENEE)


Heroes Message Name: Message


MID_NEPENEE_HOME1: はあ…\n村のみんな\n元気にしとるかなぁ…
MID_NEPENEE_HOME2: 今日はええ天気じゃなあ。\n…あっ。
MID_NEPENEE_HOME3: 近くに、木の実が…\nなっとったから…\n良かったら…
MID_NEPENEE_HOME4: あたし、田舎もんじゃけえ…\n話すの慣れとらんのじゃ…
MID_NEPENEE_HOME5: …あの…。\n$Nu…さん…\n…………\n
MID_NEPENEE_FRIEND: ……あ。\n$Nf…さんに…\n…挨拶…頼まれて…じゃ、じゃあ…
MID_NEPENEE_LEVEL1: …うん。
MID_NEPENEE_LEVEL2: ……
MID_NEPENEE_LEVEL3: いけん…
MID_NEPENEE_SKILL: え、えええ……？
MID_NEPENEE_JOIN: あたし、ネフェニー…です。\nあたしも戦い…ます。\nよ、よろしく…
MID_NEPENEE_STRONGEST: あっ、$Nu…さん…$k$pな、なんでも…$k$pあ、ええと…$k$pも、もう、知っとると思うけど…\nあたし、田舎もんじゃけえ…$k$p喋るとすげえなまっとるけえ、\n恥ずかしいけど…$k$pい、いつも…\nありがとう…
MID_NEPENEE_VOICE01: えいっ！
MID_NEPENEE_VOICE02: この…！
MID_NEPENEE_VOICE03: きゃああっ！
MID_NEPENEE_VOICE04: いけん…
MID_NEPENEE_VOICE05: 戦い、ます…！
MID_NEPENEE_VOICE06: 負け、ません…
MID_NEPENEE_VOICE07: もうおえん
MID_NEPENEE_VOICE08: おめー！
MID_NEPENEE_VOICE09: …目の前が…暗く…
MID_NEPENEE_VOICE10: うーん…
MID_NEPENEE_VOICE11: …なん、ですか？　御用、ですか？
MID_NEPENEE_VOICE12: …ひゃぁっ！？　ななななにしょん…！？
MID_NEPENEE_VOICE13: あたしと話…？　……い、いら…りません。
MID_NEPENEE_VOICE14: ごめんなさい、あたし…田舎もんじゃけえ…話すの苦手で…
MID_NEPENEE_VOICE15: もう、都会の人のしょーることはようわからんわ
MID_NEPENEE_VOICE16: あたしの言葉…風変わりーし…恥ずかしいんじゃあ…
MID_NEPENEE_VOICE17: あんた…あんまりがんばりすぎたらおえんよ…
MID_NEPENEE_VOICE18: …了解
MID_NEPENEE_VOICE19: ええが
MID_NEPENEE_VOICE20: わかり…ました
