[Heroes Archive] (NINIAN)


Heroes Message Name: Message


MID_NINIAN_HOME1: ここは…\n風も大地も澄んでいます…
MID_NINIAN_HOME2: あなたは、ここにいる方々とは\n全く違う存在…なんとなく、\nそんな気がします…
MID_NINIAN_HOME3: あ、$Nu様…\nいつもお気遣いくださって…\nありがとうございます…
MID_NINIAN_HOME4: ふだんの踊りとは違う…\nとくべつな踊りもあります。\nえ？　ご覧になりたいですか…？
MID_NINIAN_HOME5: わたしは、自分の身に起きる危険を…\n少し前に感じることができるんです。\nでも今は、何も…すみません…
MID_NINIAN_FRIEND: $Nf様のかわりに、\n御挨拶に参りました。\nよろしければ、友好の舞いを…\n
MID_NINIAN_LEVEL1: ご満足いただけたなら\n良かったです…
MID_NINIAN_LEVEL2: これは、喜んだら\nいいのでしょうか…？
MID_NINIAN_LEVEL3: すみません…\nお役に立てなくて…
MID_NINIAN_SKILL: わたしの中の何かが…\n目覚めようと…
MID_NINIAN_JOIN: わたしはニニアンと申します。\nささやかな芸をお見せしながら\n旅をしています…
MID_NINIAN_STRONGEST: あなたはもう、\nすべてご存知だと思います…\nはい…わたしは人ではありません。$k$pわたしは竜…\n本当なら、人とは\n決して相容れない存在です…$k$pでも、ここでなら…\nこうしてあなたと…\n皆様と一緒にいられます。$k$pそれはきっと、\n種族の違いを無にしてしまうくらい…\nあなたがとても特別な人だから…$k$pありがとうございます。\nせめてものお礼に…\nわたしの特別な踊りをお見せ致します…
MID_NINIAN_VOICE01: えい！
MID_NINIAN_VOICE02: はぁっ！
MID_NINIAN_VOICE03: きゃああっ！
MID_NINIAN_VOICE04: もう…
MID_NINIAN_VOICE05: わたしの力…
MID_NINIAN_VOICE06: これ以上は…
MID_NINIAN_VOICE07: …もういいのです
MID_NINIAN_VOICE08: …やってみます
MID_NINIAN_VOICE09: …あぁ…
MID_NINIAN_VOICE10: ふふ…
MID_NINIAN_VOICE11: わたしの踊りで…
MID_NINIAN_VOICE12: 恥ずかしいですが…
MID_NINIAN_VOICE13: なんでしょうか…？
MID_NINIAN_VOICE14: わたしと仲良くしてくださるのですね…
MID_NINIAN_VOICE15: あなたは、竜が怖くないのですか？
MID_NINIAN_VOICE16: 人と竜が、共に暮らせるような…
MID_NINIAN_VOICE17: わたしを受け入れてくださるのですね…
MID_NINIAN_VOICE18: はい…
MID_NINIAN_VOICE19: どうしたら…
MID_NINIAN_VOICE20: 行きます
