[Heroes Archive] (NOIR_SUMMER03)


Heroes Message Name: Message


MID_NOIR_SUMMER03_HOME1: きれいな空、人が笑う声…\nまるで楽園のよう…
MID_NOIR_SUMMER03_HOME2: 私たちの世界も、\nあの海のように…\n希望のあふれる未来にしたい…
MID_NOIR_SUMMER03_HOME3: 今日は日差しが強いわね。\nすぐ汗だくになっちゃう…
MID_NOIR_SUMMER03_HOME4: ひぃっ！？\nあ奴、さては異界の敵！？\nえ…あの人も仲間なの…？
MID_NOIR_SUMMER03_HOME5: えっ…別に機嫌は悪くないわ…\nずっとうつむいてる、って？\n…この水着、胸がきつくて…
MID_NOIR_SUMMER03_FRIEND: $Nfの…友達？\nあ、挨拶を頼まれて…\nひぃっ！　それ以上近づかないで…！
MID_NOIR_SUMMER03_LEVEL1: 母さんを見習った\nおかげかしら…？
MID_NOIR_SUMMER03_LEVEL2: な、なんとか\nうまくいったみたい…
MID_NOIR_SUMMER03_LEVEL3: そういえば…\nこの方角は凶兆だって\n母さんが言ってた…
MID_NOIR_SUMMER03_SKILL: この力があれば、今よりもっと\n役に立てるわ…
MID_NOIR_SUMMER03_JOIN: 私はノワール…\nひ、ひぃっ！？\n…わ、私をどこへ連れて行くつもり…？
MID_NOIR_SUMMER03_STRONGEST: ひぃぃっ！？\nき、貴様、さては私を狙う敵の――！？\n…あ、$Nu…$k$pご、ごめんなさい…\nつい昔のことを思い出して…\nあなたのことは、怖くないから平気…$k$p私は、とても恐ろしい世界にいたから…\nこんなふうに穏やかに過ごせるなんて、\nまるで現実じゃないみたい…$k$pあのきらきらした夏の海…\n母さんやみんなと、\nまた一緒に行けたら良いな…$k$pきっと、素敵な思い出になる…\nその時も$Nuが\n隣にいてくれたら嬉しいな…
MID_NOIR_SUMMER03_VOICE01: えいっ
MID_NOIR_SUMMER03_VOICE02: それっ
MID_NOIR_SUMMER03_VOICE03: くっ…！
MID_NOIR_SUMMER03_VOICE04: 貴様何をする！
MID_NOIR_SUMMER03_VOICE05: 海に散るが良い！
MID_NOIR_SUMMER03_VOICE06: 南国アタック！
MID_NOIR_SUMMER03_VOICE07: 沈めてやろう！
MID_NOIR_SUMMER03_VOICE08: 夏の思い出だ！
MID_NOIR_SUMMER03_VOICE09: もう、海に帰りたい…
MID_NOIR_SUMMER03_VOICE10: うふふ…
MID_NOIR_SUMMER03_VOICE11: この水着…少し胸がきついかもしれないわ…
MID_NOIR_SUMMER03_VOICE12: 波打ち際で追いかけっこするのに少し、憧れてるの…
MID_NOIR_SUMMER03_VOICE13: ど、どうしたの？　召喚師の挨拶って、面白いわね…
MID_NOIR_SUMMER03_VOICE14: 海は好きだけど、日差しの強いところは苦手だわ…
MID_NOIR_SUMMER03_VOICE15: なに！？　水着がずれているだと！？　教えてくれてありがとう…
MID_NOIR_SUMMER03_VOICE16: 夏の空、すごくきれいだったわ…私たちの未来にはなかった色だった…
MID_NOIR_SUMMER03_VOICE17: いつか一緒に戦った英雄たち全員で…海に行きたいわ。\nきっと、忘れられない思い出になると思うの…
MID_NOIR_SUMMER03_VOICE18: な、なに…？
MID_NOIR_SUMMER03_VOICE19: 暑くてのぼせそう…
MID_NOIR_SUMMER03_VOICE20: 海に行くのね…
