[Heroes Archive] (PAORA)


Heroes Message Name: Message


MID_PAORA_HOME1: カチュアとエストは…\n妹たちは元気でいるかしら。
MID_PAORA_HOME2: わたし、面倒見が良いって\n昔からよく言われるんですよ。\n妹たちのおかげかしら？
MID_PAORA_HOME3: いつもありがとうございます。\n見回りが落ち着いたら、\n一休みなさってくださいね。
MID_PAORA_HOME4: お元気ですか？\nお疲れでしたら、いつでも言ってくださいね。\n体をほぐしてあげるのは得意なんです。
MID_PAORA_HOME5: ああ、そうそう。\n天馬たちの世話を\nしてあげないと…
MID_PAORA_FRIEND: こんにちは。お会いできて光栄です。\n$Nfさんから、\nあなたへの御挨拶をお届けに来ました。
MID_PAORA_LEVEL1: まあ、良かった。\n嬉しくなってしまうわ。
MID_PAORA_LEVEL2: わたしはまだまだ\n強くなれるはず…
MID_PAORA_LEVEL3: あら…\nわたし、長女なのに…
MID_PAORA_SKILL: ありがとうございます。\nこれからもがんばりますね。
MID_PAORA_JOIN: わたしは\nマケドニア白騎士団のパオラ。\nこれからよろしくお願いしますね。
MID_PAORA_STRONGEST: わたしにとっての主は…\nもちろんミネルバ様です。$k$pそれに二人の妹たちも\nとても大切な存在です。\nでも…$k$pこの世界で…\n同じくらい大切な人が\nできてしまいました。$k$pできればこれからも…\nあなたの隣にいたい…\nよろしいですか…？$k$pありがとうございます…！\nわたし、嬉しいです…！
MID_PAORA_VOICE01: はいっ！
MID_PAORA_VOICE02: ええいっ！
MID_PAORA_VOICE03: きゃああっ！
MID_PAORA_VOICE04: そんな…！
MID_PAORA_VOICE05: ごめんなさいね
MID_PAORA_VOICE06: 行きましょう
MID_PAORA_VOICE07: 優しくできないわ
MID_PAORA_VOICE08: 見せてあげます
MID_PAORA_VOICE09: ごめんな…さい…
MID_PAORA_VOICE10: ふふ
MID_PAORA_VOICE11: どうかしましたか？
MID_PAORA_VOICE12: きゃっ、まあ…困った人
MID_PAORA_VOICE13: がんばりましょうね
MID_PAORA_VOICE14: おけがはありませんか？
MID_PAORA_VOICE15: わたし、ついお世話をしたくなって…
MID_PAORA_VOICE16: ゆっくり休んでくださいね
MID_PAORA_VOICE17: 何かあったら、いつでも言ってください
MID_PAORA_VOICE18: がんばりますね
MID_PAORA_VOICE19: 落ち着いて
MID_PAORA_VOICE20: 行きますね
