[Heroes Archive] (RINDA)


Heroes Message Name: Message


MID_RINDA_HOME1: 父の仇ガーネフ…\nこのオーラの魔道書で\n必ず討ってみせるわ！
MID_RINDA_HOME2: わたしは悪い人たちに捕まって…\nとても怖い目にあったわ。\nでも、マルス様に助けてもらったの。
MID_RINDA_HOME3: ね、ねえ！　いつもありがとう。\nあなたがわたしたちを気遣ってくれてること、\nわたしはちゃんと知ってるから…
MID_RINDA_HOME4: この格好が可愛い…？\nう、嬉しいけどあんまり\nじろじろ見ないでね！
MID_RINDA_HOME5: これはお父様からいただいた\n大切なローブなの。\n恥ずかしくなんてないんだから…
MID_RINDA_FRIEND: あなたが$Nuさんね。\n$Nfに言われて\n挨拶に来たの。よろしくね。
MID_RINDA_LEVEL1: ふふっ、今日は\nとっても良い日みたい。
MID_RINDA_LEVEL2: 見て、これが\nわたしの本当の力よ。
MID_RINDA_LEVEL3: こんなことじゃ…お父様に\nなんて言ったらいいか…
MID_RINDA_SKILL: 光の魔道オーラの後継者として、\n恥ずかしくない魔道士になるわ。
MID_RINDA_JOIN: わたしはリンダ。\nミロア大司祭の娘よ。\n…あんまりじろじろ見ないで。
MID_RINDA_STRONGEST: ね、ねえ。\n別に大したことじゃないけど、その…\nちゃんとお礼を言っておこうと思って。$k$pあなたと出会ってから色々あったけど…\n今思うと、すごく楽しかった思い出ばかりよ。\nとても感謝してるわ。$k$p元の世界で、お父様が亡くなってから、\nつらくてずっとふさぎこんでた時期も\nあったから…$k$pあっ…ごめんなさい。\nうん、今はもう大丈夫よ。\nあなたが一緒にいてくれるから…$k$pふふっ、気を遣ってくれてありがとう。\nやっぱりあなたって…\n優しいのね。
MID_RINDA_VOICE01: はいっ！
MID_RINDA_VOICE02: えいっ！
MID_RINDA_VOICE03: きゃああっ！
MID_RINDA_VOICE04: ま、負けないっ
MID_RINDA_VOICE05: 光よ！
MID_RINDA_VOICE06: とどめよ！
MID_RINDA_VOICE07: 怪我するわよ！
MID_RINDA_VOICE08: 負けるもんですか
MID_RINDA_VOICE09: ああ…そんな…
MID_RINDA_VOICE10: ふふ
MID_RINDA_VOICE11: 私に何か用かしら？
MID_RINDA_VOICE12: きゃっ！？　な、何よ？
MID_RINDA_VOICE13: お父様からいただいた服なの
MID_RINDA_VOICE14: 恥ずかしくなんてないんだから…
MID_RINDA_VOICE15: 大司祭ミロアの娘よ。
MID_RINDA_VOICE16: お父様の仇は、この手で…
MID_RINDA_VOICE17: …ねえ。もう少し話をしない？
MID_RINDA_VOICE18: いいわ
MID_RINDA_VOICE19: どうしようかしら…
MID_RINDA_VOICE20: ちゃんと見ていて
