[Heroes Archive] (RONKUU)


Heroes Message Name: Message


MID_RONKUU_HOME1: 女嫌いを克服できれば…\nより剣士としての高みに\n辿り着けるのだがな…
MID_RONKUU_HOME2: 俺は自警団に入るまでは\nフェリア国の西の王、\nバジーリオの片腕として働いていた…
MID_RONKUU_HOME3: お前はいつも何かしているな…\n見回りなら交代するぞ。
MID_RONKUU_HOME4: 暇なら手合わせに付き合え。\nなに？　戦えないから無理だと？\nでは、石でも投げて応戦しろ…
MID_RONKUU_HOME5: 刃の手入れをしていた…\n肝心な時に使えないようでは、\n命取りになりかねんからな。
MID_RONKUU_FRIEND: …$Nfの友だな。\n挨拶をしてこいと言われて来た。\n用は済んだから、もう帰るぞ。
MID_RONKUU_LEVEL1: 俺はまだまだ上を目指す…
MID_RONKUU_LEVEL2: …よし。
MID_RONKUU_LEVEL3: …剣の道は孤独だ。
MID_RONKUU_SKILL: 与えられる力というのも…\n悪くないものだな。
MID_RONKUU_JOIN: …ロンクーだ。\nフェリア国出身の剣士…\nそれ以外に語ることはない。
MID_RONKUU_STRONGEST: 今日も、傍にいるんだな。\nお前はなぜ…\nそんなに俺に目をかける？$k$p俺は何も持っていない。\n富も権力も。\nあるのは剣の腕だけだ。$k$pなに？　俺といると、\n心強いからだと…？\nなるほど、用心棒というわけか？$k$p…いいだろう。\n腕を買われることは悪くない。\nそれに…$k$pお前はなんだか放っておけない。\n望むなら、共にいてやる。\n後悔はさせん。\n
MID_RONKUU_VOICE01: はっ！
MID_RONKUU_VOICE02: せいっ！
MID_RONKUU_VOICE03: くっ…！
MID_RONKUU_VOICE04: くそっ…
MID_RONKUU_VOICE05: 悪く思うな
MID_RONKUU_VOICE06: 目障りだ
MID_RONKUU_VOICE07: …どけ
MID_RONKUU_VOICE08: 諦めろ
MID_RONKUU_VOICE09: …う、あっ…
MID_RONKUU_VOICE10: ふっ…
MID_RONKUU_VOICE11: 女は苦手だ…
MID_RONKUU_VOICE12: 何か用なのか…？
MID_RONKUU_VOICE13: お、おい…気が散るだろう
MID_RONKUU_VOICE14: ここに来る前は、王の右腕として働いていたこともある…
MID_RONKUU_VOICE15: 面白い話などできんぞ
MID_RONKUU_VOICE16: 剣の道は孤独だ…
MID_RONKUU_VOICE17: 俺をこんなに気にかけるなんて…お前は、変わったやつだな
MID_RONKUU_VOICE18: ああ
MID_RONKUU_VOICE19: 行くぞ
MID_RONKUU_VOICE20: 命令か
