[Heroes Archive] (SETSUNA)


Heroes Message Name: Message


MID_SETSUNA_HOME1: あなたの神器、飛び道具…？\n私の弓も飛び道具なの…\nおそろいで、うれしい…
MID_SETSUNA_HOME2: 私は、ヒノカ様の臣下をしてる…\nヒノカ様はとっても強くて優しくて…\n面倒を見てくれるから大好き…
MID_SETSUNA_HOME3: 見回り、お疲れさま…\nでもそんなに走り回ると…\nいまに私みたいに、落とし穴に落ちる…
MID_SETSUNA_HOME4: 今度、一緒に狩りに行きたい…\nもし二人して罠にかかっても…\nあなたがヒノカ様を召喚してくれれば解決…
MID_SETSUNA_HOME5: 弓の練習をしてたら…\nあなたのお友達を射ちかけた…\nアルフォンスって人…すごく驚いてた…
MID_SETSUNA_FRIEND: あなた、$Nu…？\n$Nfからの挨拶…\nちゃんと伝えられて良かった…
MID_SETSUNA_LEVEL1: 褒めて褒めて…
MID_SETSUNA_LEVEL2: すごいすごーい…
MID_SETSUNA_LEVEL3: わーい…\nぜんぜん変わってない…
MID_SETSUNA_SKILL: これでもう…\n罠に引っかからない…？
MID_SETSUNA_JOIN: 白夜王国のセツナ…\n弓を射るのが得意…\n罠にかかってたら…助けてね…
MID_SETSUNA_STRONGEST: わー、$Nuだー。\n今日も召喚に行くの…？\nすごいすごーい…$k$p仲間が増えると、私も助かる…\nうまくいけば罠にかかった時に、\n助けてくれる人が増えるから…$k$pでも…$Nuが、\n新しい英雄ばかり構うようになったら…\nちょっぴりさみしい気もする…$k$pえ…？　そんなことはしない…？\nじゃあ私は、他の英雄よりも…\nちょっと特別…？$k$pわー、頷いてくれた…\n私も、あなたはちょっと特別…\nおそろいで、嬉しい…\n
MID_SETSUNA_VOICE01: えい…
MID_SETSUNA_VOICE02: そーれー…
MID_SETSUNA_VOICE03: うあっ…
MID_SETSUNA_VOICE04: やられた…
MID_SETSUNA_VOICE05: 負けない…
MID_SETSUNA_VOICE06: 狙い撃ち…
MID_SETSUNA_VOICE07: 獲物はあなた…
MID_SETSUNA_VOICE08: 虫が飛んでる…
MID_SETSUNA_VOICE09: あ…
MID_SETSUNA_VOICE10: ふふ…
MID_SETSUNA_VOICE11: 今日も楽しいこといっぱい…
MID_SETSUNA_VOICE12: 歩いてるといつも、落とし穴に落ちる…
MID_SETSUNA_VOICE13: 私が罠にはまってたら、助けてね…
MID_SETSUNA_VOICE14: 狩りは好き…飛んでる虫を落とすのも好き…
MID_SETSUNA_VOICE15: 私、神器から出てきたの…？　すごいすごーい…
MID_SETSUNA_VOICE16: ヒノカ様、どこ…？　傍にいないと、助けてもらえない…
MID_SETSUNA_VOICE17: いつもぼーっとしてるねって…？\nうふふ…ほめてくれて、うれしい…
MID_SETSUNA_VOICE18: ええ…
MID_SETSUNA_VOICE19: わーい…
MID_SETSUNA_VOICE20: お散歩…
