[Heroes Archive] (SHARON_SPRING02)


Heroes Message Name: Message


MID_SHARON_SPRING02_HOME1: お兄様の春祭りの格好、\nご覧になりました？\n似合ってましたよね、ふふっ。
MID_SHARON_SPRING02_HOME2: 異界にはうさぎに変身できる\nうさぎ英雄さんがいるそうですよ。\nいつか、うさ友になりたいです！
MID_SHARON_SPRING02_HOME3: $Nuさんも\nうさぎさんの格好に着替えませんか？\nみんな一緒なら恥ずかしくないです！
MID_SHARON_SPRING02_HOME4: あっ、$Nuさんっ。\n一緒に訓練しませんか？\nはい。もちろん、うさぎ跳びです！
MID_SHARON_SPRING02_HOME5: お母様もお祭り好きなんです。\nこの格好でご挨拶したら、\nきっと喜んでくれます！
MID_SHARON_SPRING02_FRIEND: ごきげんようですぴょん！\n春祭のご挨拶…決まりました！\nあ、$Nfさんからです。
MID_SHARON_SPRING02_LEVEL1: 春です！\n春が来ました！
MID_SHARON_SPRING02_LEVEL2: うさぎ跳びの\n成果が出ました！
MID_SHARON_SPRING02_LEVEL3: 春はなんだか\nねむくなっちゃいます…
MID_SHARON_SPRING02_SKILL: わたしにこんな力を！？\nうれしすぎて飛び跳ねちゃいます！
MID_SHARON_SPRING02_JOIN: アスク王国王女シャロンです！\nせーの…\n春祭り、がんばりますぴょん！
MID_SHARON_SPRING02_STRONGEST: $Nuさんっ！\nどうですか？　そろそろわたしと一緒に\nうさぎさんに変身するお覚悟は…？$k$pえー、恥ずかしくないですよ！\n大丈夫、一瞬です！\n一瞬着るだけですから！$k$pどうしても…だめですか？\nそんなぁ…わたしだって、\n本当はすごく恥ずかしかったんですよ…？$k$pでも、$Nuさんが…\n喜んでくれるかもって…\nだからわたし…思い切って…$k$pあっ、今一瞬着る気になりました？\nならない！　残念です！
MID_SHARON_SPRING02_VOICE01: えーいっ！
MID_SHARON_SPRING02_VOICE02: ぴょんっ！
MID_SHARON_SPRING02_VOICE03: きゃああっ！？
MID_SHARON_SPRING02_VOICE04: やめてくださいー！
MID_SHARON_SPRING02_VOICE05: スプリングハズカムです！
MID_SHARON_SPRING02_VOICE06: いつだって春です！
MID_SHARON_SPRING02_VOICE07: 暖かくしますよ！
MID_SHARON_SPRING02_VOICE08: ウサギさんですぴょん！
MID_SHARON_SPRING02_VOICE09: 冬は…冷たいです…
MID_SHARON_SPRING02_VOICE10: えへへっ
MID_SHARON_SPRING02_VOICE11: あなたのうさぎシャロンですぴょん！
MID_SHARON_SPRING02_VOICE12: ひゃあっ！？　びっくりしちゃいましたー。
MID_SHARON_SPRING02_VOICE13: ぴょん、ってつけた方が良いって教えてもらったんです。
MID_SHARON_SPRING02_VOICE14: ほ、本当はこの格好…恥ずかしいですよう…
MID_SHARON_SPRING02_VOICE15: に、似合ってます？　…そんなに見られたら、照れちゃいますよー。
MID_SHARON_SPRING02_VOICE16: こうなったら、うさぎ英雄のお友達をいっぱい作りたいです。
MID_SHARON_SPRING02_VOICE17: 春が終わっても、わたしはずっとずっと…あなたのうさぎシャロンですぴょん！
MID_SHARON_SPRING02_VOICE18: はいはいはいっ！
MID_SHARON_SPRING02_VOICE19: どうしますぴょん？
MID_SHARON_SPRING02_VOICE20: さすがですっ！
