[Heroes Archive] (SHEEDA_BRIDE01)


Heroes Message Name: Message


MID_SHEEDA_BRIDE01_HOME1: 理想の結婚生活…？\nわたしは、旦那様が無事で\nいてくれたらそれが一番幸せよ。
MID_SHEEDA_BRIDE01_HOME2: $Nu、\nあなたは愛を信じる？\nあなたには愛する人がいる？
MID_SHEEDA_BRIDE01_HOME3: 良い夫婦になれる秘訣は、\nお互いの感謝の気持ちなんですって。\n相手を思うって、大切なことね。
MID_SHEEDA_BRIDE01_HOME4: ペガサスに乗らずに地上で戦うのは、\n前にも経験があるのよ。\nさすがにこの格好ではなかったけど…
MID_SHEEDA_BRIDE01_HOME5: このドレスのサイズ、\nわたしにぴったりみたい。\nふふ、なんだか嬉しくなってしまうわ。
MID_SHEEDA_BRIDE01_FRIEND: $Nfから\nあなたに挨拶よ。\nあなたに幸せが訪れますように。
MID_SHEEDA_BRIDE01_LEVEL1: わたし、良い奥さんに\nなれるかしら？
MID_SHEEDA_BRIDE01_LEVEL2: 花嫁修業も戦いも、\n日々の積み重ねが大切ね。
MID_SHEEDA_BRIDE01_LEVEL3: まあ、ごめんなさい…\n
MID_SHEEDA_BRIDE01_SKILL: ありがとう。これから、\nお礼をさせてもらうわね。
MID_SHEEDA_BRIDE01_JOIN: わたしはタリスの王女シーダ。\nいつか、このドレスが似合う\n素敵な花嫁になれたらなって…
MID_SHEEDA_BRIDE01_STRONGEST: ねえ、$Nu。\nあなたは愛って\nどんなものだと思う？$k$pわたしね、愛する人が無事なら、\n幸せでいてくれるなら…\n自分はどうなってもいい…そう思ってたわ。$k$pでも、この花嫁衣装を着て、思ったの。\n結婚は、二人で幸せになるという誓い…$k$pもしわたしがいなくなったら、\n愛する人を悲しませてしまうかもしれない…\nそれは、愛なんだろうかって…$k$p愛って、難しいのね。\nきっと人それぞれに、色んな愛があって…\n色んな思いがあって…$k$pだから、あなたが思う愛の形…\nわたしに教えてくれる？
MID_SHEEDA_BRIDE01_VOICE01: やぁっ！
MID_SHEEDA_BRIDE01_VOICE02: 行きます！
MID_SHEEDA_BRIDE01_VOICE03: いやぁっ！
MID_SHEEDA_BRIDE01_VOICE04: ドレスが…
MID_SHEEDA_BRIDE01_VOICE05: 愛の力ね
MID_SHEEDA_BRIDE01_VOICE06: この花のように
MID_SHEEDA_BRIDE01_VOICE07: 愛する人がいますか？
MID_SHEEDA_BRIDE01_VOICE08: ずっと待ってたの
MID_SHEEDA_BRIDE01_VOICE09: お花が…散ってしまうわ…
MID_SHEEDA_BRIDE01_VOICE10: うふふ
MID_SHEEDA_BRIDE01_VOICE11: どう？　似合ってるかしら？
MID_SHEEDA_BRIDE01_VOICE12: きゃあっ…え、風で髪が乱れちゃった？
MID_SHEEDA_BRIDE01_VOICE13: 子供の頃から、こういうドレスに憧れてたの。
MID_SHEEDA_BRIDE01_VOICE14: 結婚式はどんな所がいいかしら？
MID_SHEEDA_BRIDE01_VOICE15: 二人で愛を誓うって、とっても素敵なことね
MID_SHEEDA_BRIDE01_VOICE16: もし命を召されるなら、わたしをかわりに…
MID_SHEEDA_BRIDE01_VOICE17: いつか、わたしもこんなふうに…う、ううん！　なんでもないの。
MID_SHEEDA_BRIDE01_VOICE18: はい
MID_SHEEDA_BRIDE01_VOICE19: 二人は永遠に…
MID_SHEEDA_BRIDE01_VOICE20: 幸せにしてください
MID_SHEEDA_BRIDE01_VOICE21: あなたは、永遠の愛を信じますか？
