[Heroes Archive] (SURTR_MIKATA01)


Heroes Message Name: Message


MID_SURTR_MIKATA01_HOME1: 生ぬるい風よ…\nこのような安寧に浸かる民ども…\n寝惚けた顔の無能どもが。
MID_SURTR_MIKATA01_HOME2: 弱者は虐げられ、奪われ、\n殺されねばならぬ。\nそれが我がムスペルの法よ。
MID_SURTR_MIKATA01_HOME3: 我が娘どもは手駒に過ぎぬ。\n使えぬのならば、殺すだけのこと。\n親とはそういうものであろうが。
MID_SURTR_MIKATA01_HOME4: 代々のムスペル王族のうちで…\nこの王ほど色濃く\n炎を継いだものはおらぬ。
MID_SURTR_MIKATA01_HOME5: 貴様は勝者だ。\n存分に驕り、昂るが良い。\n勝者はすべてを得ねばならぬ。
MID_SURTR_MIKATA01_FRIEND: 平伏せよ。\n我はスルト。我は王なり。
MID_SURTR_MIKATA01_LEVEL1: 我は炎！\n神さえも焼いてくれよう！
MID_SURTR_MIKATA01_LEVEL2: ぐはははははははっ！\nそうだ、これだ！
MID_SURTR_MIKATA01_LEVEL3: この王が…\nなんという醜態か…
MID_SURTR_MIKATA01_SKILL: 我が炎が猛っておるわ…\n敵の死を欲してなあ！
MID_SURTR_MIKATA01_JOIN: 我はスルト。\n死の国に堕ちた我すらも隷従させる…\nそれを成し得るのはやはり、貴様か…
MID_SURTR_MIKATA01_STRONGEST: 強者はすべてを\n支配せねばならぬ。\nそれが我が法よ。$k$p貴様に敗れた以上…\n我は貴様に服従せねばならぬ。\n我に命じるが良い。$k$p我は炎。\n貴様の望みのままに\n焼き尽くしてやろう。$k$pご大層な志も理想もいらぬ。\nそんな妄言を宣う弱者を殺し、\n強者は君臨せねばならぬ。$k$pさあ、我が炎を放つが良い！\n九の世界すべてを焼き尽くす\nその時までなあ…！
MID_SURTR_MIKATA01_VOICE01: 不遜！
MID_SURTR_MIKATA01_VOICE02: 笑止！
MID_SURTR_MIKATA01_VOICE03: ぐああっ！
MID_SURTR_MIKATA01_VOICE04: やりおるわ…
MID_SURTR_MIKATA01_VOICE05: 焼き尽くしてくれるわ！
MID_SURTR_MIKATA01_VOICE06: 王に手向かうか！
MID_SURTR_MIKATA01_VOICE07: 灰と散れ！
MID_SURTR_MIKATA01_VOICE08: 血が滾るわ！
MID_SURTR_MIKATA01_VOICE09: 馬…鹿なぁっ…！
MID_SURTR_MIKATA01_VOICE10: ふはは
MID_SURTR_MIKATA01_VOICE11: 我はムスペルの王スルト。平伏せよ。
MID_SURTR_MIKATA01_VOICE12: 我に触れる者は炎に呑まれることになろう。
MID_SURTR_MIKATA01_VOICE13: 我が娘も、我が民も…我が炎を増す薪（たきぎ）に過ぎぬ。
MID_SURTR_MIKATA01_VOICE14: 我が内なる血が求めておる…さらなる炎を。
MID_SURTR_MIKATA01_VOICE15: 我は全てを焼き尽くす…敵も味方も、己自身も…
MID_SURTR_MIKATA01_VOICE16: 我は貴様に敗れたのか…
MID_SURTR_MIKATA01_VOICE17: かつてあった人の心は…ムスペルの炎に焼かれ、消えた…
MID_SURTR_MIKATA01_VOICE18: 承知
MID_SURTR_MIKATA01_VOICE19: 我は炎！
MID_SURTR_MIKATA01_VOICE20: 焼いてくれる
