[Heroes Archive] (TIKI_LEGEND01)


Heroes Message Name: Message


MID_TIKI_LEGEND01_HOME1: いまでもときどき見る、こわい夢…\nあれははるか昔…\nそれとも未来…？
MID_TIKI_LEGEND01_HOME2: ここではみんながよくしてくれるの。\n大好きな人たちがいっぱい！
MID_TIKI_LEGEND01_HOME3: $Nuさんは、\nいつ寝るの？　寝るのは大事なんだよ。\nひとりで寝るのは、こわいけど…
MID_TIKI_LEGEND01_HOME4: わたしたちがこの世界に来たみたいに、\nいつか$Nuさんも\nわたしたちの世界に遊びに来てね。
MID_TIKI_LEGEND01_HOME5: しーっ…\nいま、蝶が花のミツを吸ってるの…
MID_TIKI_LEGEND01_FRIEND: $Nfさんがね、\n$Nuさんは\nいい人だって言ってたよ。
MID_TIKI_LEGEND01_LEVEL1: この神竜石が\nわたしを導いてくれる…
MID_TIKI_LEGEND01_LEVEL2: もう戦うことはないと\n思っていたけど…
MID_TIKI_LEGEND01_LEVEL3: あれ…ねむくなってきちゃった…
MID_TIKI_LEGEND01_SKILL: わたしの中の\n新しい、力…
MID_TIKI_LEGEND01_JOIN: わたしはチキ。\n星の光をたどっていたら\nこんなところに出てきちゃった。
MID_TIKI_LEGEND01_STRONGEST: ねえ、$Nuさんは\nどうしてここにいるの？$k$pわたしは今、こうしていることが不思議。\nでも、ときどき…こわくなる。\nひとりぼっちになること…$k$p戦いが終わったら、\nみんなもとの場所に帰るのかな…\n$Nuさんも…？$k$pそのときにね、わたしも\n$Nuさんと\n一緒に行きたいな、ダメ…？$k$pわたし…\nもうひとりぼっちはイヤなの。\nね、チキのお願い…
MID_TIKI_LEGEND01_VOICE01: えーいっ
MID_TIKI_LEGEND01_VOICE02: むー！
MID_TIKI_LEGEND01_VOICE03: きゃああっ！
MID_TIKI_LEGEND01_VOICE04: いたた…
MID_TIKI_LEGEND01_VOICE05: けんかしないで！
MID_TIKI_LEGEND01_VOICE06: だめってばー！
MID_TIKI_LEGEND01_VOICE07: いたくするよ！
MID_TIKI_LEGEND01_VOICE08: 知らないから！
MID_TIKI_LEGEND01_VOICE09: さみしい…よ…
MID_TIKI_LEGEND01_VOICE10: うれしい！
MID_TIKI_LEGEND01_VOICE11: でんしょう…ってなあに？　ふーん、むかしむかしのことなんだ…？
MID_TIKI_LEGEND01_VOICE12: きゃははっ！　くすぐったいよ。
MID_TIKI_LEGEND01_VOICE13: わたし、もう帰らなくていいの。みんなと一緒にいていいの。うれしい！
MID_TIKI_LEGEND01_VOICE14: みんなとずっと、ずーっと一緒にいたいなあ…
MID_TIKI_LEGEND01_VOICE15: わたし、みんなより、うーんとながいきするんだって…ふしぎ。
MID_TIKI_LEGEND01_VOICE16: もう、こわいゆめ…みなくてすむよね…？
MID_TIKI_LEGEND01_VOICE17: 大好き。ずーっと一緒にいてね。
MID_TIKI_LEGEND01_VOICE18: えっとねー
MID_TIKI_LEGEND01_VOICE19: さみしくないもん
MID_TIKI_LEGEND01_VOICE20: みんな大好き！
