[Heroes Archive] (VERONICA)


Heroes Message Name: Message


MID_VERONICA_VOICE01: えい
MID_VERONICA_VOICE02: どう…？
MID_VERONICA_VOICE03: ううっ
MID_VERONICA_VOICE04: いたい…
MID_VERONICA_VOICE05: いらない…
MID_VERONICA_VOICE06: よわい子ね…
MID_VERONICA_VOICE07: このていど…？
MID_VERONICA_VOICE08: とざしてあげる…
MID_VERONICA_VOICE09: つまん…ないの……
MID_VERONICA_VOICE10: ふふ…
MID_VERONICA_VOICE18: ええ
MID_VERONICA_VOICE19: なあに？
MID_VERONICA_VOICE20: どうするの？
MID_VERONICA_VOICE21: ファイアーエムブレム
MID_VERONICA_VOICE22: 暗黒竜と光の剣
MID_VERONICA_VOICE23: 外伝
MID_VERONICA_VOICE24: 紋章の謎
MID_VERONICA_VOICE25: 聖戦の系譜
MID_VERONICA_VOICE26: トラキア７７６
MID_VERONICA_VOICE27: 封印の剣
MID_VERONICA_VOICE28: 烈火の剣
MID_VERONICA_VOICE29: 聖魔の光石
MID_VERONICA_VOICE30: 蒼炎の軌跡
MID_VERONICA_VOICE31: 暁の女神
MID_VERONICA_VOICE32: 新・暗黒竜と光の剣
MID_VERONICA_VOICE33: 新・紋章の謎
MID_VERONICA_VOICE34: 覚醒
MID_VERONICA_VOICE35: ｉｆ
MID_VERONICA_VOICE36: イベントかいさいちゅう…
MID_VERONICA_VOICE37: おおきな戦がはじまっているわ
MID_VERONICA_VOICE38: つよい敵があらわれたわ
MID_VERONICA_VOICE39: あたらしい英雄があらわれたわ
MID_VERONICA_VOICE40: すこし、まっていて
MID_VERONICA_VOICE_BRAVE: ブレイヴ
MID_VERONICA_VOICE_HEROES: ヒーローズ
