[Heroes Archive] (VERONICA_POPULARITY03)


Heroes Message Name: Message


MID_VERONICA_POPULARITY03_HOME1: …どこなの、お兄様…\nお兄様も、このせかいにいるの…？
MID_VERONICA_POPULARITY03_HOME2: これは、お兄様がくれた本よ…\nなんども読んで…もう全部おぼえてるけど…\nでも、また読むの…
MID_VERONICA_POPULARITY03_HOME3: あなたのじゃまをするやつは許さない。\nおにんぎょうみたいに、\nくびをひきぬいて…ころしてあげる。
MID_VERONICA_POPULARITY03_HOME4: 馬にのると、とおくまで世界が\nみわたせるわ。\nあなたも乗ってみる…？
MID_VERONICA_POPULARITY03_HOME5: このせかいにいるヴェロニカ…\nあたしと似てるの？\nいちど、あってみたいわ。
MID_VERONICA_POPULARITY03_FRIEND: $Nfは\nあたしに忠誠をちかったわ。\nあなたもエンブラにくだりなさい。
MID_VERONICA_POPULARITY03_LEVEL1: あたしがつよくなったら…\nうれしい？
MID_VERONICA_POPULARITY03_LEVEL2: お兄様にならったとおりに\nしてるだけよ…
MID_VERONICA_POPULARITY03_LEVEL3: その目はなに？\nふゆかいだわ…
MID_VERONICA_POPULARITY03_SKILL: いいはんだんね…\nあたしのちからは、\nあなたのちからでもある…
MID_VERONICA_POPULARITY03_JOIN: あたしはヴェロニカ…\nあなたの声が、あたしをよんだのね。\nいいわ、ちからをかしてあげる。
MID_VERONICA_POPULARITY03_STRONGEST: ねえ、$Nu。\nあなたは…だあれ？$k$pあなたは、でんしょうのしょうかんし…\nでも、あたしが思ってたような\n人とはちがった…$k$p思ってたより立派じゃなくて…\n思ってたより、やさしい…$k$pもとの世界では、\nずっと、あなたのこと、\n殺してあげようと思ってたけど…$k$pねえ。\nお兄様が見つかったら…いつか、\nあなたが元いた世界をみせて。$k$pあたし、あなたのこと、\nもっと知りたい…
MID_VERONICA_POPULARITY03_VOICE01: それ
MID_VERONICA_POPULARITY03_VOICE02: どいて…
MID_VERONICA_POPULARITY03_VOICE03: きゃああっ！
MID_VERONICA_POPULARITY03_VOICE04: ひどい…
MID_VERONICA_POPULARITY03_VOICE05: あたしのにしたい…
MID_VERONICA_POPULARITY03_VOICE06: つよい子ね…
MID_VERONICA_POPULARITY03_VOICE07: お兄様みたいに…
MID_VERONICA_POPULARITY03_VOICE08: かえしてあげる…
MID_VERONICA_POPULARITY03_VOICE09: おにい…さま…
MID_VERONICA_POPULARITY03_VOICE10: ふぅん…
MID_VERONICA_POPULARITY03_VOICE11: 助けてあげる…
MID_VERONICA_POPULARITY03_VOICE12: いい子ね…
MID_VERONICA_POPULARITY03_VOICE13: あたしはヴェロニカ…でも、あなたたちの知ってるヴェロニカとは、違うわ。
MID_VERONICA_POPULARITY03_VOICE14: ひゃっ…　なに？　こどもあつかいしないで。
MID_VERONICA_POPULARITY03_VOICE15: 馬の乗り方は…お兄様やマークスに教えてもらったの。
MID_VERONICA_POPULARITY03_VOICE16: お兄様…私のこと…嫌いになったの…？
MID_VERONICA_POPULARITY03_VOICE17: ここにいると…寂しくないわ…。あなたがいるから…
MID_VERONICA_POPULARITY03_VOICE18: そうね
MID_VERONICA_POPULARITY03_VOICE19: あたしを呼んだの…？
MID_VERONICA_POPULARITY03_VOICE20: 戦ってあげる
