[Heroes Archive] (WALTER)


Heroes Message Name: Message


MID_WALTER_HOME1: 私は戦いがしたいのだ。\nだから、この世界が\n平和になってもらっては困るな。
MID_WALTER_HOME2: エイリーク…それにエフラム…\n二人とも私の獲物…\n極上の獲物だ。
MID_WALTER_HOME3: ほう、疲れているのか？\nならば体を休めておけ。\n衰えた獲物は味を損ねるぞ？
MID_WALTER_HOME4: 歯ごたえのない雑魚はいらん。\n私が食いたいのは、\n血の滴るような極上の獲物だ…\n
MID_WALTER_HOME5: 訓練？　私はままごとは好かん。\n殺し合いの訓練は\n殺し合いでするものだぞ？
MID_WALTER_FRIEND: ほう。お前が$Nu…\n$Nfの友か。\nなかなか美味そうではないか？
MID_WALTER_LEVEL1: 極上の獲物…\nくくっ、実に美味だ！\n
MID_WALTER_LEVEL2: 良いぞ。\nもっと私に食わせろ。
MID_WALTER_LEVEL3: こんなものでは\n食い足りん…
MID_WALTER_SKILL: 実に良い獲物だ。\nもっともっと、私に寄越せ。
MID_WALTER_JOIN: 我が名はグラド帝国六将の一人、\n【月長石】のヴァルター。\nお前も、私に食われたいか？
MID_WALTER_STRONGEST: かつて、ある老いぼれが\n私を獣と評した。\n欲望のままに生きる獣だとな。$k$p奴はいずれ殺してやるが、確かに…\n私は牙持つ獣だ。\n男を殺し、女を奪う…$k$pだが、お前はそんな私を使役し、\nここまでの力をつけさせた…\n理解できんな？$k$pお前は、私を御せるつもりか？\nそれとも、私に屈服し、\n支配されるのが望みか？$k$pどちらにせよ…お前は極上の獲物だ。\n私以外の奴に\n奪われることは許さんぞ？\n
MID_WALTER_VOICE01: いいぞ
MID_WALTER_VOICE02: 楽しめ
MID_WALTER_VOICE03: うああっ！
MID_WALTER_VOICE04: 雑魚めが…！
MID_WALTER_VOICE05: 楽しい遊びだ
MID_WALTER_VOICE06: 私に食われろ
MID_WALTER_VOICE07: 死ぬ気で逃げろ？
MID_WALTER_VOICE08: 極上の獲物だ
MID_WALTER_VOICE09: ぐっ…がぁぁぁぁっ
MID_WALTER_VOICE10: くくっ
MID_WALTER_VOICE11: 我が名は【月長石】のヴァルター。グラド帝国六将の一人だ。
MID_WALTER_VOICE12: うん？　私の体が望みか？
MID_WALTER_VOICE13: 私はお前のものになったわけではない。私の機嫌を損ねるなよ？
MID_WALTER_VOICE14: いずれお前を屈服させ、支配してやろう。
MID_WALTER_VOICE15: 羊のようにあわれっぽい声で鳴いてみせろ？
MID_WALTER_VOICE16: エイリーク…エフラム…実に美味そうな獲物だ。
MID_WALTER_VOICE17: お前は私のものだ。もっともっと私を楽しませろ？
MID_WALTER_VOICE18: 楽しませろ？
MID_WALTER_VOICE19: 私に食わせろ。
MID_WALTER_VOICE20: 美味そうだな？
