[Heroes Archive] (YURIA)


Heroes Message Name: Message


MID_YURIA_HOME1: 聖書ナーガ…\nなんだかとても懐かしいような、\n不思議な気持ちになります…
MID_YURIA_HOME2: わたしのお父様とお母様は、\nとても優しい方でした。\nそして、ユリウス兄様も…
MID_YURIA_HOME3: いつもありがとうございます。\nあの、何かわたしに\nお手伝いできることはありますか？
MID_YURIA_HOME4: セリス様…いえ、にいさまは\n世界を平和に導くことができる方です。\nそして、あなたも…
MID_YURIA_HOME5: 優しかったユリウス兄様は…\n悪魔に変わってしまいました。\n父様も、母様も、その悪魔に…
MID_YURIA_FRIEND: ハッ…　すみません、\nわたし、気がついたらここに…\nここはどこでしょうか？
MID_YURIA_LEVEL1: どんな敵でも、\nわたしは戦います。
MID_YURIA_LEVEL2: 強くなって、\nあなたをお助けしたいです。
MID_YURIA_LEVEL3: 辛くても、\n逃げたりしません…
MID_YURIA_SKILL: 自分が生まれてきた理由…\nわかりかけてきた気がします。
MID_YURIA_JOIN: わたしはユリア…\n聖なる竜の書ナーガを\n受け継ぐ者です…
MID_YURIA_STRONGEST: …ユリウス兄様とわたしは、\nある特別な血筋を受け継いでいます。\nわたしが聖書ナーガを受け継いだのも…$k$pユリウス兄様が黒い聖書によって\n恐ろしい悪魔に変わってしまったのも…\nすべてはこの血筋が理由…$k$pもしも、わたしの意志とは無関係に、\nあなたの敵になってしまったら…\nそう思うと、とても恐ろしいのです…$k$pでも、これまでずっと長い間\n一緒にいてくれたあなたなら…\nあなたが呼びかけてくれたなら…$k$pわたしは、わたしのままでいられる…\nそう思うのです…\nだから、これからも傍にいてください…
MID_YURIA_VOICE01: はっ…
MID_YURIA_VOICE02: えい…
MID_YURIA_VOICE03: きゃああっ！
MID_YURIA_VOICE04: あ……
MID_YURIA_VOICE05: いやです！
MID_YURIA_VOICE06: 神のご加護を…
MID_YURIA_VOICE07: 思い出しました
MID_YURIA_VOICE08: わたしは戦う…
MID_YURIA_VOICE09: ああ…
MID_YURIA_VOICE10: ふふ…
MID_YURIA_VOICE11: おけがはありませんか？
MID_YURIA_VOICE12: どうか神のご加護がありますように…
MID_YURIA_VOICE13: きゃ…　あ。あなたでしたか…
MID_YURIA_VOICE14: ここは、暖かい光に包まれています…
MID_YURIA_VOICE15: ……　ハッ…わたし…いったい何を…？
MID_YURIA_VOICE16: 母様が…いつも見守っていてくれます…
MID_YURIA_VOICE17: わたしも、あなたをお助けしたいです…
MID_YURIA_VOICE18: はい…
MID_YURIA_VOICE19: どうすれば…？
MID_YURIA_VOICE20: 共に行きます
