[Heroes Archive] (Data_21_winter01)


Heroes Message Name: Message


MID_MISSION_S201712BRAVE01_TITLE: シャロン
MID_MISSION_S201712BRAVE01_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_S201712BRAVE01_A1: シャロンを自軍に入れて、\n修練の塔・第１階層をクリア。
MID_MISSION_S201712BRAVE01_A2: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S201712BRAVE01_A2: シャロンを自軍に入れて、\n修練の塔・第５階層をクリア。
MID_MISSION_S201712BRAVE01_A3: 特殊：修練の塔・第９階層突破
MID_MISSION_H_S201712BRAVE01_A3: シャロンを自軍に入れて、\n修練の塔・第９階層をクリア。
MID_MISSION_S201712BRAVE01_A4: 特殊：修練の塔・１０階層突破
MID_MISSION_H_S201712BRAVE01_A4: シャロンを含めた自軍３人のみで出撃、\n３人全員生存で\n修練の塔・第１０階層をクリア。
MID_MISSION_S201712BRAVE01_A5: シャロンで撃破
MID_MISSION_H_S201712BRAVE01_A5: シャロンで、敵を撃破。
MID_MISSION_S201712BRAVE01_A6: 特殊：LV２０以上を撃破
MID_MISSION_H_S201712BRAVE01_A6: シャロンで、\nレベル２０以上の敵を撃破。
MID_MISSION_S201712BRAVE01_A7: 特殊：LV４０以上を撃破
MID_MISSION_H_S201712BRAVE01_A7: シャロンで、\nレベル４０以上の敵を撃破。
MID_MISSION_S201712CHARA01_TITLE: 三人の英雄
MID_MISSION_S201712CHARA01_A1: 敵を撃破
MID_MISSION_H_S201712CHARA01_A1: 敵を撃破。
MID_MISSION_S201712CHARA01_A2: ラズワルドで撃破
MID_MISSION_H_S201712CHARA01_A2: ラズワルドで、敵を撃破。
MID_MISSION_S201712CHARA01_A3: フロリーナで撃破
MID_MISSION_H_S201712CHARA01_A3: フロリーナで、敵を撃破。
MID_MISSION_S201712CHARA01_B1: 特殊：LV２０以上を撃破
MID_MISSION_H_S201712CHARA01_B1: ラズワルドで、\nレベル２０以上の敵を撃破。
MID_MISSION_S201712CHARA01_B2: 特殊：LV２０以上を撃破
MID_MISSION_H_S201712CHARA01_B2: フロリーナで、\nレベル２０以上の敵を撃破。
MID_MISSION_S201712CHARA01_B3: 特殊：LV２０以上を撃破
