[Heroes Archive] (Data_41_muspell01)


Heroes Message Name: Message


MID_MISSION_M201712A_TITLE: １２月ミッションＡ
MID_MISSION_M201712A_A1: 青属性で撃破
MID_MISSION_H_M201712A_A1: 青属性の味方で、敵を撃破。
MID_MISSION_M201712A_A2: 歩行で撃破
MID_MISSION_H_M201712A_A2: 歩行の味方で、敵を撃破。
MID_MISSION_M201712A_A3: 緑属性を撃破
MID_MISSION_H_M201712A_A3: 緑属性の敵を撃破。
MID_MISSION_M201712A_A4: 飛行を撃破
MID_MISSION_H_M201712A_A4: 飛行の敵を撃破。
MID_MISSION_M201712A_A5: 闘技場で勝利
MID_MISSION_H_M201712A_A5: 闘技場で勝利。
MID_MISSION_M201712A_A6: 赤属性で、LV２０以上を撃破
MID_MISSION_H_M201712A_A6: 赤属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201712A_A7: 飛行で、LV２０以上を撃破
MID_MISSION_H_M201712A_A7: 飛行の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201712A_A8: ＬＶ２０以上の青属性を撃破
MID_MISSION_H_M201712A_A8: レベル２０以上の青属性の敵を撃破。
MID_MISSION_M201712A_A9: ＬＶ２０以上の歩行を撃破
MID_MISSION_H_M201712A_A9: レベル２０以上の歩行の敵を撃破。
MID_MISSION_M201712A_A10: 闘技場・中級以上で勝利
MID_MISSION_H_M201712A_A10: 闘技場・中級以上で勝利。
MID_MISSION_M201712A_A11: 緑属性で、LV３５以上を撃破
MID_MISSION_H_M201712A_A11: 緑属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201712A_A12: 騎馬で、LV３５以上を撃破
MID_MISSION_H_M201712A_A12: 騎馬の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201712A_A13: ＬＶ３５以上の赤属性を撃破
MID_MISSION_H_M201712A_A13: レベル３５以上の赤属性の敵を撃破。
MID_MISSION_M201712A_A14: ＬＶ３５以上の騎馬を撃破
MID_MISSION_H_M201712A_A14: レベル３５以上の騎馬の敵を撃破。
MID_MISSION_M201712A_A15: 闘技場・上級で勝利
MID_MISSION_H_M201712A_A15: 闘技場・上級で勝利。
MID_MISSION_S201712ARENA01_TITLE: 闘技場
MID_MISSION_S201712ARENA01_A1: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A1: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A2: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A2: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A3: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A3: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A4: 縛鎖の闘技場で、３連勝
MID_MISSION_H_S201712ARENA01_A4: 縛鎖の闘技場で、３連勝。
MID_MISSION_S201712ARENA01_A5: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A5: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A6: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A6: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A7: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A7: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A8: 縛鎖の闘技場で、５連勝
MID_MISSION_H_S201712ARENA01_A8: 縛鎖の闘技場で、５連勝。
MID_MISSION_S201712ARENA01_A9: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A9: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A10: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A10: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A11: 闘技場で勝利
MID_MISSION_H_S201712ARENA01_A11: 闘技場で勝利。
MID_MISSION_S201712ARENA01_A12: 縛鎖の闘技場で、７連勝
MID_MISSION_H_S201712ARENA01_A12: 縛鎖の闘技場で、７連勝。
MID_MISSION_M201712B_TITLE: １２月ミッションＢ
MID_MISSION_M201712B_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_M201712B_A1: 修練の塔・第１階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A2: 特殊：修練の塔・第２階層突破
MID_MISSION_H_M201712B_A2: 修練の塔・第２階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_M201712B_A3: 修練の塔・第３階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A4: 特殊：修練の塔・第４階層突破
MID_MISSION_H_M201712B_A4: 修練の塔・第４階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A5: 特殊：修練の塔・第５階層突破
MID_MISSION_H_M201712B_A5: 修練の塔・第５階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A6: 特殊：修練の塔・第６階層突破
MID_MISSION_H_M201712B_A6: 修練の塔・第６階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A7: 特殊：修練の塔・第７階層突破
MID_MISSION_H_M201712B_A7: 修練の塔・第７階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A8: 特殊：修練の塔・第８階層突破
MID_MISSION_H_M201712B_A8: 修練の塔・第８階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A9: 特殊：修練の塔・第９階層突破
MID_MISSION_H_M201712B_A9: 修練の塔・第９階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A10: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201712B_A10: 修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A11: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201712B_A11: 全員歩行の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A12: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201712B_A12: 全員重装の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A13: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201712B_A13: 全員騎馬の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201712B_A14: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201712B_A14: 全員飛行の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201712C_TITLE: １２月ミッションＣ
MID_MISSION_M201712C_A1: 特殊：４章－１節突破
MID_MISSION_H_M201712C_A1: ４章－１節を\n４人全員生存でクリア。
MID_MISSION_M201712C_A2: 特殊：４章－２節突破
MID_MISSION_H_M201712C_A2: 赤属性の仲間を自軍に入れて、\n４章－２節を\n４人全員生存でクリア。
MID_MISSION_M201712C_A3: 特殊：４章－３節突破
MID_MISSION_H_M201712C_A3: 青属性の仲間を自軍に入れて、\n４章－３節を\n４人全員生存でクリア。
MID_MISSION_M201712C_A4: 特殊：４章－４節突破
MID_MISSION_H_M201712C_A4: 緑属性の仲間を自軍に入れて、\n４章－４節を\n４人全員生存でクリア。
MID_MISSION_M201712C_A5: 特殊：４章－５節突破
