[Heroes Archive] (Data_43_akatsuki01)


Heroes Message Name: Message


MID_ERROR_APP_EXCEED_LIMIT_EXTRA_BONUS: 購入できません。\n購入できる個数の上限を越えています。\n
MID_DAILY_LOGIN_BONUS_COMEBACK_TALK: $WmMPID_シャロン,ch00_02_Sharon_F_Normal,Face|$Nuさんっ！\n会いに来てくれたんですね。\n嬉しいです！$k$pご無事で良かったです。\nあなたの身に何かあったらって、\nわたし、心配で…$k$p$EFace_Smile|えへへ、でも安心しました。\nこれからも、\nよろしくお願いしますね！$k$p
MID_MISSION_S201801ARENA01_TITLE: 闘技場
MID_MISSION_S201801ARENA01_A1: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A1: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A2: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A2: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A3: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A3: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A4: 縛鎖の闘技場で、３連勝
MID_MISSION_H_S201801ARENA01_A4: 縛鎖の闘技場で、３連勝。
MID_MISSION_S201801ARENA01_A5: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A5: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A6: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A6: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A7: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A7: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A8: 縛鎖の闘技場で、５連勝
MID_MISSION_H_S201801ARENA01_A8: 縛鎖の闘技場で、５連勝。
MID_MISSION_S201801ARENA01_A9: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A9: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A10: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A10: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A11: 闘技場で勝利
MID_MISSION_H_S201801ARENA01_A11: 闘技場で勝利。
MID_MISSION_S201801ARENA01_A12: 縛鎖の闘技場で、７連勝
MID_MISSION_H_S201801ARENA01_A12: 縛鎖の闘技場で、７連勝。
MID_MISSION_S201801SENKA01_DAILY_TITLE: 戦渦の連戦　Mini
MID_MISSION_S201801SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201801SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201801SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201801SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201801SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201801SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201801SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201801SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201801STORY01_TITLE: 柔らかな夢に導かれて
MID_MISSION_S201801STORY01_A1: 特殊：３章－１節ルナ突破
MID_MISSION_H_S201801STORY01_A1: 槍の仲間を自軍に入れて、\n＜第２部＞３章－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY01_A2: 特殊：３章－２節ルナ突破
MID_MISSION_H_S201801STORY01_A2: 斧の仲間を自軍に入れて、\n＜第２部＞３章－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY01_A3: 特殊：３章－３節ルナ突破
MID_MISSION_H_S201801STORY01_A3: 剣の仲間を自軍に入れて、\n＜第２部＞３章－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY01_A4: 特殊：３章－４節ルナ突破
MID_MISSION_H_S201801STORY01_A4: 槍の仲間を自軍に入れて、\n＜第２部＞３章－４節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY01_A5: 特殊：３章－５節ルナ突破
MID_MISSION_H_S201801STORY01_A5: 斧の仲間を自軍に入れて、\n＜第２部＞３章－５節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801TRIAL01_TITLE: 連戦トライアル
MID_MISSION_S201801TRIAL01_A1: 特殊：連戦トライアル突破
MID_MISSION_H_S201801TRIAL01_A1: 連戦トライアル１章\n最終マップをクリア。
