[Heroes Archive] (Data_442_legend01)


Heroes Message Name: Message


MID_MISSION_M201802A_TITLE: ２月ミッションＡ
MID_MISSION_M201802A_A1: 赤属性で撃破
MID_MISSION_H_M201802A_A1: 赤属性の味方で、敵を撃破。
MID_MISSION_M201802A_A2: 飛行で撃破
MID_MISSION_H_M201802A_A2: 飛行の味方で、敵を撃破。
MID_MISSION_M201802A_A3: 青属性を撃破
MID_MISSION_H_M201802A_A3: 青属性の敵を撃破。
MID_MISSION_M201802A_A4: 騎馬を撃破
MID_MISSION_H_M201802A_A4: 騎馬の敵を撃破。
MID_MISSION_M201802A_A5: 闘技場で勝利
MID_MISSION_H_M201802A_A5: 闘技場で勝利。
MID_MISSION_M201802A_A6: 緑属性で、LV２０以上を撃破
MID_MISSION_H_M201802A_A6: 緑属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201802A_A7: 騎馬で、LV２０以上を撃破
MID_MISSION_H_M201802A_A7: 騎馬の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201802A_A8: ＬＶ２０以上の赤属性を撃破
MID_MISSION_H_M201802A_A8: レベル２０以上の赤属性の敵を撃破。
MID_MISSION_M201802A_A9: ＬＶ２０以上の飛行を撃破
MID_MISSION_H_M201802A_A9: レベル２０以上の飛行の敵を撃破。
MID_MISSION_M201802A_A10: 闘技場・中級以上で勝利
MID_MISSION_H_M201802A_A10: 闘技場・中級以上で勝利。
MID_MISSION_M201802A_A11: 青属性で、LV３５以上を撃破
MID_MISSION_H_M201802A_A11: 青属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201802A_A12: 歩行で、LV３５以上を撃破
MID_MISSION_H_M201802A_A12: 歩行の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201802A_A13: ＬＶ３５以上の緑属性を撃破
MID_MISSION_H_M201802A_A13: レベル３５以上の緑属性の敵を撃破。
MID_MISSION_M201802A_A14: ＬＶ３５以上の歩行を撃破
MID_MISSION_H_M201802A_A14: レベル３５以上の歩行の敵を撃破。
MID_MISSION_M201802A_A15: 闘技場・上級で勝利
MID_MISSION_H_M201802A_A15: 闘技場・上級で勝利。
MID_MISSION_M201802B_TITLE: ２月ミッションＢ
MID_MISSION_M201802B_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_M201802B_A1: 修練の塔・第１階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A2: 特殊：修練の塔・第２階層突破
MID_MISSION_H_M201802B_A2: 修練の塔・第２階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_M201802B_A3: 修練の塔・第３階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A4: 特殊：修練の塔・第４階層突破
MID_MISSION_H_M201802B_A4: 修練の塔・第４階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A5: 特殊：修練の塔・第５階層突破
MID_MISSION_H_M201802B_A5: 修練の塔・第５階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A6: 特殊：修練の塔・第６階層突破
MID_MISSION_H_M201802B_A6: 修練の塔・第６階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A7: 特殊：修練の塔・第７階層突破
MID_MISSION_H_M201802B_A7: 修練の塔・第７階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A8: 特殊：修練の塔・第８階層突破
MID_MISSION_H_M201802B_A8: 修練の塔・第８階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A9: 特殊：修練の塔・第９階層突破
MID_MISSION_H_M201802B_A9: 修練の塔・第９階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A10: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201802B_A10: 修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A11: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201802B_A11: 全員歩行の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A12: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201802B_A12: 全員重装の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A13: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201802B_A13: 全員騎馬の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201802B_A14: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201802B_A14: 全員飛行の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201802C_TITLE: ２月ミッションＣ
MID_MISSION_M201802C_A1: 特殊：６章－１節突破
MID_MISSION_H_M201802C_A1: ６章－１節を\n４人全員生存でクリア。
MID_MISSION_M201802C_A2: 特殊：６章－２節突破
MID_MISSION_H_M201802C_A2: 赤属性の仲間を自軍に入れて、\n６章－２節を\n４人全員生存でクリア。
MID_MISSION_M201802C_A3: 特殊：６章－３節突破
MID_MISSION_H_M201802C_A3: 青属性の仲間を自軍に入れて、\n６章－３節を\n４人全員生存でクリア。
MID_MISSION_M201802C_A4: 特殊：６章－４節突破
MID_MISSION_H_M201802C_A4: 緑属性の仲間を自軍に入れて、\n６章－４節を\n４人全員生存でクリア。
MID_MISSION_M201802C_A5: 特殊：６章－５節突破
MID_MISSION_H_M201802C_A5: 無属性の仲間を自軍に入れて、\n６章－５節を\n４人全員生存でクリア。
MID_MISSION_M201802C_A6: 特殊：９章－１節ハード突破
MID_MISSION_H_M201802C_A6: ９章－１節ハード以上を\n４人全員生存でクリア。
MID_MISSION_M201802C_A7: 特殊：９章－２節ハード突破
MID_MISSION_H_M201802C_A7: 赤属性の仲間を自軍に入れて、\n９章－２節ハード以上を\n４人全員生存でクリア。
MID_MISSION_M201802C_A8: 特殊：９章－３節ハード突破
MID_MISSION_H_M201802C_A8: 青属性の仲間を自軍に入れて、\n９章－３節ハード以上を\n４人全員生存でクリア。
MID_MISSION_M201802C_A9: 特殊：９章－４節ハード突破
MID_MISSION_H_M201802C_A9: 緑属性の仲間を自軍に入れて、\n９章－４節ハード以上を\n４人全員生存でクリア。
MID_MISSION_M201802C_A10: 特殊：９章－５節ハード突破
MID_MISSION_H_M201802C_A10: 無属性の仲間を自軍に入れて、\n９章－５節ハード以上を\n４人全員生存でクリア。
MID_MISSION_M201802C_A11: 特殊：１２章－１節ルナ突破
MID_MISSION_H_M201802C_A11: １２章－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_M201802C_A12: 特殊：１２章－２節ルナ突破
MID_MISSION_H_M201802C_A12: 赤属性の仲間を自軍に入れて、\n１２章－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_M201802C_A13: 特殊：１２章－３節ルナ突破
MID_MISSION_H_M201802C_A13: 青属性の仲間を自軍に入れて、\n１２章－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_M201802C_A14: 特殊：１２章－４節ルナ突破
MID_MISSION_H_M201802C_A14: 緑属性の仲間を自軍に入れて、\n１２章－４節ルナティックを\n４人全員生存でクリア。
MID_MISSION_M201802C_A15: 特殊：１２章－５節ルナ突破
MID_MISSION_H_M201802C_A15: 無属性の仲間を自軍に入れて、\n１２章－５節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801SENKA02_DAILY_TITLE: 戦渦の連戦　Mini
MID_MISSION_S201801SENKA02_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201801SENKA02_DAILY_A1: 戦渦の連戦最終マップをクリア。
