[Heroes Archive] (Data_44_seima02)


Heroes Message Name: Message


MID_MISSION_S201801CHARA01_TITLE: 三人の英雄
MID_MISSION_S201801CHARA01_A1: 敵を撃破
MID_MISSION_H_S201801CHARA01_A1: 敵を撃破。
MID_MISSION_S201801CHARA01_A2: ヒナタで撃破
MID_MISSION_H_S201801CHARA01_A2: ヒナタで、敵を撃破。
MID_MISSION_S201801CHARA01_A3: ウェンディで撃破
MID_MISSION_H_S201801CHARA01_A3: ウェンディで、敵を撃破。
MID_MISSION_S201801CHARA01_B1: 特殊：LV２０以上を撃破
MID_MISSION_H_S201801CHARA01_B1: ヒナタで、\nレベル２０以上の敵を撃破。
MID_MISSION_S201801CHARA01_B2: 特殊：LV２０以上を撃破
MID_MISSION_H_S201801CHARA01_B2: ウェンディで、\nレベル２０以上の敵を撃破。
MID_MISSION_S201801CHARA01_B3: 特殊：LV２０以上を撃破
MID_MISSION_H_S201801CHARA01_B3: サイゾウで、\nレベル２０以上の敵を撃破。
MID_MISSION_S201801CHARA01_C1: 特殊：LV３５以上を撃破
MID_MISSION_H_S201801CHARA01_C1: ヒナタで、\nレベル３５以上の敵を撃破。
MID_MISSION_S201801CHARA01_C2: 特殊：LV３５以上を撃破
MID_MISSION_H_S201801CHARA01_C2: ウェンディで、\nレベル３５以上の敵を撃破。
MID_MISSION_S201801CHARA01_C3: 特殊：LV３５以上を撃破
MID_MISSION_H_S201801CHARA01_C3: サイゾウで、\nレベル３５以上の敵を撃破。
MID_MISSION_S201801STORY02_TITLE: 灼熱の決断
MID_MISSION_S201801STORY02_A1: 特殊：４章－１節ルナ突破
MID_MISSION_H_S201801STORY02_A1: 斧の仲間を自軍に入れて、\n＜第２部＞４章－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY02_A2: 特殊：４章－２節ルナ突破
MID_MISSION_H_S201801STORY02_A2: 剣の仲間を自軍に入れて、\n＜第２部＞４章－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY02_A3: 特殊：４章－３節ルナ突破
MID_MISSION_H_S201801STORY02_A3: 槍の仲間を自軍に入れて、\n＜第２部＞４章－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY02_A4: 特殊：４章－４節ルナ突破
MID_MISSION_H_S201801STORY02_A4: 斧の仲間を自軍に入れて、\n＜第２部＞４章－４節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201801STORY02_A5: 特殊：４章－５節ルナ突破
MID_MISSION_H_S201801STORY02_A5: 剣の仲間を自軍に入れて、\n＜第２部＞４章－５節ルナティックを\n４人全員生存でクリア。
MPID_エイリーク2: エイリーク
MPID_ラーチェル: ラーチェル
MPID_リオン: リオン
MPID_マリカ: マリカ
MPID_ミルラ: ミルラ
MPID_HONOR_エイリーク2: 追憶の優王女
MPID_HONOR_ラーチェル: 光の聖王女
MPID_HONOR_リオン: 影の皇子
MPID_HONOR_マリカ: 緋閃
MPID_HONOR_ミルラ: 無垢なる竜人
MPID_H_エイリーク2: ルネス王国王女。エフラムの双子の妹。リオンの友。\n幼い頃、エフラム、リオンと共に様々なことを学んだ。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_ラーチェル: ロストン聖教国の姫。ドズラとレナックを率いて\nマギ・ヴァル大陸各地の魔物を倒す旅に出ている。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_リオン: グラド帝国の皇子。\n争いを好まない性格。エフラム、エイリークと幼馴染。\n（登場：『ファイアーエムブレム　聖魔の光石』）
