[Heroes Archive] (Data_47_kakusei01)


Heroes Message Name: Message


MWID_H_無竜: 無の竜　射程１\n敵の魔防が高いほど与えるダメージは減る
MID_MISSION_S201803ARM01_TITLE: 武器種
MID_MISSION_S201803ARM01_A1: 剣で撃破
MID_MISSION_H_S201803ARM01_A1: 剣の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A2: 槍で撃破
MID_MISSION_H_S201803ARM01_A2: 槍の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A3: 斧で撃破
MID_MISSION_H_S201803ARM01_A3: 斧の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A4: 弓で撃破
MID_MISSION_H_S201803ARM01_A4: 弓の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A5: 暗器で撃破
MID_MISSION_H_S201803ARM01_A5: 暗器の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A6: 赤魔で撃破
MID_MISSION_H_S201803ARM01_A6: 赤魔の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A7: 青魔で撃破
MID_MISSION_H_S201803ARM01_A7: 青魔の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A8: 緑魔で撃破
MID_MISSION_H_S201803ARM01_A8: 緑魔の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A9: 杖で撃破
MID_MISSION_H_S201803ARM01_A9: 杖の味方で、敵を撃破。
MID_MISSION_S201803ARM01_A10: 剣で、ＬＶ３５以上を撃破
MID_MISSION_H_S201803ARM01_A10: 剣の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201803ARM01_A11: 槍で、ＬＶ３５以上を撃破
MID_MISSION_H_S201803ARM01_A11: 槍の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201803ARM01_A12: 斧で、ＬＶ３５以上を撃破
MID_MISSION_H_S201803ARM01_A12: 斧の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201803ARM01_A13: 弓で、ＬＶ３５以上を撃破
MID_MISSION_H_S201803ARM01_A13: 弓の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201803ARM01_A14: 暗器で、ＬＶ３５以上を撃破
MID_MISSION_H_S201803ARM01_A14: 暗器の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201803ARM01_A15: 赤魔で、ＬＶ３５以上を撃破
MID_MISSION_H_S201803ARM01_A15: 赤魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201803ARM01_A16: 青魔で、ＬＶ３５以上を撃破
