[Heroes Archive] (Data_48_spring02)


Heroes Message Name: Message


MID_MISSION_S201803BLESS01_TITLE: 地の祝福
MID_MISSION_S201803BLESS01_A1: 地の祝福の味方で撃破
MID_MISSION_H_S201803BLESS01_A1: 地の祝福を付与された英雄で、敵を撃破。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A2: 特殊：地の祝福の味方で撃破
MID_MISSION_H_S201803BLESS01_A2: 地の祝福を付与された英雄で、\nレベル２０以上の敵を撃破。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A3: 特殊：地の祝福の味方で撃破
MID_MISSION_H_S201803BLESS01_A3: 地の祝福を付与された英雄で、\nレベル３５以上の赤属性の敵を撃破。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A4: 特殊：地の祝福の味方で撃破
MID_MISSION_H_S201803BLESS01_A4: 地の祝福を付与された英雄で、\nレベル３５以上の青属性の敵を撃破。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A5: 特殊：地の祝福の味方で撃破
MID_MISSION_H_S201803BLESS01_A5: 地の祝福を付与された英雄で、\nレベル３５以上の緑属性の敵を撃破。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A6: 特殊：修練の塔・第１階層突破
MID_MISSION_H_S201803BLESS01_A6: 地の祝福を付与された英雄を自軍に入れて、\n修練の塔・第１階層をクリア。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A7: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S201803BLESS01_A7: 地の祝福を付与された英雄を自軍に入れて、\n修練の塔・第５階層をクリア。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803BLESS01_A8: 特殊：修練の塔・１０階層突破
MID_MISSION_H_S201803BLESS01_A8: 地の祝福を付与された英雄を自軍に入れて、\n修練の塔・第１０階層をクリア。\n（地の伝承英雄は、\n　地の祝福を付与された英雄とは異なる）
MID_MISSION_S201803KIZUNA01_TITLE: 絆英雄戦
MID_MISSION_S201803KIZUNA01_A1: 特殊：絆英雄戦突破
MID_MISSION_H_S201803KIZUNA01_A1: アンナを自軍に入れて、\n絆英雄戦・ニニアン＆ホークアイをクリア。
MID_MISSION_S201803KIZUNA01_A2: 特殊：絆英雄戦突破
MID_MISSION_H_S201803KIZUNA01_A2: アスク王国の王子アルフォンスを自軍に入れて、\n絆英雄戦・ニニアン＆ホークアイ\nルナティック以上をクリア。
MID_MISSION_S201803KIZUNA01_A3: 特殊：ニニアンを撃破
MID_MISSION_H_S201803KIZUNA01_A3: アンナで、\nレベル４０以上のニニアンを撃破。
