[Heroes Archive] (Data_49_thrace01)


Heroes Message Name: Message


MWID_H_赤弓: 赤の弓　射程２\n敵の守備が高いほど与えるダメージは減る\n飛行系の敵に大ダメージを与える
MWID_H_青弓: 青の弓　射程２\n敵の守備が高いほど与えるダメージは減る\n飛行系の敵に大ダメージを与える
MWID_H_緑弓: 緑の弓　射程２\n敵の守備が高いほど与えるダメージは減る\n飛行系の敵に大ダメージを与える
MID_ERROR_APP_EXTRA_BONUS_EXPIRATION: 購入できません。\nこの商品は販売終了しました。
MID_MISSION_S201804DAISEIATU01_TITLE: 大制圧戦
MID_MISSION_S201804DAISEIATU01_A1: 大制圧戦でスコアを獲得
MID_MISSION_H_S201804DAISEIATU01_A1: 大制圧戦でスコアを獲得。
MID_MISSION_S201804DAISEIATU01_A2: 大制圧戦でスコアを獲得
MID_MISSION_H_S201804DAISEIATU01_A2: 大制圧戦でスコアを獲得。
MID_MISSION_S201804DAISEIATU01_A3: 大制圧戦でスコアを獲得
MID_MISSION_H_S201804DAISEIATU01_A3: 大制圧戦でスコアを獲得。
MID_MISSION_S201804MOVE01_TITLE: 移動タイプ
MID_MISSION_S201804MOVE01_A1: 歩行で、赤属性を撃破
MID_MISSION_H_S201804MOVE01_A1: 歩行の味方で、\n赤属性の敵を撃破。
MID_MISSION_S201804MOVE01_A2: 歩行で、青属性を撃破
MID_MISSION_H_S201804MOVE01_A2: 歩行の味方で、\n青属性の敵を撃破。
MID_MISSION_S201804MOVE01_A3: 歩行で、緑属性を撃破
MID_MISSION_H_S201804MOVE01_A3: 歩行の味方で、\n緑属性の敵を撃破。
MID_MISSION_S201804MOVE01_A4: 歩行で、無属性を撃破
MID_MISSION_H_S201804MOVE01_A4: 歩行の味方で、\n無属性の敵を撃破。
MID_MISSION_S201804MOVE01_A5: 重装で、赤属性を撃破
MID_MISSION_H_S201804MOVE01_A5: 重装の味方で、\n赤属性の敵を撃破。
MID_MISSION_S201804MOVE01_A6: 重装で、青属性を撃破
