[Heroes Archive] (Data_50_if01)


Heroes Message Name: Message


MID_MISSION_S201804BLESS01_TITLE: 風の祝福
MID_MISSION_S201804BLESS01_A1: 風の祝福の味方で撃破
MID_MISSION_H_S201804BLESS01_A1: 風の祝福を付与された英雄で、敵を撃破。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A2: 特殊：風の祝福の味方で撃破
MID_MISSION_H_S201804BLESS01_A2: 風の祝福を付与された英雄で、\nレベル２０以上の敵を撃破。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A3: 特殊：風の祝福の味方で撃破
MID_MISSION_H_S201804BLESS01_A3: 風の祝福を付与された英雄で、\nレベル３５以上の赤属性の敵を撃破。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A4: 特殊：風の祝福の味方で撃破
MID_MISSION_H_S201804BLESS01_A4: 風の祝福を付与された英雄で、\nレベル３５以上の青属性の敵を撃破。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A5: 特殊：風の祝福の味方で撃破
MID_MISSION_H_S201804BLESS01_A5: 風の祝福を付与された英雄で、\nレベル３５以上の緑属性の敵を撃破。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A6: 特殊：修練の塔・第１階層突破
MID_MISSION_H_S201804BLESS01_A6: 風の祝福を付与された英雄を自軍に入れて、\n修練の塔・第１階層をクリア。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A7: 特殊：修練の塔・第５階層突破
MID_MISSION_H_S201804BLESS01_A7: 風の祝福を付与された英雄を自軍に入れて、\n修練の塔・第５階層をクリア。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804BLESS01_A8: 特殊：修練の塔・１０階層突破
MID_MISSION_H_S201804BLESS01_A8: 風の祝福を付与された英雄を自軍に入れて、\n修練の塔・第１０階層をクリア。\n（風の伝承英雄は、\n　風の祝福を付与された英雄とは異なる）
MID_MISSION_S201804GW01_TITLE: ＧＷスペシャル
MID_MISSION_S201804GW01_A1: 特殊：LV１０以上を撃破
MID_MISSION_H_S201804GW01_A1: 赤属性の味方で、\nレベル１０以上の緑属性の敵を撃破。
MID_MISSION_S201804GW01_A2: 特殊：LV１０以上を撃破
MID_MISSION_H_S201804GW01_A2: 青属性の味方で、\nレベル１０以上の赤属性の敵を撃破。
MID_MISSION_S201804GW01_A3: 特殊：LV１０以上を撃破
MID_MISSION_H_S201804GW01_A3: 緑属性の味方で、\nレベル１０以上の青属性の敵を撃破。
MID_MISSION_S201804GW01_A4: 特殊：LV１０以上を撃破
MID_MISSION_H_S201804GW01_A4: 赤属性の味方で、\nレベル１０以上の斧の敵を撃破。
MID_MISSION_S201804GW01_A5: 特殊：LV１０以上を撃破
MID_MISSION_H_S201804GW01_A5: 青属性の味方で、\nレベル１０以上の剣の敵を撃破。
MID_MISSION_S201804GW01_A6: 特殊：LV１０以上を撃破
MID_MISSION_H_S201804GW01_A6: 緑属性の味方で、\nレベル１０以上の槍の敵を撃破。
