[Heroes Archive] (Data_51_seisen02)


Heroes Message Name: Message


MID_MISSION_S201805ARM01_TITLE: 武器種
MID_MISSION_S201805ARM01_A1: 剣で撃破
MID_MISSION_H_S201805ARM01_A1: 剣の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A2: 槍で撃破
MID_MISSION_H_S201805ARM01_A2: 槍の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A3: 斧で撃破
MID_MISSION_H_S201805ARM01_A3: 斧の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A4: 無属性弓で撃破
MID_MISSION_H_S201805ARM01_A4: 無属性弓の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A5: 暗器で撃破
MID_MISSION_H_S201805ARM01_A5: 暗器の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A6: 赤魔で撃破
MID_MISSION_H_S201805ARM01_A6: 赤魔の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A7: 青魔で撃破
MID_MISSION_H_S201805ARM01_A7: 青魔の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A8: 緑魔で撃破
MID_MISSION_H_S201805ARM01_A8: 緑魔の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A9: 杖で撃破
MID_MISSION_H_S201805ARM01_A9: 杖の味方で、敵を撃破。
MID_MISSION_S201805ARM01_A10: 剣で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A10: 剣の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A11: 槍で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A11: 槍の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A12: 斧で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A12: 斧の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A13: 無属性弓でLV３５以上を撃破
MID_MISSION_H_S201805ARM01_A13: 無属性弓の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A14: 暗器で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A14: 暗器の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A15: 赤魔で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A15: 赤魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A16: 青魔で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A16: 青魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A17: 緑魔で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A17: 緑魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805ARM01_A18: 杖で、LV３５以上を撃破
MID_MISSION_H_S201805ARM01_A18: 杖の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201805DAISEIATU01_TITLE: 大制圧戦
MID_MISSION_S201805DAISEIATU01_A1: 大制圧戦でスコアを獲得
MID_MISSION_H_S201805DAISEIATU01_A1: 大制圧戦でスコアを獲得。
MID_MISSION_S201805DAISEIATU01_A2: 大制圧戦でスコアを獲得
MID_MISSION_H_S201805DAISEIATU01_A2: 大制圧戦でスコアを獲得。
MID_MISSION_S201805DAISEIATU01_A3: 大制圧戦でスコアを獲得
MID_MISSION_H_S201805DAISEIATU01_A3: 大制圧戦でスコアを獲得。
MID_MISSION_S201805DAISEIATU01_A4: 修練の塔・第２階層突破
MID_MISSION_H_S201805DAISEIATU01_A4: 修練の塔・第２階層をクリア。
MID_MISSION_S201805DAISEIATU01_A5: 修練の塔・第８階層突破
MID_MISSION_H_S201805DAISEIATU01_A5: 修練の塔・第８階層をクリア。
MID_MISSION_S201805DAISEIATU01_A6: 闘技場で勝利
MID_MISSION_H_S201805DAISEIATU01_A6: 闘技場で勝利。
MID_MISSION_S201805STORY01_TITLE: 炎の地獄
MID_MISSION_S201805STORY01_A1: 特殊：９章－１節ルナ突破
MID_MISSION_H_S201805STORY01_A1: 槍の仲間を自軍に入れて、\n＜第２部＞９章－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201805STORY01_A2: 特殊：９章－２節ルナ突破
MID_MISSION_H_S201805STORY01_A2: 斧の仲間を自軍に入れて、\n＜第２部＞９章－２節ルナティックを\n４人全員生存でクリア。
