[Heroes Archive] (Data_53_rekka02)


Heroes Message Name: Message


MDAID_貝殻の髪飾り: 貝殻の髪飾り
MDAID_H_貝殻の髪飾り: 綺麗な貝殻を使った髪飾り。
MDAID_水中ゴーグル: 水中ゴーグル
MDAID_H_水中ゴーグル: 水の中をクリアに見る事ができるゴーグル。\nシュノーケル付きなので\nじっくりと水中観察が可能。
MDAID_アスクの髪飾り: アスクの髪飾り
MDAID_H_アスクの髪飾り: アスク王国の紋章があしらわれた髪飾り。
MDAID_謎の男のマスク: 謎の男のマスク
MDAID_H_謎の男のマスク: 謎の男が使っていたマスクによく似ている。\nスペアなのだろうか？
MDAID_フェーの人形: フェーの人形
MDAID_H_フェーの人形: 特務機関の伝書フクロウ、フェーに\nとても良く似た人形。\n柔らかさまで忠実に再現。
MDAID_春うさぎの帽子: 春うさぎの帽子
MDAID_H_春うさぎの帽子: 春の陽気に誘われた英雄が被っていた帽子。\n個性的なうさぎの顔がついている。
MDAID_謎の剣士の仮面: 謎の剣士の仮面
MDAID_H_謎の剣士の仮面: 英雄王マルスを名乗る剣士が着けていた仮面。
MID_MISSION_S201806ARENA01_TITLE: 闘技場
MID_MISSION_S201806ARENA01_A1: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A1: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A2: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A2: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A3: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A3: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A4: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A4: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A5: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A5: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A6: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A6: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A7: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A7: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A8: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A8: 闘技場で勝利。
MID_MISSION_S201806ARENA01_A9: 闘技場で勝利
MID_MISSION_H_S201806ARENA01_A9: 闘技場で勝利。
MID_MISSION_S201806HERO01_TITLE: 大英雄戦
MID_MISSION_S201806HERO01_A1: 特殊：オリヴァー突破
MID_MISSION_H_S201806HERO01_A1: アンナを自軍に入れて、\n大英雄戦・美の探究者オリヴァーをクリア。
MID_MISSION_S201806HERO01_A2: 特殊：オリヴァー突破
MID_MISSION_H_S201806HERO01_A2: 美の探究者オリヴァーを自軍に入れて、\n大英雄戦・美の探究者オリヴァー\nルナティック以上をクリア。
MID_MISSION_S201806HERO01_A3: 特殊：オリヴァーを撃破
MID_MISSION_H_S201806HERO01_A3: アンナで、\nレベル４０以上の美の探究者オリヴァーを撃破。
MID_MISSION_S201806HERO01_A4: 特殊：オリヴァーを撃破
MID_MISSION_H_S201806HERO01_A4: 美の探究者オリヴァーで、\nレベル４０以上の美の探究者オリヴァーを撃破。
MID_MISSION_S201806HERO01_A5: 特殊：オリヴァー突破
MID_MISSION_H_S201806HERO01_A5: 全員騎馬の仲間で、\n大英雄戦・美の探究者オリヴァー\nルナティック以上をクリア。
MID_MISSION_S201806SENKA01_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201806SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806ACCE01_TITLE: アクセサリー記念
