[Heroes Archive] (Data_54_summer03)


Heroes Message Name: Message


MID_MISSION_S201806DAISEIATU01_TITLE: 大制圧戦
MID_MISSION_S201806DAISEIATU01_A1: 大制圧戦でスコアを獲得
MID_MISSION_H_S201806DAISEIATU01_A1: 大制圧戦でスコアを獲得。
MID_MISSION_S201806DAISEIATU01_A2: 大制圧戦でスコアを獲得
MID_MISSION_H_S201806DAISEIATU01_A2: 大制圧戦でスコアを獲得。
MID_MISSION_S201806DAISEIATU01_A3: 大制圧戦でスコアを獲得
MID_MISSION_H_S201806DAISEIATU01_A3: 大制圧戦でスコアを獲得。
MID_MISSION_S201806DAISEIATU01_A4: 修練の塔・第２階層突破
MID_MISSION_H_S201806DAISEIATU01_A4: 修練の塔・第２階層をクリア。
MID_MISSION_S201806DAISEIATU01_A5: 修練の塔・第８階層突破
MID_MISSION_H_S201806DAISEIATU01_A5: 修練の塔・第８階層をクリア。
MID_MISSION_S201806DAISEIATU01_A6: 闘技場で勝利
MID_MISSION_H_S201806DAISEIATU01_A6: 闘技場で勝利。
MID_MISSION_S201806SENKA02_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201806SENKA02_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA02_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806SENKA02_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA02_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806SENKA02_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA02_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806SENKA02_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201806SENKA02_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201806STORY02_TITLE: 夏、来たる
MID_MISSION_S201806STORY02_A1: 特殊：外伝２１－１節ルナ突破
MID_MISSION_H_S201806STORY02_A1: 剣の仲間を自軍に入れて、\n外伝２１－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201806STORY02_A2: 特殊：外伝２１－２節ルナ突破
MID_MISSION_H_S201806STORY02_A2: 槍の仲間を自軍に入れて、\n外伝２１－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201806STORY02_A3: 特殊：外伝２１－３節ルナ突破
MID_MISSION_H_S201806STORY02_A3: 斧の仲間を自軍に入れて、\n外伝２１－３節ルナティックを\n４人全員生存でクリア。
MPID_水着ヒーニアス: ヒーニアス
MPID_水着ターナ: ターナ
MPID_水着ティアモ: ティアモ
MPID_水着ノワール: ノワール
MPID_HONOR_水着ヒーニアス: 実は泳げる
MPID_HONOR_水着ターナ: 弾けるプリンセス
MPID_HONOR_水着ティアモ: 水着姿の天才騎士
MPID_HONOR_水着ノワール: 日差しは苦手な
MPID_H_水着ヒーニアス: フレリア王国の王子。ターナの兄。\n海で遊ぶより、海で己を高めることに熱心。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_水着ターナ: フレリア王国の王女。ヒーニアスの妹。\n夏の海での休息を楽しんでいる。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_H_水着ティアモ: イーリス聖王国の天馬騎士団唯一の生き残り。\n天才肌だが、水着姿にはあまり自信がない。\n（登場：『ファイアーエムブレム　覚醒』）
MPID_H_水着ノワール: サーリャの娘。臆病だが、キレると別人に豹変する。\n夏の暑さにのぼせて、ふらふらしている。\n（登場：『ファイアーエムブレム　覚醒』）
MPID_VOICE_水着ヒーニアス: 福山潤
MPID_VOICE_水着ターナ: たなか久美
MPID_VOICE_水着ティアモ: 岡田栄美
MPID_VOICE_水着ノワール: 吉田聖子
MPID_ILLUST_水着ヒーニアス: 麻谷知世
MPID_ILLUST_水着ターナ: cuboon
MPID_ILLUST_水着ティアモ: まよ
MPID_ILLUST_水着ノワール: 草木原俊行 / INTELLIGENT SYSTEMS
MSID_貝殻の槍: 貝殻の槍
MSID_貝殻の槍＋: 貝殻の槍＋
MSID_ビーチフラッグ: ビーチフラッグ
MSID_ビーチフラッグ＋: ビーチフラッグ＋
MSID_ヤシの実の弓: ヤシの実の弓
MSID_ヤシの実の弓＋: ヤシの実の弓＋
MSID_イズンの果実: イズンの果実
MSID_攻撃速さの渾身1: 攻撃速さの渾身１
MSID_攻撃速さの渾身2: 攻撃速さの渾身２
MSID_攻撃速さの渾身3: 攻撃速さの渾身３
MSID_強化無効・近距離1: 強化無効・近距離１
MSID_強化無効・近距離2: 強化無効・近距離２
MSID_強化無効・近距離3: 強化無効・近距離３
MSID_守備の共謀1: 守備の共謀１
MSID_守備の共謀2: 守備の共謀２
MSID_守備の共謀3: 守備の共謀３
MSID_歩行の剛撃1: 歩行の剛撃１
MSID_歩行の剛撃2: 歩行の剛撃２
MSID_歩行の剛撃3: 歩行の剛撃３
MSID_H_貝殻の槍: 自分から攻撃した時、\n戦闘中の攻撃、速さ、守備、魔防＋２
MSID_H_貝殻の槍＋: 自分から攻撃した時、\n戦闘中の攻撃、速さ、守備、魔防＋２
MSID_H_ビーチフラッグ: 自分から攻撃した時、\n戦闘中の攻撃、速さ、守備、魔防＋２
MSID_H_ビーチフラッグ＋: 自分から攻撃した時、\n戦闘中の攻撃、速さ、守備、魔防＋２
MSID_H_ヤシの実の弓: 飛行特効\n自分から攻撃した時、\n戦闘中の攻撃、速さ、守備、魔防＋２
MSID_H_ヤシの実の弓＋: 飛行特効\n自分から攻撃した時、\n戦闘中の攻撃、速さ、守備、魔防＋２
MSID_H_イズンの果実: 速さ＋３\n自身のＨＰが５０％以上の時、周囲２マス以内の\n味方は、自身の隣接マスに移動可能
MSID_H_攻撃速さの渾身1: 戦闘開始時、自身のＨＰが１００％なら攻撃、速さ＋３\nその状態で攻撃した時、戦闘後、自分に１ダメージ
MSID_H_攻撃速さの渾身2: 戦闘開始時、自身のＨＰが１００％なら攻撃、速さ＋４\nその状態で攻撃した時、戦闘後、自分に１ダメージ
MSID_H_攻撃速さの渾身3: 戦闘開始時、自身のＨＰが１００％なら攻撃、速さ＋５\nその状態で攻撃した時、戦闘後、自分に１ダメージ
MSID_H_強化無効・近距離1: 戦闘開始時、自身のＨＰが１００％で、\n敵が剣、槍、斧、竜の時、\n戦闘中、敵の強化の＋を無効にする\n（無効になるのは、鼓舞や応援等の＋効果）
MSID_H_強化無効・近距離2: 戦闘開始時、自身のＨＰが５０％以上で、\n敵が剣、槍、斧、竜の時、\n戦闘中、敵の強化の＋を無効にする\n（無効になるのは、鼓舞や応援等の＋効果）
MSID_H_強化無効・近距離3: 敵が剣、槍、斧、竜の時、\n戦闘中、敵の強化の＋を無効にする\n（無効になるのは、鼓舞や応援等の＋効果）
MSID_H_守備の共謀1: 応援を使用した時、または自分に使用された時、\n自分の十字方向にいる敵は、\n守備－３（敵の次回行動終了まで）
MSID_H_守備の共謀2: 応援を使用した時、または自分に使用された時、\n自分の十字方向にいる敵は、\n守備－５（敵の次回行動終了まで）
MSID_H_守備の共謀3: 応援を使用した時、または自分に使用された時、\n自分の十字方向にいる敵は、\n守備－７（敵の次回行動終了まで）
MSID_H_歩行の剛撃1: 周囲２マス以内の味方歩行は以下の効果を得る。\n攻撃が敵より５以上高い時、自身の攻撃による奥義発動\nカウント変動量＋１（同系統効果複数時、最大値適用）
MSID_H_歩行の剛撃2: 周囲２マス以内の味方歩行は以下の効果を得る。\n攻撃が敵より３以上高い時、自身の攻撃による奥義発動\nカウント変動量＋１（同系統効果複数時、最大値適用）
MSID_H_歩行の剛撃3: 周囲２マス以内の味方歩行は以下の効果を得る。\n攻撃が敵より１以上高い時、自身の攻撃による奥義発動\nカウント変動量＋１（同系統効果複数時、最大値適用）
MID_CHAPTER_TITLE_CX020: 外伝２１
MID_CHAPTER_CX020: 夏、来たる
MID_STAGE_TITLE_X0201: 外伝２１－１節
MID_STAGE_TITLE_X0202: 外伝２１－２節
MID_STAGE_TITLE_X0203: 外伝２１－３節
MID_STAGE_X0201: フレリア兄妹の夏
MID_STAGE_X0202: 青い空にきらめく
MID_STAGE_X0203: 海の声を聴きながら
