[Heroes Archive] (Data_55_summer04)


Heroes Message Name: Message


MDAID_黄色いアヒル: 黄色いアヒル
MDAID_H_黄色いアヒル: 水面に浮かべて遊ぶアヒル型のおもちゃ。\nぷかぷかと浮かぶ姿は、癒やし効果抜群。
MDAID_温泉手ぬぐい: 温泉手ぬぐい
MDAID_H_温泉手ぬぐい: 温泉で使うための手ぬぐい。\n湯船には浸けないように注意！
MID_MISSION_S201807KIZUNA01_TITLE: 絆英雄戦
MID_MISSION_S201807KIZUNA01_A1: 特殊：絆英雄戦突破
MID_MISSION_H_S201807KIZUNA01_A1: アスク王国の王子アルフォンスを自軍に入れて、\n絆英雄戦・レイヴァン＆ルセアをクリア。
MID_MISSION_S201807KIZUNA01_A2: 特殊：絆英雄戦突破
MID_MISSION_H_S201807KIZUNA01_A2: フィヨルムを自軍に入れて、\n絆英雄戦・レイヴァン＆ルセア\nルナティック以上をクリア。
MID_MISSION_S201807KIZUNA01_A3: 特殊：レイヴァンを撃破
MID_MISSION_H_S201807KIZUNA01_A3: アスク王国の王子アルフォンスで、\nレベル４０以上のレイヴァンを撃破。
MID_MISSION_S201807KIZUNA01_A4: 特殊：ルセアを撃破
MID_MISSION_H_S201807KIZUNA01_A4: フィヨルムで、\nレベル４０以上のルセアを撃破。
MID_MISSION_S201807KIZUNA01_A5: 特殊：絆英雄戦突破
MID_MISSION_H_S201807KIZUNA01_A5: 全員歩行の仲間で、\n絆英雄戦・レイヴァン＆ルセア\nルナティック以上をクリア。
MID_MISSION_S201807SENKA01_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201807SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201807SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201807SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201807SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201807SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201807SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201807SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201807SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201807STORY01_TITLE: 夏、再び
MID_MISSION_S201807STORY01_A1: 特殊：外伝２２－１節ルナ突破
MID_MISSION_H_S201807STORY01_A1: 槍の仲間を自軍に入れて、\n外伝２２－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201807STORY01_A2: 特殊：外伝２２－２節ルナ突破
MID_MISSION_H_S201807STORY01_A2: 斧の仲間を自軍に入れて、\n外伝２２－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201807STORY01_A3: 特殊：外伝２２－３節ルナ突破
MID_MISSION_H_S201807STORY01_A3: 剣の仲間を自軍に入れて、\n外伝２２－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201807TAPBTL01_D01_TITLE: タップバトル・デイリー
MID_MISSION_S201807TAPBTL01_D01_A1: 特殊：ノワールを撃破
MID_MISSION_H_S201807TAPBTL01_D01_A1: かんたんタップバトルで、難易度ノーマル\n第１６～２０階層のボス・ノワールを撃破。
MID_MISSION_S201807TAPBTL01_D01_A2: 第２１～２５階層をクリア
MID_MISSION_H_S201807TAPBTL01_D01_A2: かんたんタップバトルで、\n第２１～２５階層のステージをクリア。
MID_MISSION_S201807TAPBTL01_D01_A3: ステージクリア
MID_MISSION_H_S201807TAPBTL01_D01_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201807TAPBTL01_D02_TITLE: タップバトル・デイリー
MID_MISSION_S201807TAPBTL01_D02_A1: 特殊：ノワールを撃破
MID_MISSION_H_S201807TAPBTL01_D02_A1: かんたんタップバトルで、難易度ハード\n第１６～２０階層のボス・ノワールを撃破。
MID_MISSION_S201807TAPBTL01_D02_A2: 第４１～４５階層をクリア
MID_MISSION_H_S201807TAPBTL01_D02_A2: かんたんタップバトルで、\n第４１～４５階層のステージをクリア。
MID_MISSION_S201807TAPBTL01_D02_A3: ステージクリア
