[Heroes Archive] (Data_562_legend07)


Heroes Message Name: Message


MID_MISSION_M201808A_TITLE: ８月ミッションＡ
MID_MISSION_M201808A_A1: 赤属性で撃破
MID_MISSION_H_M201808A_A1: 赤属性の味方で、敵を撃破。
MID_MISSION_M201808A_A2: 飛行で撃破
MID_MISSION_H_M201808A_A2: 飛行の味方で、敵を撃破。
MID_MISSION_M201808A_A3: 青属性を撃破
MID_MISSION_H_M201808A_A3: 青属性の敵を撃破。
MID_MISSION_M201808A_A4: 騎馬を撃破
MID_MISSION_H_M201808A_A4: 騎馬の敵を撃破。
MID_MISSION_M201808A_A5: 闘技場で勝利
MID_MISSION_H_M201808A_A5: 闘技場で勝利。
MID_MISSION_M201808A_A6: 緑属性で、LV２０以上を撃破
MID_MISSION_H_M201808A_A6: 緑属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201808A_A7: 騎馬で、LV２０以上を撃破
MID_MISSION_H_M201808A_A7: 騎馬の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201808A_A8: LV２０以上の赤属性を撃破
MID_MISSION_H_M201808A_A8: レベル２０以上の赤属性の敵を撃破。
MID_MISSION_M201808A_A9: LV２０以上の飛行を撃破
MID_MISSION_H_M201808A_A9: レベル２０以上の飛行の敵を撃破。
MID_MISSION_M201808A_A10: 闘技場・中級以上で勝利
MID_MISSION_H_M201808A_A10: 闘技場・中級以上で勝利。
MID_MISSION_M201808A_A11: 青属性で、LV３５以上を撃破
MID_MISSION_H_M201808A_A11: 青属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201808A_A12: 歩行で、LV３５以上を撃破
MID_MISSION_H_M201808A_A12: 歩行の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201808A_A13: LV３５以上の緑属性を撃破
MID_MISSION_H_M201808A_A13: レベル３５以上の緑属性の敵を撃破。
MID_MISSION_M201808A_A14: LV３５以上の歩行を撃破
MID_MISSION_H_M201808A_A14: レベル３５以上の歩行の敵を撃破。
MID_MISSION_M201808A_A15: 闘技場・上級で勝利
MID_MISSION_H_M201808A_A15: 闘技場・上級で勝利。
MID_MISSION_M201808B_TITLE: ８月ミッションＢ
MID_MISSION_M201808B_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_M201808B_A1: 修練の塔・第１階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A2: 特殊：修練の塔・第２階層突破
MID_MISSION_H_M201808B_A2: 修練の塔・第２階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_M201808B_A3: 修練の塔・第３階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A4: 特殊：修練の塔・第４階層突破
MID_MISSION_H_M201808B_A4: 修練の塔・第４階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A5: 特殊：修練の塔・第５階層突破
MID_MISSION_H_M201808B_A5: 修練の塔・第５階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A6: 特殊：修練の塔・第６階層突破
MID_MISSION_H_M201808B_A6: 修練の塔・第６階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A7: 特殊：修練の塔・第７階層突破
MID_MISSION_H_M201808B_A7: 修練の塔・第７階層を\n４人全員生存でクリア。
MID_MISSION_M201808B_A8: 特殊：修練の塔・第８階層突破
MID_MISSION_H_M201808B_A8: 修練の塔・第８階層を\n４人全員生存でクリア。
