[Heroes Archive] (Data_57_bon01)


Heroes Message Name: Message


MWID_H_赤暗: 赤の暗器　射程２\n敵の守備が高いほど与えるダメージは減る\n敵の能力を一時的に減少させる
MWID_H_青暗: 青の暗器　射程２\n敵の守備が高いほど与えるダメージは減る\n敵の能力を一時的に減少させる
MWID_H_緑暗: 緑の暗器　射程２\n敵の守備が高いほど与えるダメージは減る\n敵の能力を一時的に減少させる
MDAID_花のかんざし: 花のかんざし
MDAID_H_花のかんざし: 白夜王国の縁日で売られていた髪飾り。\n淡い色の小さな花が、涼やかで愛らしい。
MDAID_夏祭りのお面: 夏祭りのお面
MDAID_H_夏祭りのお面: 白夜王国の縁日で売られていたお面。\n可愛らしい竜の顔がモチーフになっている。
MID_MISSION_S201808ARM01_TITLE: 武器種
MID_MISSION_S201808ARM01_A1: 剣で撃破
MID_MISSION_H_S201808ARM01_A1: 剣の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A2: 槍で撃破
MID_MISSION_H_S201808ARM01_A2: 槍の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A3: 斧で撃破
MID_MISSION_H_S201808ARM01_A3: 斧の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A4: 無属性弓で撃破
MID_MISSION_H_S201808ARM01_A4: 無属性弓の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A5: 無属性暗器で撃破
MID_MISSION_H_S201808ARM01_A5: 無属性暗器の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A6: 赤魔で撃破
MID_MISSION_H_S201808ARM01_A6: 赤魔の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A7: 青魔で撃破
MID_MISSION_H_S201808ARM01_A7: 青魔の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A8: 緑魔で撃破
MID_MISSION_H_S201808ARM01_A8: 緑魔の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A9: 杖で撃破
MID_MISSION_H_S201808ARM01_A9: 杖の味方で、敵を撃破。
MID_MISSION_S201808ARM01_A10: 剣で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A10: 剣の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A11: 槍で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A11: 槍の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A12: 斧で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A12: 斧の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A13: 無属性弓でLV３５以上を撃破
MID_MISSION_H_S201808ARM01_A13: 無属性弓の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A14: 無属性暗器でLV35以上を撃破
MID_MISSION_H_S201808ARM01_A14: 無属性暗器の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A15: 赤魔で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A15: 赤魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A16: 青魔で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A16: 青魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A17: 緑魔で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A17: 緑魔の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_S201808ARM01_A18: 杖で、LV３５以上を撃破
MID_MISSION_H_S201808ARM01_A18: 杖の味方で、\nレベル３５以上の敵を撃破。
