[Heroes Archive] (Data_582_legend08)


Heroes Message Name: Message


MDAID_貝殻の髪飾り・金: 貝殻の髪飾り・金
MDAID_H_貝殻の髪飾り・金: 伝承英雄マルスに勝利した証。
MDAID_水中ゴーグル・金: 水中ゴーグル・金
MDAID_H_水中ゴーグル・金: 伝承英雄ルフレに勝利した証。
MID_MISSION_M201809A_TITLE: ９月ミッションＡ
MID_MISSION_M201809A_A1: 青属性で撃破
MID_MISSION_H_M201809A_A1: 青属性の味方で、敵を撃破。
MID_MISSION_M201809A_A2: 歩行で撃破
MID_MISSION_H_M201809A_A2: 歩行の味方で、敵を撃破。
MID_MISSION_M201809A_A3: 緑属性を撃破
MID_MISSION_H_M201809A_A3: 緑属性の敵を撃破。
MID_MISSION_M201809A_A4: 飛行を撃破
MID_MISSION_H_M201809A_A4: 飛行の敵を撃破。
MID_MISSION_M201809A_A5: 闘技場で勝利
MID_MISSION_H_M201809A_A5: 闘技場で勝利。
MID_MISSION_M201809A_A6: 赤属性で、LV２０以上を撃破
MID_MISSION_H_M201809A_A6: 赤属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201809A_A7: 飛行で、LV２０以上を撃破
MID_MISSION_H_M201809A_A7: 飛行の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201809A_A8: LV２０以上の青属性を撃破
MID_MISSION_H_M201809A_A8: レベル２０以上の青属性の敵を撃破。
MID_MISSION_M201809A_A9: LV２０以上の歩行を撃破
MID_MISSION_H_M201809A_A9: レベル２０以上の歩行の敵を撃破。
MID_MISSION_M201809A_A10: 闘技場・中級以上で勝利
MID_MISSION_H_M201809A_A10: 闘技場・中級以上で勝利。
MID_MISSION_M201809A_A11: 緑属性で、LV３５以上を撃破
MID_MISSION_H_M201809A_A11: 緑属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201809A_A12: 騎馬で、LV３５以上を撃破
MID_MISSION_H_M201809A_A12: 騎馬の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201809A_A13: LV３５以上の赤属性を撃破
MID_MISSION_H_M201809A_A13: レベル３５以上の赤属性の敵を撃破。
MID_MISSION_M201809A_A14: LV３５以上の騎馬を撃破
MID_MISSION_H_M201809A_A14: レベル３５以上の騎馬の敵を撃破。
MID_MISSION_M201809A_A15: 闘技場・上級で勝利
MID_MISSION_H_M201809A_A15: 闘技場・上級で勝利。
MID_MISSION_M201809B_TITLE: ９月ミッションＢ
MID_MISSION_M201809B_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_M201809B_A1: 修練の塔・第１階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A2: 特殊：修練の塔・第２階層突破
MID_MISSION_H_M201809B_A2: 修練の塔・第２階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A3: 特殊：修練の塔・第３階層突破
MID_MISSION_H_M201809B_A3: 修練の塔・第３階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A4: 特殊：修練の塔・第４階層突破
MID_MISSION_H_M201809B_A4: 修練の塔・第４階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A5: 特殊：修練の塔・第５階層突破
MID_MISSION_H_M201809B_A5: 修練の塔・第５階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A6: 特殊：修練の塔・第６階層突破
MID_MISSION_H_M201809B_A6: 修練の塔・第６階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A7: 特殊：修練の塔・第７階層突破
MID_MISSION_H_M201809B_A7: 修練の塔・第７階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A8: 特殊：修練の塔・第８階層突破
MID_MISSION_H_M201809B_A8: 修練の塔・第８階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A9: 特殊：修練の塔・第９階層突破
MID_MISSION_H_M201809B_A9: 修練の塔・第９階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A10: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201809B_A10: 修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A11: 特殊：修練の塔・１０階層突破
MID_MISSION_H_M201809B_A11: 全員歩行の仲間で、\n修練の塔・第１０階層を\n４人全員生存でクリア。
MID_MISSION_M201809B_A12: 特殊：修練の塔・１０階層突破
