[Heroes Archive] (Data_58_popularity03)


Heroes Message Name: Message


MDAID_重騎士の兜: 重騎士の兜
MDAID_H_重騎士の兜: ヘクトルがくれた、オスティアに伝わる\n重騎士の兜。\n重たいが、重騎士は物ともしないようだ。
MDAID_重騎士の兜・極: 重騎士の兜・極
MDAID_H_重騎士の兜・極: ヘクトルがくれた、オスティアに伝わる\n重騎士の兜。\n豪華だが傷があり、歴史が感じられる。
MDAID_勇王の兜: 勇王の兜
MDAID_H_勇王の兜: エフラムがくれた、ルネス王国に伝わる\n勇王の兜。\n丈夫に作られているが、軽い。
MDAID_勇王の兜・極: 勇王の兜・極
MDAID_H_勇王の兜・極: エフラムがくれた、ルネス王国に伝わる\n勇王の兜。\n戦でできたであろう傷がある。
MDAID_王女の髪飾り: 王女の髪飾り
MDAID_H_王女の髪飾り: セリカがくれた、\n神官時代に愛用していた髪飾り。\nとても繊細に作られている。
MDAID_王女の髪飾り・極: 王女の髪飾り・極
MDAID_H_王女の髪飾り・極: セリカがくれた、\n幼い頃愛用していたリボンの髪飾り。\n綺麗で、大切にされてきた事がわかる。
MDAID_皇女の頭飾り: 皇女の頭飾り
MDAID_H_皇女の頭飾り: ヴェロニカがくれた、エンブラ帝国に伝わる\n皇女の頭飾り。\n見た目は大きいが、軽く作られている。
MDAID_皇女の頭飾り・極: 皇女の頭飾り・極
MDAID_H_皇女の頭飾り・極: ヴェロニカがくれた、エンブラ帝国に伝わる\n皇女の頭飾り。\n歴代の皇女が身につけてきた物のようだ。
MID_MISSION_S201808STORY02_TITLE: 大いなる者、顕現す
MID_MISSION_S201808STORY02_A1: 特殊：外伝２４－１節ルナ突破
MID_MISSION_H_S201808STORY02_A1: 剣の仲間を自軍に入れて、\n外伝２４－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201808STORY02_A2: 特殊：外伝２４－２節ルナ突破
MID_MISSION_H_S201808STORY02_A2: 槍の仲間を自軍に入れて、\n外伝２４－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201808STORY02_A3: 特殊：外伝２４－３節ルナ突破
MID_MISSION_H_S201808STORY02_A3: 斧の仲間を自軍に入れて、\n外伝２４－３節ルナティックを\n４人全員生存でクリア。
MPID_総選挙セリカ: セリカ
MPID_総選挙ヴェロニカ: ヴェロニカ
MPID_総選挙ヘクトル: ヘクトル
MPID_総選挙エフラム: エフラム
MPID_HONOR_総選挙セリカ: 女神の神官戦士
MPID_HONOR_総選挙ヴェロニカ: 大いなる皇女
MPID_HONOR_総選挙ヘクトル: 大いなる重騎士
MPID_HONOR_総選挙エフラム: 双聖の勇王
MPID_H_総選挙セリカ: ソフィア王国の王女。女神ミラに仕える神官戦士。\n勇者アルムに託された王家の剣を手に召喚に応じた。\n（登場：『ファイアーエムブレム　Echoes』）
MPID_H_総選挙ヴェロニカ: エンブラ帝国の皇女。いなくなった兄ブルーノを思い、\nその行方を捜し求めている。
MPID_H_総選挙ヘクトル: 急逝した兄の後を継いだオスティア侯。\n重騎士として伝説の八神将の槍を振るう。\n（登場：『ファイアーエムブレム 烈火の剣』）
MPID_H_総選挙エフラム: ルネス王国王子。亡き父ファードに代わり、国を守る。\nグラド帝国の双聖器・黒斧【ガルム】を手にする。\n（登場：『ファイアーエムブレム　聖魔の光石』）
MPID_VOICE_総選挙セリカ: 東山奈央
MPID_VOICE_総選挙ヴェロニカ: 日高里菜
MPID_VOICE_総選挙ヘクトル: 鳥海浩輔
MPID_VOICE_総選挙エフラム: 八代拓
MPID_ILLUST_総選挙セリカ: 左
MPID_ILLUST_総選挙ヴェロニカ: コザキユースケ
MPID_ILLUST_総選挙ヘクトル: 北千里
MPID_ILLUST_総選挙エフラム: ワダサチコ
MSID_王家の剣: 王家の剣
MSID_マルテ: マルテ
MSID_ガルム: ガルム
MSID_フリズスキャルヴ: フリズスキャルヴ
MSID_業火疾風の祝福: 業火疾風の祝福
MSID_業火疾風の祝福＋: 業火疾風の祝福＋
MSID_オスティアの反撃: オスティアの反撃
MSID_鬼神の一撃4: 鬼神の一撃４
MSID_獅子連斬: 獅子連斬
MSID_奥義隊形1: 奥義隊形１
MSID_奥義隊形2: 奥義隊形２
MSID_奥義隊形3: 奥義隊形３
MSID_魔防の波・偶数1: 魔防の波・偶数１
MSID_魔防の波・偶数2: 魔防の波・偶数２
MSID_魔防の波・偶数3: 魔防の波・偶数３
MSID_近距離警戒1: 近距離警戒１
MSID_近距離警戒2: 近距離警戒２
MSID_近距離警戒3: 近距離警戒３
MSID_H_王家の剣: 速さ＋３\n周囲２マス以内に味方がいる時、\n自身の攻撃による奥義発動カウント変動量＋１\n（同系統効果複数時、最大値適用）
MSID_H_マルテ: 奥義が発動しやすい（発動カウント－１）\n自分のＨＰが５０％以上で、\n敵から攻撃された時、絶対追撃
MSID_H_ガルム: 攻撃＋３\n自身が強化（応援、鼓舞等）または\n移動＋１（重装の行軍、重装のブーツ等）の\n効果を受けている時、絶対追撃
MSID_H_フリズスキャルヴ: 敵は反撃不可\n戦闘中に攻撃していれば、戦闘後に\n敵と、その周囲２マスの敵の\n攻撃、速さ、守備、魔防－４（敵の次回行動終了まで）\n自分と、その周囲２マスの味方の\n攻撃、速さ、守備、魔防＋４（１ターン）
MSID_H_業火疾風の祝福: 回復の杖使用時、自分を除く\n全味方の攻撃、速さ＋４（１ターン）
MSID_H_業火疾風の祝福＋: 回復の杖使用時、自分を除く\n全味方の攻撃、速さ＋６（１ターン）
MSID_H_オスティアの反撃: 敵から攻撃された時、距離に関係なく反撃する\nその戦闘中、攻撃、守備＋４
MSID_H_鬼神の一撃4: 自分から攻撃した時、戦闘中の攻撃＋８
