[Heroes Archive] (Data_59_seisen03)


Heroes Message Name: Message


MDAID_桃色のアヒル: 桃色のアヒル
MDAID_H_桃色のアヒル: 水面に浮かべて遊ぶアヒル型のおもちゃ。\nぷかぷかと浮かぶ姿は、癒やし効果抜群。\nこちらはどうやら女の子のようだ。
MDAID_夏うさぎの帽子: 夏うさぎの帽子
MDAID_H_夏うさぎの帽子: 春の陽気に誘われた英雄が被っていた帽子が、\n夏にあわせてアレンジされたもの。\n相変わらず個性的なうさぎの顔がついている。
MID_MISSION_S201809KIZUNA01_TITLE: 絆英雄戦
MID_MISSION_S201809KIZUNA01_A1: 特殊：絆英雄戦突破
MID_MISSION_H_S201809KIZUNA01_A1: アスク王国の王女シャロンを自軍に入れて、\n絆英雄戦・クロム＆リズをクリア。
MID_MISSION_S201809KIZUNA01_A2: 特殊：絆英雄戦突破
MID_MISSION_H_S201809KIZUNA01_A2: フィヨルムを自軍に入れて、\n絆英雄戦・クロム＆リズ\nルナティック以上をクリア。
MID_MISSION_S201809KIZUNA01_A3: 特殊：クロムを撃破
MID_MISSION_H_S201809KIZUNA01_A3: アスク王国の王女シャロンで、\nレベル４０以上の新たなる聖王クロムを撃破。
MID_MISSION_S201809KIZUNA01_A4: 特殊：リズを撃破
MID_MISSION_H_S201809KIZUNA01_A4: フィヨルムで、\nレベル４０以上の飛び跳ねシスターリズを撃破。
MID_MISSION_S201809KIZUNA01_A5: 特殊：絆英雄戦突破
MID_MISSION_H_S201809KIZUNA01_A5: 全員飛行の仲間で、\n絆英雄戦・クロム＆リズ\nルナティック以上をクリア。
MID_MISSION_S201809SENKA01_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201809SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201809SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201809SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201809SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201809SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201809SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201809SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201809SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201809STORY01_TITLE: 内なる毒
MID_MISSION_S201809STORY01_A1: 特殊：１２章－１節ルナ突破
MID_MISSION_H_S201809STORY01_A1: 槍の仲間を自軍に入れて、\n＜第２部＞１２章－１節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201809STORY01_A2: 特殊：１２章－２節ルナ突破
MID_MISSION_H_S201809STORY01_A2: 斧の仲間を自軍に入れて、\n＜第２部＞１２章－２節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201809STORY01_A3: 特殊：１２章－３節ルナ突破
MID_MISSION_H_S201809STORY01_A3: 剣の仲間を自軍に入れて、\n＜第２部＞１２章－３節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201809STORY01_A4: 特殊：１２章－４節ルナ突破
MID_MISSION_H_S201809STORY01_A4: 槍の仲間を自軍に入れて、\n＜第２部＞１２章－４節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201809STORY01_A5: 特殊：１２章－５節ルナ突破
MID_MISSION_H_S201809STORY01_A5: 斧の仲間を自軍に入れて、\n＜第２部＞１２章－５節ルナティックを\n４人全員生存でクリア。
MID_MISSION_S201809TAPBTL01_D01_TITLE: タップバトル・デイリー
MID_MISSION_S201809TAPBTL01_D01_A1: 特殊：ラガルトを撃破
MID_MISSION_H_S201809TAPBTL01_D01_A1: かんたんタップバトルで、難易度ノーマル\n第１６～２０階層のボス・ラガルトを撃破。
MID_MISSION_S201809TAPBTL01_D01_A2: 第２１～２５階層をクリア
MID_MISSION_H_S201809TAPBTL01_D01_A2: かんたんタップバトルで、\n第２１～２５階層のステージをクリア。
MID_MISSION_S201809TAPBTL01_D01_A3: ステージクリア
MID_MISSION_H_S201809TAPBTL01_D01_A3: かんたんタップバトルで、\nステージをクリア。
MID_MISSION_S201809TAPBTL01_D02_TITLE: タップバトル・デイリー
MID_MISSION_S201809TAPBTL01_D02_A1: 特殊：ラガルトを撃破
MID_MISSION_H_S201809TAPBTL01_D02_A1: かんたんタップバトルで、難易度ハード\n第１６～２０階層のボス・ラガルトを撃破。
