[Heroes Archive] (Data_60_if02)


Heroes Message Name: Message


MDAID_メイドの頭飾り: メイドの頭飾り
MDAID_H_メイドの頭飾り: フローラがくれた、メイドの頭飾り。\n暗夜王国のクラーケンシュタイン城で、\nメイドが身に着けているもの。
MDAID_メイドの頭飾り・極: メイドの頭飾り・極
MDAID_H_メイドの頭飾り・極: フローラがくれた、メイドの頭飾り。\n優秀なメイド長のみが、\n身に着けることを許されている。
MDAID_騎士の額当て: 騎士の額当て
MDAID_H_騎士の額当て: サイラスがくれた、騎士の額当て。\n騎士として認められたものに\n与えられる装備品のひとつ。
MDAID_騎士の額当て・極: 騎士の額当て・極
MDAID_H_騎士の額当て・極: サイラスがくれた、騎士の額当て。\n聖騎士として認められたものに与えられる、\n特別な装備品。
MDAID_読書用眼鏡: 読書用眼鏡
MDAID_H_読書用眼鏡: エポニーヌがくれた、読書用の眼鏡。\nこれを着けて本を読むと、目が疲れにくい。
MDAID_読書用眼鏡・極: 読書用眼鏡・極
MDAID_H_読書用眼鏡・極: エポニーヌがくれた、読書用の眼鏡。\nこれを着けていると、\n夜中まで本を読み耽ってしまいそうだ。
MDAID_聖なる星の煌めき: 聖なる星の煌めき
MDAID_H_聖なる星の煌めき: オフェリアがくれた、\n聖なる星の欠片（髪飾り）\n強い力が宿っているらしい。
MDAID_聖なる星の煌めき・極: 聖なる星の煌めき・極
MDAID_H_聖なる星の煌めき・極: オフェリアがくれた、\n聖なる星の欠片（髪飾り）選ばれし者のみ、\n手にする事ができるらしい。
MID_MISSION_M201809CLEAR01_TITLE: 第２部
MID_MISSION_M201809CLEAR01_A1: 特殊：１章－５節突破
MID_MISSION_H_M201809CLEAR01_A1: フィヨルムを自軍に入れて、\n＜第２部＞１章－５節を\n４人全員生存でクリア。
MID_MISSION_M201809CLEAR01_A2: 特殊：２章－５節突破
MID_MISSION_H_M201809CLEAR01_A2: フィヨルムを自軍に入れて、\n＜第２部＞２章－５節を\n４人全員生存でクリア。
MID_MISSION_M201809CLEAR01_A3: 特殊：３章－５節突破
MID_MISSION_H_M201809CLEAR01_A3: フィヨルムを自軍に入れて、\n＜第２部＞３章－５節を\n４人全員生存でクリア。
