[Heroes Archive] (Data_61_halloween_02)


Heroes Message Name: Message


MDAID_コウモリの耳: コウモリの耳
MDAID_H_コウモリの耳: コウモリの耳を模した頭飾り。
MDAID_悪魔のツノ: 悪魔のツノ
MDAID_H_悪魔のツノ: 悪魔のツノをイメージした頭飾り。
MDAID_謎の剣士の仮面・金: 謎の剣士の仮面・金
MDAID_H_謎の剣士の仮面・金: 大英雄ナーシェンに勝利した証。
MDAID_黄色いアヒル・金: 黄色いアヒル・金
MDAID_H_黄色いアヒル・金: 大英雄ナバールに勝利した証。
MDAID_温泉手ぬぐい・金: 温泉手ぬぐい・金
MDAID_H_温泉手ぬぐい・金: 大英雄ルフレに勝利した証。
MDAID_花占いの髪飾り・金: 花占いの髪飾り・金
MDAID_H_花占いの髪飾り・金: 大英雄ウルスラに勝利した証。
MDAID_令嬢のリボン・金: 令嬢のリボン・金
MDAID_H_令嬢のリボン・金: 大英雄ロイドに勝利した証。
MDAID_踊り子のマスク・金: 踊り子のマスク・金
MDAID_H_踊り子のマスク・金: 大英雄ミシェイルに勝利した証。
MDAID_聖職者の帽子・金: 聖職者の帽子・金
MDAID_H_聖職者の帽子・金: 大英雄マークスに勝利した証。
MID_MISSION_S201810DAISEIATU01_TITLE: 大制圧戦
MID_MISSION_S201810DAISEIATU01_A1: 大制圧戦でスコアを獲得
MID_MISSION_H_S201810DAISEIATU01_A1: 大制圧戦でスコアを獲得。
MID_MISSION_S201810DAISEIATU01_A2: 大制圧戦でスコアを獲得
MID_MISSION_H_S201810DAISEIATU01_A2: 大制圧戦でスコアを獲得。
MID_MISSION_S201810DAISEIATU01_A3: 大制圧戦でスコアを獲得
MID_MISSION_H_S201810DAISEIATU01_A3: 大制圧戦でスコアを獲得。
MID_MISSION_S201810DAISEIATU01_A4: 修練の塔・第２階層突破
MID_MISSION_H_S201810DAISEIATU01_A4: 修練の塔・第２階層をクリア。
MID_MISSION_S201810DAISEIATU01_A5: 修練の塔・第８階層突破
MID_MISSION_H_S201810DAISEIATU01_A5: 修練の塔・第８階層をクリア。
MID_MISSION_S201810DAISEIATU01_A6: 闘技場で勝利
MID_MISSION_H_S201810DAISEIATU01_A6: 闘技場で勝利。
MID_MISSION_S201810HERO01_TITLE: 大英雄戦
MID_MISSION_S201810HERO01_A1: 特殊：竜の御子カンナ突破
MID_MISSION_H_S201810HERO01_A1: アンナを自軍に入れて、\n大英雄戦・竜の御子カンナをクリア。
MID_MISSION_S201810HERO01_A2: 特殊：竜の御子カンナ突破
MID_MISSION_H_S201810HERO01_A2: 竜の御子カンナを自軍に入れて、\n大英雄戦・竜の御子カンナ\nルナティック以上をクリア。
MID_MISSION_S201810HERO01_A3: 特殊：竜の御子カンナを撃破
MID_MISSION_H_S201810HERO01_A3: アンナで、\nレベル４０以上の竜の御子カンナを撃破。
MID_MISSION_S201810HERO01_A4: 特殊：竜の御子カンナ撃破
MID_MISSION_H_S201810HERO01_A4: 竜の御子カンナで、\nレベル４０以上の竜の御子カンナを撃破。
MID_MISSION_S201810HERO01_A5: 特殊：竜の御子カンナ突破
MID_MISSION_H_S201810HERO01_A5: 全員重装の仲間で、\n大英雄戦・竜の御子カンナ\nルナティック以上をクリア。
MID_MISSION_S201810SENKA01_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201810SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA02_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201810SENKA02_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA02_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA02_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA02_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA02_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201810SENKA02_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201810SENKA02_DAILY_A4: 特殊：戦渦の連戦突破
