[Heroes Archive] (Data_63_dream01)


Heroes Message Name: Message


MDAID_白夜王妃の頭飾り: 白夜王妃の頭飾り
MDAID_H_白夜王妃の頭飾り: 白夜王国の王妃の頭飾り。
MDAID_迷い子の帽子: 迷い子の帽子
MDAID_H_迷い子の帽子: 幼い頃アクアがかぶっていた帽子。
MID_MISSION_S201811ARENA01_TITLE: 闘技場
MID_MISSION_S201811ARENA01_A1: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A1: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A2: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A2: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A3: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A3: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A4: 縛鎖の闘技場で、３連勝
MID_MISSION_H_S201811ARENA01_A4: 縛鎖の闘技場で、３連勝。
MID_MISSION_S201811ARENA01_A5: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A5: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A6: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A6: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A7: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A7: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A8: 縛鎖の闘技場で、５連勝
MID_MISSION_H_S201811ARENA01_A8: 縛鎖の闘技場で、５連勝。
MID_MISSION_S201811ARENA01_A9: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A9: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A10: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A10: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A11: 闘技場で勝利
MID_MISSION_H_S201811ARENA01_A11: 闘技場で勝利。
MID_MISSION_S201811ARENA01_A12: 縛鎖の闘技場で、７連勝
MID_MISSION_H_S201811ARENA01_A12: 縛鎖の闘技場で、７連勝。
MID_MISSION_S201811HERO01_TITLE: 大英雄戦
MID_MISSION_S201811HERO01_A1: 特殊：闇の皇子ユリウス突破
MID_MISSION_H_S201811HERO01_A1: アスク王国の王女シャロンを自軍に入れて、\n大英雄戦・闇の皇子ユリウスをクリア。
MID_MISSION_S201811HERO01_A2: 特殊：闇の皇子ユリウス突破
MID_MISSION_H_S201811HERO01_A2: 闇の皇子ユリウスを自軍に入れて、\n大英雄戦・闇の皇子ユリウス\nルナティック以上をクリア。
MID_MISSION_S201811HERO01_A3: 特殊：闇の皇子ユリウスを撃破
MID_MISSION_H_S201811HERO01_A3: アスク王国の王女シャロンで、\nレベル４０以上の闇の皇子ユリウスを撃破。
MID_MISSION_S201811HERO01_A4: 特殊：闇の皇子ユリウス撃破
MID_MISSION_H_S201811HERO01_A4: 闇の皇子ユリウスで、\nレベル４０以上の闇の皇子ユリウスを撃破。
MID_MISSION_S201811HERO01_A5: 特殊：闇の皇子ユリウス突破
MID_MISSION_H_S201811HERO01_A5: 全員飛行の仲間で、\n大英雄戦・闇の皇子ユリウス\nルナティック以上をクリア。
MID_MISSION_S201811SENKA01_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201811SENKA01_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA01_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA01_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA01_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA01_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA01_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA01_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA01_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA02_DAILY_TITLE: 戦渦の連戦
MID_MISSION_S201811SENKA02_DAILY_A1: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA02_DAILY_A1: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA02_DAILY_A2: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA02_DAILY_A2: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA02_DAILY_A3: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA02_DAILY_A3: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SENKA02_DAILY_A4: 特殊：戦渦の連戦突破
MID_MISSION_H_S201811SENKA02_DAILY_A4: 戦渦の連戦最終マップをクリア。
MID_MISSION_S201811SKY01_TITLE: 飛空城
MID_MISSION_S201811SKY01_A1: 剣で撃破
MID_MISSION_H_S201811SKY01_A1: 剣の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A2: 槍で撃破
MID_MISSION_H_S201811SKY01_A2: 槍の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A3: 斧で撃破
MID_MISSION_H_S201811SKY01_A3: 斧の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A4: 無属性弓で撃破
MID_MISSION_H_S201811SKY01_A4: 無属性弓の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A5: 無属性暗器で撃破
MID_MISSION_H_S201811SKY01_A5: 無属性暗器の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A6: 赤魔で撃破
MID_MISSION_H_S201811SKY01_A6: 赤魔の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A7: 青魔で撃破
MID_MISSION_H_S201811SKY01_A7: 青魔の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A8: 緑魔で撃破
MID_MISSION_H_S201811SKY01_A8: 緑魔の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A9: 杖で撃破
MID_MISSION_H_S201811SKY01_A9: 杖の味方で、敵を撃破。
MID_MISSION_S201811SKY01_A10: 飛空城の攻撃で勝利
MID_MISSION_H_S201811SKY01_A10: 飛空城の攻撃で勝利。
MID_MISSION_S201811SKY01_A11: 飛空城の攻撃で勝利
MID_MISSION_H_S201811SKY01_A11: 飛空城の攻撃で勝利。
MID_MISSION_S201811SKY01_A12: 飛空城の攻撃で勝利
MID_MISSION_H_S201811SKY01_A12: 飛空城の攻撃で勝利。
MID_MISSION_S201811SKY01_A13: 飛空城の攻撃で勝利
MID_MISSION_H_S201811SKY01_A13: 飛空城の攻撃で勝利。
MID_MISSION_S201811SKY01_A14: 飛空城の攻撃で勝利
MID_MISSION_H_S201811SKY01_A14: 飛空城の攻撃で勝利。
MID_MISSION_S201811SKY01_A15: 飛空城の攻撃で勝利
