[Heroes Archive] (Menu_00_first)


Heroes Message Name: Message


MID_EXTRA_HEROISM_LIST: 英雄値一覧
MID_EXTRA_HEROISM_LIST_INFO: 仲間の英雄値一覧です。
MID_HOME_FRIEND_TALK_HEROISM: $a$a0からの贈り物
MID_ITEM_GAIN_ACCESSORY: 【聖印】を入手した！
MID_ITEM_GAIN_ACCESSORY_WARNING_PREFIX: ※
MID_ITEM_GAIN_ACCESSORY_WARNING: $a同じ種類の聖印は複数所持できません。\n同じ種類の聖印を複数入手した場合、\n英雄の翼×$a0に自動的に置き換わります。
MID_ITEM_HELP_STAMINA_50: スタミナを+99する
MID_MAP_BATTLE_START: 戦闘開始
MID_SHOP_STAMINA_CONFIRM_ITEM_50: スタミナ回復薬×１を消費して\nスタミナを99回復しますか？
MID_SHOP_STAMINA_NOTENOUGH_ITEM_50: スタミナが不足しています。\nスタミナ回復薬×1を消費して\nスタミナを99回復しますか？
MID_SHOP_STAMINA_CONFIRM_ORB_50: オーブ×1を消費して\nスタミナを99回復しますか？
MID_SHOP_STAMINA_NOTENOUGH_ORB_50: スタミナが不足しています。\nオーブ×1を消費して\nスタミナを99回復しますか？
MID_STAGE_SELECT_DETAIL_REINFORCEMENT: 増援出現！
MID_STAGE_SELECT_RULE_TURN_SURVIVAL: $a$a0ターン防衛
MID_UNIT_EDIT_ACCESSORY_EQUIP: 聖印装備変更
MID_UNIT_EDIT_ACCESSORY_EQUIP_HELP1: 聖印の装備を変更するキャラクターを選択してください。
MID_UNIT_EDIT_ACCESSORY_EQUIP_HELP2: 装備する聖印を選択してください。
MID_UNIT_EDIT_ACCESSORY_EQUIP_CONFIRM: 以下の聖印を装備しますか？
MID_UNIT_EDIT_ACCESSORY_EQUIP_UNSET_CONFIRM: 以下の聖印を外しますか？
MID_UNIT_EDIT_ACCESSORY_EQUIP_CHANGE_CONFIRM: $a$a0が\nすでに装備しています。\n聖印を交換して装備しますか？
MID_UNIT_EDIT_ACCESSORY_EQUIP_CHANGE_WARNING: $a$a0は\n交換する聖印を装備できません。\n装備できない聖印は外れます。
MID_UNIT_EDIT_ACCESSORY_EQUIP_DECIDE: 装備を変更する
MID_UNIT_EDIT_ACCESSORY_EQUIP_COMPLETE_CONFIRM: 装備の変更が完了しました。
MID_UNIT_EDIT_ACCESSORY_EQUIP_CANCEL_CONFIRM: 聖印装備の変更を中止しますか？
MID_UNIT_EDIT_ACCESSORY_EQUIP_CANCEL_WARNING: 編集内容は破棄されます。
MID_UNIT_EDIT_ACCESSORY_WARNING_WEAPON: 武器種制限のため、装備できません。
MID_UNIT_EDIT_ACCESSORY_WARNING_MOVE: 移動タイプ制限のため、装備できません。
MID_UNIT_EDIT_ACCESSORY_EMPTY: 聖印を所持していません。
MID_UNIT_EDIT_ACCESSORY_HELP_DIALOG_00: 聖印を装備して、さらに強く！
MID_UNIT_EDIT_ACCESSORY_HELP_DIALOG_01: ◆聖印装備変更◆\n手に入れた聖印を、仲間に装備させます。\n\n仲間一人につき、一つだけ\n聖印を装備させることができます。
MID_UNIT_EDIT_ACCESSORY_HELP_DIALOG_02: ◆所持数◆\n同じ種類の聖印は複数所持できません。\n同じ種類の聖印を複数入手した場合、\n英雄の翼に自動的に置き換わります。
MID_RELOCATION_TUTORIAL_DIALOG_00: 【配置変更】で、仲間の配置を入れ替え
MID_RELOCATION_BUTTON: 配置変更
MID_UNIT_EDIT_ACCESSORY_STATUS_EQUIP: 装備中
MID_UNIT_EDIT_ACCESSORY_EQUIP_CANCEL_DECIDE: 中止する
MID_UNIT_NAME_WITH_HONOR: $a$a0　$a1
MID_UNIT_EDIT_SKILL_EQUIP_CONFIRM_NO_COST: スキルの装備を変更しますか？
MID_UNIT_EDIT_SKILL_WARNING_RARITY: $a★$a0以上で習得可能なスキルです。
MID_VOTE_ROUND1: 1回戦
MID_VOTE_ROUND2: 2回戦
MID_VOTE_ROUND3: 決勝戦
MID_VOTE_TITLE: 投票大戦
MID_VOTE_REWARD_TITLE: 報酬確認
MID_VOTE_RANKING_TITLE: 現在の順位
MID_VOTE_BUTTON_RANKING_RX: $a$a0の順位
MID_VOTE_INVESTMENT_TITLE: 攻撃力選択
MID_VOTE_CLOSED: 現在開催していません。
MID_VOTE_AGGREGATING: 集計しています。\n少し待ってから入り直してください。
MID_VOTE_SALLY_MINS: $aあと$a0分で再度出陣できます。
MID_VOTE_SALLY_BUTTON: 出陣する
MID_VOTE_ROUND1_MINS: $a１回戦終了まであと$a0分
MID_VOTE_ROUND1_HOURS: $a1回戦終了まであと$a0時間
MID_VOTE_ROUND2_MINS: $a2回戦終了まであと$a0分
MID_VOTE_ROUND2_HOURS: $a2回戦終了まであと$a0時間
MID_VOTE_ROUND3_MINS: $a決勝戦終了まであと$a0分
MID_VOTE_ROUND3_HOURS: $a決勝戦終了まであと$a0時間
MID_VOTE_FINALRESULT: 今回の大戦の最終結果です。
MID_VOTE_BUTTON_TO2R: 2回戦へ
MID_VOTE_BUTTON_TO3R: 決勝戦へ
MID_VOTE_BUTTON_TOFR: 最終結果
MID_VOTE_GUILDWIN_REWARD: 陣営勝利報酬
MID_VOTE_RANK_IN_GUILD: 陣営内順位
MID_VOTE_TOTAL_SELF_SCORE: 合計自己得点
MID_VOTE_TOTAL_RANK: 合計順位
MID_VOTE_REWARDTYPE_ROUNDWINNER: $a投票大戦・陣営勝利報酬\n【$a0】
MID_VOTE_REWARDTYPE_ROUNDRANK: $a投票大戦・陣営内順位報酬\n【$a0】順位　$a1
MID_VOTE_REWARDTYPE_TOTALRANK: $a投票大戦・合計順位報酬\n順位　$a1
MID_VOTE_RUSHDEMO_RATIO: $a×$a0
MID_VOTE_ARMY_NAME: $a$a0軍
MID_VOTE_PLAYER: 自軍
MID_VOTE_OPPONENT: 敵軍
MID_VOTE_PLAYER_SCORE: 自己得点
MID_VOTE_SCORE: 得点
MID_VOTE_JOIN: 参加する
MID_VOTE_JOIN_CONFIRM: この英雄の陣営に参加しますか？
MID_VOTE_JOIN_EPITHET_AND_NAME: ___
MID_VOTE_RANK: 順位
MID_VOTE_VIEW_RANK_RANGE: 表示範囲
MID_VOTE_VIEW_RANK_PLAYER: 自分の順位
MID_VOTE_VIEW_RANK_TOP: 上位
MID_VOTE_RANKING_TOP_UNCALCULATED: ランキング集計中です。
MID_VOTE_RANKING_AME_UNCALCULATED: あなたの順位は集計圏外です。
MID_VOTE_REWARD_SORT_ROUND: 現在のラウンド
MID_VOTE_REWARD_SORT_TOURNAMENT: 累計成績
MID_VOTE_ROUND1_END: 1回戦は終了しました。
MID_VOTE_ROUND2_END: 2回戦は終了しました。
MID_VOTE_ROUND3_END: 決勝戦は終了しました。
MID_VOTE_ROUND1_RESULT: 1回戦の最終結果
MID_VOTE_ROUND2_RESULT: 2回戦の最終結果
MID_VOTE_ROUND3_RESULT: 決勝戦の最終結果
MID_VOTE_SITUATION: 現在の戦況
MID_VOTE_ATTACK_MAX: 全力攻撃
MID_VOTE_ATTACK_1X: ×1
MID_VOTE_ATTACK_NX: $a×$a0
MID_VOTE_SUPERIOR: 優勢
MID_VOTE_INFERIOR: 劣勢
MID_VOTE_EQUAL: 互角
MID_VOTE_WIN: 勝利
MID_VOTE_LOSE: 敗北
MID_VOTE_TOURNAMENT_BOTTOM_CAPTION: あなたが味方するキャラを選んでください。
MID_VOTE_TOURNAMENT_TOP_CAPTION: 陣営が勝利した時や、自分の得点が\n上位だった時、報酬を得られます。
MID_VOTE_DIALOG_WIN_TEXT: あなたの陣営は勝利しました。
MID_VOTE_DIALOG_WIN_WARNING: 引き続き同じ陣営で戦います。
MID_VOTE_DIALOG_LOSE_TEXT: あなたの陣営は敗北しました。
MID_VOTE_DIALOG_LOSE_WARNING: 別の陣営を選び直してください。
MID_VOTE_DIALOG_GO_TEXT: 出陣しますか？
MID_VOTE_DIALOG_GO_WARNING: $a一度出陣すると次の$a0分間は再出陣できません。
MID_VOTE_DIALOG_GO_YES: 出陣する
MID_VOTE_DIALOG_GO_NO: 戻る
MID_VOTE_DIALOG_INVESTMENT_TEXT: 攻撃しますか？
MID_VOTE_DIALOG_INVESTMENT_TEXT_X: $a$a1倍攻撃しますか？
MID_VOTE_DIALOG_INVESTMENT_WARNING: $a大戦の旗を$a0消費します。
MID_VOTE_DIALOG_INVESTMENT_YES: 攻撃する
MID_VOTE_DIALOG_LAST10MINS_TEXT: $aまもなく$a0終了時間です。
MID_VOTE_DIALOG_LAST10MINS_WARNING: 終了時間を過ぎると結果が反映されません。
MID_VOTE_DIALOG_ROUND_END_TEXT: $a$a0終了時間を過ぎました。\nこの先に進むことはできません。
MID_VOTE_DIALOG_ROUND_END_WARNING: 一旦ワールドマップに戻ります。
MID_VOTE_DIALOG_JOIN_ERROR_TEXT: 陣営に参加できませんでした。
MID_VOTE_DIALOG_JOIN_ERROR_WRNING: しばらくしてからやり直してください。
MID_VOTE_DIALOG_HELP_00: あなたが推す英雄で、優勝を目指そう！
MID_VOTE_DIALOG_HELP_01: ◆投票大戦◆\n８人の英雄の中から、\nあなたが好きな英雄を選びます。\n\nその英雄の陣営に所属し、\n他の英雄の陣営と、\nチーム対チームの勝負を行います。
MID_VOTE_DIALOG_HELP_02: ◆勝利条件◆\n残り時間が０になった時、\n得点が多い陣営が勝利します。
MID_VOTE_DIALOG_HELP_03: ◆出陣◆\n一度出陣すると、\n一定時間経つまで出陣できません。
MID_VOTE_DIALOG_HELP_04: ◆バトル◆\n投票大戦は、３対３で行われます。\n自軍の３人は、以下のように決定します。\n・自分のリーダー\n・自分のフレンドがいれば、フレンド\n・フレンド以外のプレイヤー
MID_VOTE_DIALOG_HELP_05: ◆攻撃力選択◆\nバトルに勝利後、\n大戦の旗の使用数を選びます。\n\n大戦の旗を多く消費するほど、\n多くの得点を得ることができます。
MID_VOTE_DIALOG_HELP_REWARD_00: ◆報酬確認◆\n今回の報酬を確認できます。\n\nフィルタを切り替えると\n「現在のラウンド」、\n「累計成績」を確認できます。
MID_VOTE_DIALOG_HELP_REWARD_01: ◆順位◆\n現在の順位です。\n※順位は１時間ごとに集計を行います。\n（毎時00分に集計を開始します）\n集計開始から順位の反映までに\n時間がかかることがあります。
MID_UNIT_EDIT_SKILL_INHERIT_DESTINATION: 継承
MID_UNIT_EDIT_SKILL_INHERIT_SOURCE: 消滅
MID_UNIT_EDIT_SKILL_INHERIT_HELP1: 継承・消滅キャラクターをそれぞれ選択してください。
