[Heroes Archive] (Menu_45_valentine01)


Heroes Message Name: Message


MID_HOME_TALK_NAVIGATION_JUMP: 挑戦しに行く
MID_HOME_TALK_NAVIGATION_LATER: あとでする
MID_HOME_TALK_NAVIGATION_NEVER: 今後表示しない
MID_STAGE_SELECT_SEASONAL_EVENT: イベント
MID_STAGE_SELECT_SEASONAL_EVENT_ENDED: 終了しました
MID_STAGE_SELECT_SEASONAL_EVENT_INTERVAL: 集計しています
MID_TAP_BATTLE_TITLE: タップバトル
MID_TAP_BATTLE_ENVIRONMENT_INFO: タップバトルの環境設定を編集できます。
MID_TAP_BATTLE_STAGE_SELECT_DIFFICULTY: $a難易度：$a0
MID_TAP_BATTLE_STAGE_SELECT_MODE: $aモード：$a0
MID_TAP_BATTLE_DIFFICULTY0: ノーマル
MID_TAP_BATTLE_DIFFICULTY1: ハード
MID_TAP_BATTLE_MODE_0: カジュアル
MID_TAP_BATTLE_MODE_1: エキスパート
MID_TAP_BATTLE_ENVIRONMENT: タップバトル環境設定
MID_TAP_BATTLE_CONFIG_MUTE: ミュート
MID_TAP_BATTLE_CONFIG_SE: 効果音
MID_TAP_BATTLE_CONFIG_VOICE: ボイス
MID_TAP_BATTLE_CONFIG_TIMING: タイミング調整
MID_TAP_BATTLE_CONFIG_ADJUST: 調整する
MID_TAP_BATTLE_CLEAR_RANK: $aプレイ評価　$a0
MID_TAP_BATTLE_CLEAR_RANK_0: C
MID_TAP_BATTLE_CLEAR_RANK_1: B
MID_TAP_BATTLE_CLEAR_RANK_2: A
MID_TAP_BATTLE_CLEAR_RANK_3: S
MID_TAP_BATTLE_CLEAR_RANK_NONE: －
MID_TAP_BATTLE_ENTER_STAGE_SELECT: ステージ選択
MID_TAP_BATTLE_SUBTITLE: 幻の１００階ダンジョン
MID_TAP_BATTLE_ENTRANCE_HELP: タップして、次々と現れる敵を撃破！\nタイミング良く撃破して、高評価を目指せ！
MID_TAP_BATTLE_ENTRANCE_SETTING: タップバトル環境設定
MID_TAP_BATTLE_START: スタート
MID_TAP_BATTLE_BOSS: BOSS!
MID_TAP_BATTLE_VERSUS_BOSS: $a$a0\n$a1
MID_TAP_BATTLE_START_BOSS: 戦闘開始
MID_TAP_BATTLE_DEFEAT_BOSS: 撃破
MID_TAP_BATTLE_STAGE_SELECT_PRAISE: $a$a0／$a1の\n全ステージでプレイ評価「S」を\n獲得しました！
MID_TAP_BATTLE_STAGE_SELECT_REWARD: 初回クリア報酬
MID_TAP_BATTLE_STAGE_SELECT_REWARD_WARNING: 難易度・モードで共通の報酬です。
MID_TAP_BATTLE_STAGE_SELECT_NO_REWARD_WARNING: クリア済みのため\n報酬は獲得できません。
MID_TAP_BATTLE_STAGE_SELECT_NO_REWARD_WARNING_OTHER: 他の難易度・モードで、\nクリア済みのため\n報酬は獲得できません。
