[Heroes Archive] (Menu_55_summer04)


Heroes Message Name: Message


MID_EVENT_RECOLLECTION: イベント回想
MID_EVENT_RECOLLECTION_SEQUENTIAL_MAP: 戦渦の連戦
MID_EVENT_RECOLLECTION_SEQUENTIAL_MAP_OPENING: オープニング
MID_EVENT_RECOLLECTION_SEQUENTIAL_MAP_ENDING: エンディング
MID_EVENT_RECOLLECTION_INFO: イベント会話を回想できます。
MID_MAP_RETRY: 最初からやり直す
MID_MAP_RETRY_CONFIRM: 最初からやり直しますか？
MID_MAP_RETRY_DECIDE: 最初からやり直す
MID_MAP_RETRY_CANCEL: 諦める
MID_MAP_PHASE_WITH_LIMIT: $aフェイズ $a0/$a1
MID_MISSION_PROGRESS_DIALOG_LIST_ACHIEVED_HELP: ミッションリストから報酬を受け取れます。
MID_OCCUPATION_HELP_DIALOG_08_02: ◆大制圧階級◆\n・自分の獲得スコアの累積によって、\n　大制圧階級が上昇します。\n\n・大制圧階級が上昇すると、次回以降の\n　戦闘時、選んだエリアの隣接エリアへ\n　加算するポイントがアップします。\n・また、報酬が手に入ります。
MID_OCCUPATION_AREA_ALLY_RANKING_REINFORCE_ONLY: 応援
MID_OCCUPATION_REWARD_SORT_RANK: 陣営内順位
MID_OCCUPATION_REWARD_RANK: 順位
MID_OCCUPATION_RANKING: 現在の順位
MID_OCCUPATION_RANKING_SORT_TYPE: $a現在の順位：$a0
MID_OCCUPATION_RANKING_SORT_TOP: 上位
MID_OCCUPATION_RANK_OUT_OF_RANGE: 圏外
MID_OCCUPATION_RANKING_UNCALCULATED: ランキング集計中です。
MID_OCCUPATION_GAINED_REWARDTYPE_ROUND_RANK: $a大制圧戦・陣営内順位報酬　$a0回戦
MID_OCCUPATION_RANKING_SCORE: スコア
MID_SEQUENTIAL_MAP_TERM_201807: おやすみ、良い夢を
MID_STAGE_SELECT_RULE_TURN_ENEMY_PHASE: $a$a0ターン（敵軍）以内に勝利
MID_STAGE_SELECT_PUZZLE: クイズマップ
MID_STAGE_SELECT_PUZZLE_INFO: 遊びながらルールを学べるマップです。
MID_STAGE_SELECT_PUZZLE_MODE_BASIC: 基本編
MID_STAGE_SELECT_PUZZLE_MODE_BASIC_INFO: 基本的な戦い方を\n学ぶことができます。
MID_STAGE_SELECT_PUZZLE_MODE_SKILL: スキル編
MID_STAGE_SELECT_PUZZLE_MODE_SKILL_INFO: スキルの効果を使った\nクイズに挑戦できます。
MID_STAGE_SELECT_PUZZLE_MODE_TACTICS: 超難問
MID_STAGE_SELECT_PUZZLE_MODE_TACTICS_INFO: 上級者向けの\nクイズに挑戦できます。
MID_PUZZLE_HELP_DIALOG_00: 遊んで学ぼう！
MID_PUZZLE_HELP_DIALOG_01: ◆クイズマップ◆\n遊びながら、\nルールを学ぶことができます。\n\n各マップごとに\n用意された味方で戦います。
MID_PUZZLE_HELP_DIALOG_02: ◆超難問◆\n非常に高難度のクイズマップです。\n\nメインストーリーの\n第１部１３章をクリアすると\n開放されます。
MID_STAGE_OPEN_FIRST_PUZZLE: クイズマップが開放されました。
MID_STAGE_OPEN_NEW_PUZZLE: クイズマップに新たなステージが\n追加されました。
MID_STAGE_SELECT_RULE_PHASE: $a$a0フェイズ以内に勝利
MID_TAP_BATTLE_RESULT_COMMENT_FULL: パーフェクト達成です！
