[Heroes Archive] (Menu_63_dream01)


Heroes Message Name: Message


MID_ITEM_HOLY_GRAIL: 英雄の聖杯
MID_ITEM_HELP_HOLY_GRAIL: 「仲間」メニューの「聖杯で英雄を召喚」で使用する\n一部の英雄を召喚し、仲間にできる
MID_ITEM_SKYCASTLE_STONE: 飛空石
MID_ITEM_HELP_SKYCASTLE_STONE: 「飛空城」で使用する\n設備の生成・強化などを行う
MID_ITEM_SKYCASTLE_DROP: 天空の雫
MID_ITEM_HELP_SKYCASTLE_DROP: 「飛空城」で使用する\n攻撃砦、防衛砦、資源設備を強化する
MID_ITEM_SKYCASTLE_THRONE_0: 黄金の玉座
MID_ITEM_HELP_SKYCASTLE_THRONE_0: $a飛空城で$a0～$a1位に\n到達した者だけが座ることを許される玉座
MID_ITEM_SKYCASTLE_THRONE_1: 白銀の玉座
MID_ITEM_HELP_SKYCASTLE_THRONE_1: $a飛空城で$a0～$a1位に\n到達した者だけが座ることを許される玉座
MID_ITEM_SKYCASTLE_THRONE_2: 銅の玉座
MID_ITEM_HELP_SKYCASTLE_THRONE_2: $a飛空城で$a0～$a1位に\n到達した者だけが座ることを許される玉座
MID_OCCUPATION_GUILD_NAME: $a$a0軍
MID_REPLAY_FAILED_CONFIRM: リプレイの再生に失敗しました。
MID_MAP_REPLAY_END_ABORT_CONFIRM: $a$a0の\nリプレイを終了しますか？
MID_MAP_REPLAY_END_COMPLETE_CONFIRM: $a$a0が\n勝利しました。
MID_MAP_REPLAY_END_GAMEOVER_CONFIRM: $a$a0が\n敗北しました。
MID_MAP_REPLAY_END_SURRENDER_CONFIRM: $a$a0が\n降参しました。
MID_MAP_REPLAY_END_DECIDE: リプレイを終了する
MID_SEQUENTIAL_MAP_TERM_201811: あなたに逢う前は
MID_SKYCASTLE_TITLE: 飛空城
MID_SKYCASTLE_RANK: 位階
MID_SKYCASTLE_RATE: レート
MID_SKYCASTLE_SEASON_DAYS: $aシーズン終了まであと$a0日
MID_SKYCASTLE_SEASON_HOURS: $aシーズン終了まであと$a0時間
MID_SKYCASTLE_SEASON_MINUTES: $aシーズン終了まであと$a0分
MID_SKYCASTLE_CLOSED: 現在開催していません。
MID_SKYCASTLE_TUTORIAL: チュートリアル中のため、\nレートは変化しません。
MID_SKYCASTLE_AGGREGATING: 現在集計中です。
MID_SKYCASTLE_ENERGY: エナジー
MID_SKYCASTLE_BONUS_HEADLINE: 今シーズンのボーナス対象
MID_SKYCASTLE_BONUS_NEXTSEASON: 次シーズンのボーナス対象
MID_SKYCASTLE_BONUSCHRS_CAPTION: 攻撃・防衛で能力ＵＰ！攻撃時の獲得レートＵＰ！
MID_SKYCASTLE_BONUSFCLS_CAPTION: 設置すると攻撃砦ＬＶ＋１！
MID_SKYCASTLE_BONUSFCLS_CAPTION_2: 設置すると防衛砦ＬＶ＋１！
MID_SKYCASTLE_DAILYBONUS_CAPTION: １日１回プレイ報酬！
MID_SKYCASTLE_BTN_EDIT: 飛空城の編集
MID_SKYCASTLE_BTN_ATTACK: 対戦する
MID_SKYCASTLE_BTN_REWARD: 報酬確認
MID_SKYCASTLE_BTN_HISTORY: 防衛結果
MID_SKYCASTLE_BTN_RANKING: 現在の順位
MID_SKYCASTLE_DIALOG_NEW_STOCK: 新登場！
MID_SKYCASTLE_DIALOG_NEW_STOCK_CAPTION01: 設備
MID_SKYCASTLE_DIALOG_NEW_STOCK_CAPTION02: 地形
MID_SKYCASTLE_GAINED_REWARDTYPE_GRADE: 飛空城・位階報酬
MID_SKYCASTLE_GAINED_REWARDTYPE_RANK: $a飛空城・順位報酬\n$a0位
MID_SKYCASTLE_GAINED_REWARDTYPE_RANK_HIGHER: 飛空城・上位報酬
MID_SKYCASTLE_GAINED_REWARDTYPE_GRADE_OVER_20: $a$a0位！
MID_SKYCASTLE_GAINED_REWARDTYPE_PREFIX_FOR_UNDER_20: $a位階$a0
MID_SKYCASTLE_GAINED_REWARDTYPE_TUTORIAL: チュートリアル完了報酬
MID_SKYCASTLE_REWARDS_GAINED_DIALOG: ※飛空城報酬は、\n　前シーズンの結果集計が終わった時～\n　今シーズンが終了するまでの期間に\n　飛空城に入った時、受け取れます。
MID_SKYCASTLE_DIALOG_SEASON_LAST10_TEXT: まもなくシーズン終了時間です。
MID_SKYCASTLE_DIALOG_SEASON_LAST10_WARNING: シーズン終了時間を過ぎると\n結果が反映されません。
MID_SKYCASTLE_DIALOG_SEASON_END_TEXT: シーズン終了時間を過ぎたため、\n結果が反映されませんでした。
MID_SKYCASTLE_ROOT_SEASONEND_TEXT: シーズン終了時間を過ぎたため、\n対戦することができません。
MID_SKYCASTLE_ROOT_SEASONEND_WARNING: 次のシーズンにお楽しみください。
MID_SKYCASTLE_DIALOG_TASKKILLED_TEXT: 前回の戦闘が正常に終了しませんでした。
MID_SKYCASTLE_DIALOG_TASKKILLED_TEXT_WARNING: 攻撃は失敗扱いになります。
MID_SKYCASTLE_DIALOG_NO_ENERGY_TEXT: 戦闘に必要なエナジーが不足しています。
MID_SKYCASTLE_DIALOG_NO_ENERGY_WARNING: $aエナジーが$a0必要です。
MID_SKYCASTLE_EDIT_DIALOG_SEASON_END: シーズンが切り替わりました。
MID_SKYCASTLE_EDIT_DIALOG_SEASON_END_WARNING: 飛空城トップ画面に戻ります。
MID_SKYCASTLE_CLASS_0: トロポス
MID_SKYCASTLE_CLASS_1: ストラトス
MID_SKYCASTLE_CLASS_2: メゾス
MID_SKYCASTLE_CLASS_3: テロモス
MID_SKYCASTLE_CLASS_4: エグゾス
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_TEXT: $aエナジーを$a0消費して\n先に進みますか？
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_TEXT_DAILYBONUS: 先に進みますか？
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_WARNING: 対戦相手の編成を見た後では\nキャンセルできません。
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_WARNING_DAILYBONUS: １日１回、\nエナジー消費は０になります。
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_WARNING_TUTORIAL: チュートリアルの戦闘では、\nエナジー（飛空城のスタミナ）は\n消費しません。\nまた、この戦闘による\nレートの変動や経験値等は発生しません。\nさらに、攻撃砦と防衛砦のレベルは\n同じものとして扱われます。
MID_SKYCASTLE_DIALOG_BATTLE_BTN_UNITEDIT: 攻撃部隊編成
MID_SKYCASTLE_DIALOG_BATTLE_BTN_YES: 先に進む
MID_SKYCASTLE_DIALOG_BATTLE_BTN_NO: やめる
MID_SKYCASTLE_DIALOG_NO_CANDIDATE_TEXT: 対戦相手が見つかりませんでした。
MID_SKYCASTLE_DIALOG_NO_CANDIDATE_WARNING: しばらくしてからやり直してください。
MID_SKYCASTLE_DIALOG_BATTLE_OPPONENT_HEADLINE: 対戦相手
MID_SKYCASTLE_DIALOG_BATTLE_OPPONENT_HEADLINE2: 対戦内容
MID_SKYCASTLE_DIALOG_BATTLE_RANK: $a位階$a0
MID_SKYCASTLE_DIALOG_BATTLE_BTN_CONFIRM_MAP: マップ確認
MID_SKYCASTLE_DIALOG_BATTLE_BTN_BATTLE: 戦う
MID_SKYCASTLE_DIALOG_BATTLE_BTN_GIVEUP: ギブアップ
MID_SKYCASTLE_DIALOG_BATTLE_CONFIRM_START: 対戦しますか？
MID_SKYCASTLE_DIALOG_BATTLE_BTN_START: 戦う
MID_SKYCASTLE_DIALOG_GIVEUP_TEXT: 本当にギブアップしますか？
MID_SKYCASTLE_DIALOG_GIVEUP_WARNING: 攻撃は失敗扱いになります。
MID_SKYCASTLE_DIALOG_GIVEUP_WARNING_DAILY: 攻撃は失敗扱いになり、\n１日１回プレイ報酬は\n受け取れなくなります。
MID_SKYCASTLE_DIALOG_GIVEUP_YES: ギブアップ
MID_SKYCASTLE_DIALOG_GIVEUP_NO: 考え直す
MID_SKYCASTLE_RESULT_HEADLINE: 今回の対戦結果
MID_SKYCASTLE_TOTAL_RATE_CURRENT: 獲得レート
MID_SKYCASTLE_TOTAL_RATE: レート
MID_SKYCASTLE_BATTLE_RATE: 戦闘評価
MID_SKYCASTLE_BONUSCHR_RATE: ボーナスキャラ
MID_SKYCASTLE_RESULT_RANK: 順位
MID_SKYCASTLE_BTN_RESULT_CONFIRM: 確認
MID_SKYCASTLE_DIALOG_RESULT_RECOVER: $a敵の資源の破壊に成功！\nエナジーが$a0回復しました。
MID_SKYCASTLE_DIALOG_RESULT_WARNING_01: レートの下降が抑制されます。
MID_SKYCASTLE_DIALOG_RESULT_RANKUP_RATE: 次の位階まであと
MID_SKYCASTLE_DIALOG_RESULT_RANKUP_RATE_BEYOND: $a位階$a0に到達！
MID_SKYCASTLE_EDIT_MENUBAR_BTN_EDIT: 編集切替
MID_SKYCASTLE_EDIT_MENUBAR_BTN_FLOOR: 地形変更
MID_SKYCASTLE_EDIT_MENUBAR_BTN_AUTO: おまかせ\n配置
MID_SKYCASTLE_EDIT_MENUBAR_BTN_ADDFACILITY: 設備生成\n・強化
MID_SKYCASTLE_EDIT_MENUBAR_BTN_SELECTFACILITY: 設備設置
MID_SKYCASTLE_EDIT_MENUBAR_BTN_ORGANIZE: 防衛編成
MID_SKYCASTLE_EDIT_MENUBAR_BTN_SYSTEMMENU: その他
MID_SKYCASTLE_EDIT_GRID_DEFENSE: 防衛マップ
MID_SKYCASTLE_EDIT_GRID_OFFENSE: 攻撃マップ
MID_SKYCASTLE_EDIT_ONTOUCH_MENU_DELETE_0: ここに移動で撤去
MID_SKYCASTLE_EDIT_ONTOUCH_MENU_DELETE_1: この設備は撤去できません
MID_SKYCASTLE_EDIT_SYSTEMMENU_BTN_TESTPLAY: 模擬戦
MID_SKYCASTLE_EDIT_SYSTEMMENU_BTN_HELP: ヘルプ
MID_SKYCASTLE_EDIT_ADDFACILITY_TITLE: 設備生成・強化
MID_SKYCASTLE_EDIT_ADDFACILITY_HELP: 生成または強化する設備を選択してください。
MID_SKYCASTLE_EDIT_ADDFACILITY_NO_TARGET: 生成・強化できる設備がありません。
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_CONFIRM: 以下の設備を生成しますか？
MID_SKYCASTLE_EDIT_ADDFACILITY_BTN_GENERATION_DECIDE: 生成する
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_COMPLETE_CONFIRM: 設備を生成しました。
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_ERROR: 設備を生成できませんでした。
MID_SKYCASTLE_EDIT_ADDFACILITY_GENERATION_ERROR_WARNING: 生成可能な期間を過ぎています。
MID_SKYCASTLE_EDIT_ADDFACILITY_PROMOTION_CONFIRM: 以下の設備を強化しますか？
MID_SKYCASTLE_EDIT_ADDFACILITY_BTN_PROMOTION_DECIDE: 強化する
MID_SKYCASTLE_EDIT_ADDFACILITY_PROMOTION_COMPLETE_CONFIRM: 設備を強化しました。
MID_SKYCASTLE_EDIT_DIALOG_ADDFACILITY_ERROR: 設備を設置できませんでした。
MID_SKYCASTLE_EDIT_DIALOG_NEWFACILITY_ERROR_WARNING_01: 設置上限を越えています。
MID_SKYCASTLE_EDIT_DIALOG_NEWFACILITY_ERROR_WARNING_02: 訓練所は複数設置できません。
MID_SKYCASTLE_EDIT_SELECTFACILITY_TITLE: 設備設置
MID_SKYCASTLE_EDIT_SELECTFACILITY_HELP: 設置する設備を選択してください。
MID_SKYCASTLE_EDIT_SELECTFACILITY_NO_TARGET: 設置できる設備がありません。
MID_SKYCASTLE_EDIT_SELECTFACILITY_CANCEL_CONFIRM: 設置の変更を中止しますか？
MID_SKYCASTLE_EDIT_SELECTFACILITY_CANCEL_WARNING: 編集内容は破棄されます。
MID_SKYCASTLE_EDIT_SELECTFACILITY_CANCEL_DECIDE: 中止する
MID_SKYCASTLE_EDIT_SELECTFACILITY_WARNING_GROUP: 他の訓練所が選択されています。
MID_SKYCASTLE_EDIT_FACILITY_BTN_BULIDED: 配置中
MID_SKYCASTLE_EDIT_FACILITY_BTN_UNREMOVABLE: 撤去不可
MID_SKYCASTLE_EDIT_FACILITY_BTN_LEVEL_1: $aLV.$a0
MID_SKYCASTLE_EDIT_FACILITY_BTN_LEVEL_2: →
MID_SKYCASTLE_EDIT_FACILITY_BTN_HELP_OFF: ヘルプOFF
MID_SKYCASTLE_EDIT_FACILITY_BTN_HELP_ON: ヘルプON
MID_SKYCASTLE_EDIT_FACILITY_FILTER_CONFIRM: フィルタを選択してください。
MID_SKYCASTLE_EDIT_FACILITY_BTN_FILTER_TITLE: フィルタ：
MID_SKYCASTLE_EDIT_FACILITY_WARNING_PRECONDITION: $a$a0が必要です。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_PRECONDITION_LV: $aレベル$a0
MID_SKYCASTLE_EDIT_FACILITY_WARNING_RANK: $a位階が$a0以上必要です。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_RANK_THRONE: $a$a0～$a1位で解放されます。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_UNREMOVABLE: 撤去不可のため選択できません。
MID_SKYCASTLE_EDIT_FACILITY_WARNING_TUTORIAL: チュートリアル中のため選択できません。
MID_SKYCASTLE_EDIT_FACILITY_BTN_DAYS: $a期間限定！あと$a0日
MID_SKYCASTLE_EDIT_FACILITY_BTN_HOURS: $a期間限定！あと$a0時間
MID_SKYCASTLE_EDIT_FACILITY_BTN_MINUTES: $a期間限定！あと$a0分
MID_SKYCASTLE_EDIT_FACILITY_BTN_NO_LEVEL: レベルなし
MID_SKYCASTLE_EDIT_UNITEDIT_RATE: 最大獲得レート
MID_SKYCASTLE_EDIT_UNITEDIT_RATE_HELP: ・現在の出撃メンバーで、\n　攻撃に成功したときの最大獲得レート\n・基本値は８０、\n　飛空城のボーナスキャラを選択すると＋２０される\n（複数のキャラを選択した場合は、\n　合計せず最大値を適用）
MID_SKYCASTLE_EDIT_AUTO_TEXT: 設備や防衛部隊をおまかせ配置できます。
MID_SKYCASTLE_EDIT_AUTO_BTN_ADD: 生成・強化して配置する
MID_SKYCASTLE_EDIT_AUTO_BTN_ADD_EX: 設備生成・強化もおまかせにします。
MID_SKYCASTLE_EDIT_AUTO_BTN_NO_ADD: 手持ちから配置する
MID_SKYCASTLE_EDIT_AUTO_BTN_NO_ADD_EX: 設備生成・強化はせず、配置だけおまかせにします。
MID_SKYCASTLE_EDIT_AUTO_DIALOG_HEADLINE: この内容でおまかせ配置を行いますか？
