[Heroes Archive] (Menu_Tutorial)


Heroes Message Name: Message


MID_ARENA_TITLE: 闘技場
MID_ARENA_TITLE_REWARD: 報酬確認
MID_ARENA_TITLE_HISTORY: 防衛結果
MID_ARENA_SEASON_DAYS: $aシーズン終了まであと$a0日
MID_ARENA_SEASON_HOURS: $aシーズン終了まであと$a0時間
MID_ARENA_SEASON_MINUTES: $aシーズン終了まであと$a0分
MID_ARENA_RANK: 階級
MID_ARENA_BONUSCHRS_HEADLINE: 今シーズンのボーナスキャラ
MID_ARENA_BONUSCHRS_CAPTION: このキャラを出撃メンバーに選択すると獲得スコアUP！
MID_ARENA_COMBO_CAPTION: $a連勝数 $a0/7　連勝ボーナス＋$a1！
MID_ARENA_NO_HISTORY: 防衛履歴がありません。
MID_ARENA_BTN_BATTLE: 対戦する
MID_ARENA_BTN_REWARD: 報酬確認
MID_ARENA_BTN_HISTORY: 防衛結果
MID_ARENA_BTN_HELP: ヘルプ
MID_ARENA_BTN_GIVEUP: ギブアップ
MID_ARENA_BTN_CONFIRM: 確認
MID_ARENA_DEF_WIN: 防衛成功！
MID_ARENA_EASY: 初級
MID_ARENA_NORMAL: 中級
MID_ARENA_HARD: 上級
MID_ARENA_SELECT_OPPONENT_HEADLINE: 対戦相手を選択してください。
MID_ARENA_RESULT_HEADLINE: 今回の対戦結果
MID_ARENA_TOTAL_SCORE: 合計スコア
MID_ARENA_THIS_SCORE: 今回のスコア
MID_ARENA_COMBO_SCORE: 連勝ボーナス
MID_ARENA_RENEWAL_HISCORE: ハイスコア更新！
MID_ARENA_STOP_VICTORIES: 連勝ストップ…
MID_ARENA_REWARD_TYPE: 報酬の種類
MID_ARENA_SORT_RANK: 順位
MID_ARENA_SORT_OFFENSE: 勝利
MID_ARENA_SORT_DEFENSE: 防衛
MID_ARENA_SORT_REWARDTYPE_RANK: 報酬の種類：順位
MID_ARENA_SORT_REWARDTYPE_OFFENSE: 報酬の種類：勝利
MID_ARENA_SORT_REWARDTYPE_DEFENSE: 報酬の種類：防衛
MID_ARENA_GAINED_REWARDTYPE_RANK: $a闘技場・順位報酬　$a0位
MID_ARENA_GAINED_REWARDTYPE_OFFENSE: $a闘技場・勝利報酬　スコア：$a1
MID_ARENA_GAINED_REWARDTYPE_DEFENSE: $a闘技場・防衛報酬　スコア：$a2
MID_ARENA_RANK_OUT_OF_RANGE: 圏外
MID_ARENA_CLOSED: 現在開催していません。
MID_ARENA_DIALOG_REWARD_SORT: フィルタを選択してください。
MID_ARENA_DIALOG_BATTLE_CONFIRM_TEXT: 対戦権を1消費して\n先に進みますか？
MID_ARENA_DIALOG_BATTLE_CONFIRM_WARNING: 対戦相手を見た後では\nキャンセルできません。
MID_ARENA_DIALOG_BATTLE_CONFIRM_YES: 先に進む
MID_ARENA_DIALOG_BATTLE_CONFIRM_NO: やめる
MID_ARENA_DIALOG_GIVEUP_TEXT: 本当にギブアップしますか？
MID_ARENA_DIALOG_GIVEUP_WARNING: 対戦を行わずに終了すると、\n現在の連勝数は失われません。
MID_ARENA_DIALOG_GIVEUP_YES: ギブアップ
MID_ARENA_DIALOG_GIVEUP_NO: 考え直す
MID_ARENA_DIALOG_OPPONENT_DECIDE_TEXT: このプレイヤーに対戦を挑みますか？
MID_ARENA_DIALOG_OPPONENT_DECIDE_YES: 戦う
MID_ARENA_DIALOG_OPPONENT_DECIDE_NO: やめる
MID_ARENA_DIALOG_SEASON_LAST10_TEXT: まもなくシーズン終了時間です。
MID_ARENA_DIALOG_SEASON_LAST10_WARNING: シーズン終了時間を過ぎると\n結果が反映されません。
MID_ARENA_DIALOG_SEASON_END_TEXT: シーズン終了時間を過ぎたため、\n結果が反映されませんでした。
MID_ARENA_ROOT_SEASONEND_TEXT: シーズン終了時間を過ぎたため、\n対戦することができません。
MID_ARENA_ROOT_SEASONEND_WARNING: 次のシーズンにお楽しみください。
MID_ARENA_DIALOG_TASKKILLED_TEXT: 前回の戦闘が正常に終了しませんでした。
MID_ARENA_DIALOG_TASKKILLED_WARNING: 連勝数と連勝ボーナスがリセットされます。
MID_ARENA_DIALOG_NO_CANDIDATE_TEXT: 対戦相手が見つかりませんでした。
MID_ARENA_DIALOG_NO_CANDIDATE_WARNING: しばらくしてからやり直してください。
MID_ARENA_REWARDS_GAINED_DIALOG: ※闘技場報酬は、\n　前シーズンの結果集計が終わった時～\n　今シーズンが終了するまでの期間に\n　闘技場に入った時、受け取れます。
MID_ARENA_DIALOG_HELP_00: 世界のライバルに挑戦！　報酬を狙え！
